match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_duelLost,stat_lastManTackle,stat_fouls,stat_aerialLost,stat_challengeLost,stat_bigChanceCreated,stat_clearanceOffLine,stat_outfielderBlock,captain,stat_dispossessed,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyWon,stat_penaltyFaced,stat_punches,stat_ownGoals,stat_penaltyConceded,stat_hitWoodwork
14053585,home,AZ Alkmaar,Jeroen Zoet,jeroen-zoet,J. Zoet,G,41,186.0,195,M,40963,EUR,663120000,G,41,41,False,25.0,11.0,20.0,7.0,0.0,7.0,9.0,4.0,16.0,8.0,1.0,1.0,3.0,6.0,90.0,34.0,6.9,14.0,0.00273386,0.1004,0,0.5325,0.09,0.01,-0.48,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053585,home,AZ Alkmaar,Denso Kasius,denso-kasius,D. Kasius,D,30,186.0,392,M,1008111,EUR,1033862400,D,30,30,False,48.0,36.0,9.0,6.0,0.0,22.0,28.0,14.0,20.0,7.0,,,,,90.0,79.0,8.5,17.0,0.257094,,2,,0.16,0.49,-0.13,,,,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,0.069,0.0657,2.0,0.54,,,,,,,,,,,,,,,,,,,,
14053585,home,AZ Alkmaar,Wouter Goes,wouter-goes,W. Goes,D,3,187.0,704,M,1145982,EUR,1086825600,D,3,3,False,54.0,49.0,7.0,3.0,0.0,35.0,35.0,14.0,19.0,3.0,,,,,90.0,74.0,7.0,6.0,0.00567088,,0,,0.09,0.16,0.6,,,,,6.0,1.0,1.0,,,,,10.0,3.0,3.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
14053585,home,AZ Alkmaar,Alexandre Penetra,alexandre-penetra,A. Penetra,D,5,184.0,376,M,1004278,EUR,999993600,D,5,5,False,47.0,42.0,6.0,4.0,0.0,30.0,33.0,12.0,14.0,2.0,,,,,90.0,54.0,6.7,5.0,0.00477539,,0,,0.06,0.15,-0.08,,,,,1.0,,,,,,,4.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
14053585,home,AZ Alkmaar,Mees de Wit,mees-de-wit,M. de Wit,D,34,178.0,162,M,893559,EUR,892771200,D,34,34,False,50.0,39.0,4.0,2.0,0.0,19.0,23.0,20.0,27.0,6.0,,,,,77.0,70.0,7.8,12.0,0.530002,,0,,0.49,0.14,-0.09,,,,,5.0,1.0,1.0,,,,,2.0,,3.0,,,1.0,,,1.0,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14053585,home,AZ Alkmaar,Jordy Clasie,jordy-clasie,J. Clasie,M,8,169.0,216,M,116946,EUR,677980800,M,8,8,False,46.0,37.0,4.0,2.0,0.0,21.0,26.0,16.0,20.0,3.0,,,,,90.0,55.0,7.0,10.0,0.0149812,,0,,0.07,0.09,0.26,,,,,3.0,,,,,,,2.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,2.0,,,,,,True,1.0,,,,,,,,,
14053585,home,AZ Alkmaar,Kees Smit,kees-smit,K. Smit,M,26,182.0,3641,M,1405756,EUR,1137801600,M,26,26,False,36.0,32.0,2.0,1.0,0.0,13.0,15.0,19.0,21.0,5.0,,,,,76.0,47.0,7.0,7.0,0.144839,,1,,0.3,0.33,-0.04,,,,2.0,5.0,2.0,2.0,,,,,,,2.0,2.0,1.0,1.0,0.101,,1.0,-0.22,,3.0,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,
14053585,home,AZ Alkmaar,Ernest Poku,ernest-poku,E. Poku,M,19,172.0,4932,M,1119502,EUR,1075248000,M,7,7,False,18.0,14.0,,,1.0,3.0,5.0,11.0,13.0,6.0,,,,,77.0,33.0,6.8,10.0,0.0189837,,0,,-0.12,0.33,-0.06,,,,1.0,6.0,6.0,5.0,,,,,,2.0,,,3.0,,,,1.0,,1.0,3.0,,,,,,,,,2.0,1.0,,1.0,,,,,,
14053585,home,AZ Alkmaar,Sven Mijnans,sven-mijnans,S. Mijnans,M,10,190.0,1207,M,980671,EUR,952560000,M,10,10,False,31.0,20.0,3.0,2.0,0.0,10.0,13.0,10.0,18.0,2.0,,,,,85.0,49.0,6.4,16.0,0.0355554,,2,,-0.22,0.16,-0.03,,,,3.0,5.0,1.0,,,,1.0,,1.0,,3.0,2.0,1.0,1.0,0.203,0.0669,1.0,-0.51,1.0,7.0,,3.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,
14053585,home,AZ Alkmaar,Ro-Zangelo Daal,ro-zangelo-daal,R. Daal,M,27,173.0,428,M,1145989,EUR,1096675200,M,27,27,False,20.0,16.0,2.0,2.0,0.0,8.0,9.0,8.0,11.0,3.0,,,,,68.0,32.0,7.6,9.0,0.0889641,,0,,0.31,0.67,-0.13,,,,,5.0,3.0,2.0,,,,,,,,,1.0,3.0,,,1.0,,,5.0,,,,2.0,,,,,2.0,,,,,,,,,
