match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_unsuccessfulTouch,captain,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_blockedScoringAttempt,stat_accurateCross,stat_wonTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_goalAssist,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyWon
10433973,home,Ümraniyespor,Orkun Özdemir,,,orkun-ozdemir,O. Özdemir,G,190,20,M,953335,EUR,798595200,G,13,13,False,23.0,19.0,6.0,2.0,19.0,20.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,90.0,30.0,6.2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433973,home,Ümraniyespor,Serkan Göksu,,,serkan-goksu,S. Göksu,M,182,8,M,595044,EUR,737769600,D,8,8,False,42.0,33.0,5.0,2.0,15.0,19.0,23.0,4.0,3.0,6.0,,,,,,82.0,58.0,6.7,11.0,1,8,18.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433973,home,Ümraniyespor,Isaac Sackey,,,isaac-sackey,I. Sackey,M,190,64,M,292965,EUR,765417600,D,5,5,False,40.0,34.0,9.0,5.0,20.0,21.0,19.0,1.0,2.0,8.0,,2.0,,,,90.0,45.0,6.3,7.0,1,,14.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
10433973,home,Ümraniyespor,Tomislav Glumac,,,tomislav-glumac,T. Glumac,D,194,39,M,93736,EUR,674179200,D,44,44,False,52.0,42.0,12.0,8.0,17.0,19.0,33.0,1.0,6.0,3.0,,1.0,,,,90.0,71.0,7.4,10.0,1,44,25.0,1.0,7.0,,,,,4.0,,,,True,4.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,
10433973,home,Ümraniyespor,Ermir Lenjani,,,ermir-lenjani,E. Lenjani,D,175,85,M,50231,EUR,618278400,D,3,3,False,18.0,11.0,1.0,,3.0,7.0,13.0,1.0,5.0,1.0,,1.0,,,,64.0,46.0,6.8,13.0,1,33,8.0,,4.0,,,,,2.0,,1.0,2.0,,2.0,,,,,2.0,2.0,1.0,,,,,,,,,,
10433973,home,Ümraniyespor,Kartal Kayra Yılmaz,,,kartal-kayra-yilmaz,K. K. Yılmaz,M,177,1057,M,966811,EUR,973296000,M,41,41,False,50.0,43.0,8.0,6.0,23.0,26.0,36.0,3.0,1.0,9.0,,1.0,,,,90.0,71.0,7.3,18.0,0,17,22.0,2.0,3.0,,1.0,,,1.0,2.0,4.0,,,,,,,,1.0,12.0,,2.0,2.0,,,,,,,,
10433973,home,Ümraniyespor,Geraldo,,,geraldo,Geraldo,M,170,192,M,244089,EUR,690854400,M,29,29,False,19.0,10.0,1.0,,1.0,1.0,23.0,7.0,,3.0,,2.0,,,,90.0,38.0,6.7,18.0,1,29,12.0,,6.0,1.0,2.0,,,,1.0,2.0,3.0,,1.0,,1.0,,1.0,2.0,5.0,,3.0,1.0,4.0,2.0,,,,,,
10433973,home,Ümraniyespor,Oğuz Gürbulak,,,oguz-gurbulak,O. Gürbulak,M,178,15,M,139439,EUR,713404800,M,20,20,False,13.0,10.0,1.0,,6.0,6.0,8.0,2.0,,5.0,,1.0,,,,45.0,22.0,6.6,6.0,0,20,4.0,,4.0,1.0,,,,,2.0,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,
10433973,home,Ümraniyespor,Durel Avounou,,,durel-avounou,D. Avounou,M,179,115,M,878635,EUR,875145600,M,14,14,False,25.0,17.0,3.0,3.0,7.0,10.0,15.0,1.0,2.0,6.0,,,,,,64.0,40.0,7.2,11.0,0,92,10.0,,3.0,,,,,1.0,,2.0,2.0,,,,,,1.0,3.0,,,,,1.0,,1.0,,,,,
10433973,home,Ümraniyespor,Valentin Gheorghe,,,gheorghe-valentin,V. Gheorghe,M,175,86,M,845365,EUR,855878400,M,7,7,False,2.0,1.0,,,,1.0,1.0,,,2.0,,,,,,45.0,9.0,6.5,4.0,1,11,1.0,,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,
