match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_errorLeadToAGoal,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_dispossessed,stat_totalContest,stat_clearanceOffLine,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_accurateCross,captain,stat_blockedScoringAttempt,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_errorLeadToAShot
14566911,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6831,M,unai_simon,797291,EUR,865987200,G,1,1,False,21.0,18.0,8.0,5.0,0.0,16.0,17.0,2.0,4.0,1.0,14.0,1.0,2.0,2.0,5.0,5.0,90.0,36.0,6.5,4.0,0.00069125,20.628,5.12014,0.0,0.0707,0,-0.4402,0.09,-0.01,-0.03,-0.59,3.31,1.57,0.2,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566911,home,Athletic Club,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174,536,M,,866810,EUR,839116800,D,2,2,False,39.0,33.0,4.0,2.0,0.0,9.0,11.0,24.0,28.0,1.0,5.0,,,,,,65.0,54.0,6.5,10.0,0.0260847,30.636,7.95288,18.0,,0,,0.1,0.12,-0.22,,2.06,3.81,1.1,0.66,0.34,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566911,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186,1138,M,,959872,EUR,956966400,D,4,4,False,57.0,51.0,8.0,6.0,0.0,33.0,35.0,18.0,22.0,7.0,5.0,,,,,,90.0,75.0,6.1,6.0,0.0489749,29.916,10.03342,10.0,,1,,0.25,0.08,-0.32,,2.89,4.95,1.44,0.55,0.2,,2.0,3.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,5.0,1.0,0.7152,1.0,-0.82,,,,,,,,,,,,,,,,,
14566911,home,Athletic Club,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,14,14,False,49.0,44.0,7.0,3.0,0.0,27.0,28.0,17.0,21.0,2.0,5.0,,,,,,90.0,57.0,6.8,5.0,0.00925972,29.664,10.0282,10.0,,0,,0.25,0.14,-0.08,,2.87,5.08,1.35,0.54,0.2,,3.0,2.0,1.0,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
14566911,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1143,M,,84531,EUR,634608000,D,17,17,False,56.0,49.0,3.0,1.0,0.0,22.0,22.0,27.0,34.0,,9.0,,,,,,90.0,85.0,8.1,17.0,0.0329631,30.528,10.44635,15.0,,0,,0.32,0.08,0.26,,2.88,5.2,1.37,0.67,0.32,5.0,3.0,10.0,,,1.0,,,,4.0,,,,,,2.0,,2.0,1.0,1.0,1.0,6.0,4.0,3.0,,,,,,,,,,
14566911,home,Athletic Club,Alejandro Rego,rego-mora-alejandro,A. R. Mora,M,30,192,538,M,,2110897,EUR,1055289600,M,30,30,False,34.0,30.0,,,0.0,8.0,8.0,22.0,26.0,1.0,1.0,,,,,,65.0,44.0,7.0,5.0,0.389415,28.512,7.95917,6.0,,1,,0.37,0.07,0.18,,1.96,4.07,1.32,0.49,0.12,,2.0,2.0,,,1.0,,,,,1.0,1.0,1.0,,0.3858,2.0,-0.03,1.0,,1.0,,2.0,,,2.0,,,,,,,,,
14566911,home,Athletic Club,Mikel Jauregizar,mikel-jauregizar,M. Jauregizar,M,18,177,1786,M,,1495844,EUR,1068681600,M,18,18,False,63.0,52.0,8.0,5.0,2.0,20.0,21.0,32.0,42.0,,6.0,,,,,,90.0,84.0,7.8,20.0,0.405996,27.576,11.2955,5.0,,0,,0.41,0.21,-0.19,,2.83,5.98,1.83,0.55,0.1,5.0,6.0,7.0,4.0,,,,,1.0,2.0,,,1.0,,,4.0,,,1.0,,,5.0,3.0,5.0,2.0,2.0,,,,,,,,
14566911,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186,20576,M,IñakiWill,783374,EUR,771638400,M,9,9,False,11.0,5.0,,,0.0,3.0,4.0,2.0,7.0,,3.0,,,,,,38.0,21.0,6.5,10.0,0.00490095,31.68,3.79304,8.0,,1,,-0.16,0.22,0.26,,1.31,1.47,0.5,0.31,0.2,,3.0,1.0,,,,,,,,,,,,0.0799,,-0.11,1.0,1.0,2.0,,1.0,,1.0,,,True,1.0,,,,,,
14566911,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188,3417,M,,966801,EUR,956620800,M,8,8,False,35.0,31.0,,,0.0,8.0,8.0,23.0,27.0,,5.0,,,,,,81.0,54.0,6.3,13.0,0.185144,27.864,9.30589,8.0,,3,,0.29,0.17,-0.07,,2.82,4.24,1.51,0.59,0.15,1.0,6.0,4.0,,,3.0,,,1.0,,1.0,3.0,,,0.7663,3.0,-0.59,,,3.0,,3.0,2.0,6.0,,,,,1.0,,,,,
14566911,home,Athletic Club,Nico Williams,nico-williams,N. Williams,M,10,180,84078,M,NicoWill,1085400,EUR,1026432000,M,10,10,False,34.0,26.0,,,0.0,7.0,8.0,19.0,26.0,,5.0,,,,,,65.0,60.0,6.2,22.0,0.136364,30.816,6.88931,11.0,,4,,0.11,0.57,-0.09,,2.41,3.05,0.77,0.42,0.25,3.0,8.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,0.2028,1.0,-0.59,,3.0,4.0,,1.0,1.0,5.0,,1.0,,3.0,,,,,,
