match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalOffside,stat_challengeLost,stat_totalTackle,player_lastName,player_jerseyNumber,stat_shotOffTarget,stat_unsuccessfulTouch,stat_dispossessed,stat_wonTackle,stat_fouls,captain,stat_keyPass,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalAssist,stat_ownGoals,stat_goals
10406983,home,RFC Seraing,Timothy Martin,Timothy Martin,timothy-martin,T. Martin,G,190,29,M,1123609,EUR,985651200,G,16,16,False,29.0,12.0,27.0,10.0,7.0,8.0,5.0,21.0,1.0,3.0,1.0,5.0,2.0,1.0,90.0,36.0,6.4,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Daniel Opare,,daniel-opare,D. Opare,D,172,62,,121251,EUR,656208000,D,40,40,False,22.0,9.0,5.0,,6.0,12.0,3.0,11.0,,2.0,4.0,7.0,2.0,,89.0,47.0,6.7,21.0,1,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Marvin Tshibuabua,,marvin-tshibuabua,M. Tshibuabua,D,190,40,M,966923,EUR,1010448000,D,4,4,False,15.0,10.0,6.0,1.0,7.0,10.0,3.0,5.0,,2.0,2.0,4.0,1.0,,90.0,25.0,6.7,6.0,0,,,2.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Moustapha Mbow,,moustapha-mbow,M. Mbow,D,187,1696,M,982319,EUR,952473600,D,99,99,False,21.0,15.0,7.0,3.0,10.0,13.0,5.0,8.0,4.0,6.0,7.0,3.0,1.0,,90.0,40.0,7.3,8.0,1,,,,,,2.0,1.0,,,1.0,,5,1.0,1.0,,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Morgan Poaty,,morgan-poaty,M. Poaty,D,175,121,M,850895,EUR,868924800,D,18,18,False,19.0,10.0,3.0,,3.0,7.0,7.0,12.0,,4.0,6.0,3.0,2.0,,90.0,54.0,6.4,20.0,0,,,4.0,,,1.0,,,,2.0,,18,,1.0,3.0,2.0,1.0,,,,,,,,,,,,
10406983,home,RFC Seraing,Sami Lahssaini,,sami-lahssaini,S. Lahssaini,M,177,233,M,957895,EUR,906076800,M,15,15,False,13.0,9.0,,,6.0,7.0,3.0,6.0,,1.0,1.0,1.0,1.0,,45.0,25.0,6.2,9.0,1,,,3.0,1.0,,,,,,,,15,1.0,2.0,2.0,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Christophe Lepoint,,christophe-lepoint,C. Lepoint,D,188,10,M,45907,EUR,467424000,M,23,23,False,22.0,18.0,2.0,,13.0,15.0,5.0,7.0,3.0,8.0,3.0,7.0,1.0,,90.0,40.0,7.4,8.0,2,,,5.0,1.0,,,1.0,1.0,2.0,4.0,,,2.0,2.0,,2.0,2.0,True,1.0,,,,,,,,,,
10406983,home,RFC Seraing,Steve Mvoué,,mvoue-steve,S. Mvoué,M,185,158,M,985969,EUR,1012608000,M,5,5,False,26.0,22.0,3.0,2.0,10.0,10.0,12.0,17.0,2.0,9.0,,7.0,,,83.0,48.0,6.9,11.0,1,1.0,,7.0,3.0,,,1.0,,,5.0,,10,1.0,1.0,4.0,3.0,2.0,,,2.0,,,,,,,,,
10406983,home,RFC Seraing,Junior Marsoni Sambu Mansoni​,,junior-marsoni-sambu-mansoni,J. M. S. Mansoni,D,185,79,M,874855,EUR,833760000,F,21,21,False,15.0,13.0,,,4.0,5.0,9.0,11.0,,2.0,1.0,7.0,1.0,,90.0,32.0,6.5,10.0,0,1.0,1.0,6.0,1.0,,,1.0,,1.0,1.0,,70,,4.0,1.0,,2.0,,,,,,,,,,,,
10406983,home,RFC Seraing,Vagner Dias,,vagner-dias,V. Dias,F,168,117,M,913191,EUR,821232000,F,7,7,False,16.0,11.0,2.0,,3.0,5.0,11.0,16.0,1.0,6.0,,5.0,1.0,,89.0,40.0,6.9,17.0,0,5.0,4.0,10.0,5.0,,,,1.0,,2.0,,,,4.0,3.0,1.0,,,2.0,2.0,3.0,,,,,,,,
10406983,home,RFC Seraing,Antoine Bernier,,antoine-bernier,A. Bernier,M,170,106,M,834261,EUR,873849600,F,12,12,False,19.0,15.0,1.0,1.0,4.0,4.0,11.0,16.0,,3.0,,8.0,2.0,,90.0,35.0,6.8,12.0,1,1.0,,5.0,2.0,1.0,,,,1.0,,,17,,3.0,2.0,,1.0,,2.0,1.0,,1.0,,,,,,,
10406983,home,RFC Seraing,Sambou Sissoko,,sambou-sissoko,S. Sissoko,M,186,53,M,893030,EUR,925171200,M,27,27,True,10.0,5.0,1.0,,2.0,4.0,3.0,8.0,1.0,4.0,1.0,1.0,,,45.0,22.0,6.6,8.0,1,2.0,1.0,4.0,2.0,,,,,1.0,2.0,,6,,,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,
10406983,home,RFC Seraing,Mathieu Cachbach,Mathieu Cachbach,mathieu-cachbach,M. Cachbach,M,180,36,M,1127196,EUR,990576000,M,6,6,True,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,17.0,5.0,6.6,2.0,0,,,1.0,,,,2.0,,,1.0,,17,,,1.0,1.0,,,,,,,,,,,,,
10406983,home,RFC Seraing,Abdoulaye Sylla,Abdoulaye Sylla,abdoulaye-sylla,A. Sylla,D,181,345,M,1102501,EUR,955324800,D,2,2,True,,,,,,,,,,1.0,1.0,,,,1.0,4.0,,1.0,0,,,,,,,,,,1.0,,2,,,,1.0,,,,,,,,,,,,,
10406983,home,RFC Seraing,Ejaita Ifoni,Ejaita,ifoni-ejaita,E. Ifoni,F,187,26,M,1174492,EUR,950400000,F,29,29,True,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,,,8.0,4.0,6.5,1.0,0,,1.0,1.0,,,,,,,,Ifoni,26,,,,,,,,,,,,,,,,,
10406983,home,RFC Seraing,Guillaume Dietsch,,guillaume-dietsch,G. Dietsch,G,184,77,M,986770,EUR,987465600,G,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
