match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside
12764972,home,NK Olimpija Ljubljana,Matevž Vidovšek,matevz-vidovsek,M. Vidovšek,G,26,199.0,166,M,921405,EUR,941241600,G,69,69,False,17.0,13.0,8.0,4.0,0.0,11.0,11.0,2.0,6.0,1.0,2.0,1.0,9.0,1.0,2.0,2.0,4.0,1.0,90.0,32.0,6.6,4.0,0.00027091,0,-0.1037,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Marcel Ratnik,ratnik-marcel,M. Ratnik,D,14,186.0,331,M,1131229,EUR,1072137600,D,14,14,False,29.0,20.0,8.0,1.0,0.0,15.0,17.0,5.0,12.0,1.0,4.0,8.0,5.0,,,,,,90.0,43.0,6.4,10.0,0.00213678,0,,,,True,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Marko Ristić,marko-ristic,M. Ristić,D,15,178.0,57,M,1398913,EUR,1099267200,D,15,15,False,34.0,22.0,7.0,4.0,0.0,15.0,20.0,7.0,14.0,2.0,4.0,4.0,2.0,,,,,,90.0,48.0,6.5,14.0,0.044903,0,,Marko Ristic,,,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Ahmet Muhamedbegović,ahmet-muhamedbegovic,A. Muhamedbegović,D,17,186.0,79,M,863265,EUR,909705600,D,17,17,False,41.0,33.0,7.0,3.0,0.0,25.0,27.0,8.0,14.0,2.0,3.0,6.0,1.0,,,,,,90.0,48.0,6.0,8.0,0.00569255,0,,,,,3.0,5.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Jorge Silva,jorge-silva,J. Silva,D,7,183.0,110,M,790787,EUR,827452800,M,2,2,False,23.0,11.0,6.0,1.0,0.0,10.0,15.0,1.0,9.0,,7.0,4.0,6.0,3.0,,,,,90.0,51.0,6.5,21.0,0.00064311,1,,Jorge,Silva,,4.0,8.0,3.0,,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0202,,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Peter Agba,peter-agba,P. Agba,M,80,165.0,186,M,1002520,EUR,1040342400,M,6,6,False,18.0,13.0,,,0.0,11.0,14.0,2.0,4.0,,,1.0,5.0,,,,,,45.0,23.0,6.2,5.0,0.00354596,1,,,,,1.0,2.0,,,,,,1.0,,,,,,0.008,1.0,,,,,,,,,
12764972,home,NK Olimpija Ljubljana,Agustín Doffo,agustin-doffo,A. Doffo,M,34,179.0,87,M,796118,EUR,801360000,M,34,34,False,36.0,23.0,4.0,2.0,1.0,12.0,21.0,11.0,16.0,3.0,9.0,3.0,9.0,1.0,,,,,90.0,67.0,6.7,27.0,0.209281,1,,,,,2.0,16.0,2.0,2.0,3.0,,2.0,2.0,1.0,3.0,6.0,3.0,1.0,0.0139,,6.0,1.0,2.0,,,,,,
12764972,home,NK Olimpija Ljubljana,David Sualehe,david-sualehe,D. Sualehe,D,33,183.0,78,M,796161,EUR,859075200,M,3,3,False,35.0,20.0,5.0,,0.0,10.0,17.0,11.0,20.0,6.0,14.0,5.0,3.0,4.0,,,,,70.0,68.0,6.8,23.0,0.0464053,1,,,,,2.0,4.0,2.0,2.0,2.0,,1.0,,2.0,1.0,2.0,2.0,,0.0277,1.0,1.0,,,1.0,,,,,
12764972,home,NK Olimpija Ljubljana,Álex Blanco,alex-blanco,Á. Blanco,M,11,175.0,62,M,807119,EUR,913766400,F,11,11,False,11.0,8.0,1.0,1.0,0.0,4.0,5.0,4.0,6.0,,3.0,,2.0,,,,,,63.0,22.0,7.0,8.0,0.206315,3,,,,,,6.0,1.0,1.0,1.0,,,,,2.0,5.0,2.0,1.0,0.7165,,1.0,,1.0,,1.0,2.0,1.0,0.8632,
12764972,home,NK Olimpija Ljubljana,Marko Brest,brest-marko,M. Brest,M,18,173.0,112,M,1129975,EUR,1020988800,F,18,18,False,17.0,8.0,1.0,,0.0,4.0,6.0,5.0,13.0,2.0,8.0,1.0,4.0,1.0,,,,,69.0,31.0,6.8,15.0,0.0392024,0,,,,,2.0,7.0,5.0,3.0,2.0,,,2.0,2.0,,1.0,,,,,2.0,,1.0,1.0,,,,,
