match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_unsuccessfulTouch,stat_errorLeadToAGoal,stat_accurateCross,stat_keyPass,captain,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot
11453169,home,Al Raed,André Moreira,André,Moreira,andre-moreira,A. Moreira,G,195.0,72,M,576272,EUR,817862400,G,1,1,False,17.0,12.0,9.0,4.0,0.0,12.0,12.0,5.0,3.0,1.0,2.0,1.0,1.0,90.0,20.0,6.3,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453169,home,Al Raed,Mohammed Al-Dosari,,,mohammed-al-dosari,M. Al-Dosari,D,,12,M,970908,EUR,931651200,D,32,32,False,35.0,31.0,1.0,1.0,0.0,17.0,18.0,19.0,6.0,,,,,90.0,65.0,6.4,10.0,0,32,14.0,2.0,2.0,1.0,8.0,8.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
11453169,home,Al Raed,Mubarak Al-Rajeh,Mubarak Abdul Rahman Al Rajeh,,mubarak-al-rajeh,M. Al-Rajeh,D,,39,M,1429814,EUR,1059696000,D,94,94,False,16.0,15.0,,,0.0,8.0,8.0,8.0,,,,,,45.0,22.0,6.3,2.0,0,94,7.0,,,1.0,3.0,4.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11453169,home,Al Raed,Oumar Gonzalez,,,oumar-gonzalez,O. Gonzalez,D,186.0,312,M,842744,EUR,888364800,D,21,21,False,64.0,59.0,10.0,9.0,0.0,36.0,39.0,25.0,2.0,,,,,90.0,73.0,7.2,7.0,3,21,23.0,,,1.0,2.0,1.0,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
11453169,home,Al Raed,Mamadou Loum,,,mamadou-loum,M. Loum,M,193.0,526,M,796059,EUR,851904000,D,5,5,False,75.0,63.0,7.0,2.0,0.0,38.0,44.0,31.0,9.0,,,,,90.0,81.0,6.0,13.0,0,21,25.0,,,3.0,,4.0,,,,2.0,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,
11453169,home,Al Raed,Hamad Al-Jayzani,,,hamad-al-jayzani,H. Al-Jayzani,D,176.0,11,M,802975,EUR,731203200,D,28,28,False,42.0,38.0,,,0.0,16.0,19.0,30.0,6.0,,,,,90.0,64.0,6.2,16.0,1,28,23.0,7.0,,,5.0,2.0,,2.0,,,2.0,1.0,,4.0,,1.0,,,,3.0,,1.0,1.0,,,,,,,,
11453169,home,Al Raed,Mohamed Fouzair,,,mohamed-fouzair,M. Fouzair,M,168.0,271,M,893191,EUR,693532800,M,10,10,False,26.0,15.0,3.0,,1.0,5.0,7.0,24.0,5.0,,,,,90.0,56.0,8.0,23.0,4,,12.0,5.0,3.0,3.0,11.0,10.0,1.0,4.0,4.0,,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,,4.0,,2.0,2.0,True,2.0,,,,,,
11453169,home,Al Raed,Mathias Normann,,,mathias-normann,M. Normann,M,179.0,189,M,565686,EUR,833241600,M,8,8,False,89.0,77.0,16.0,9.0,0.0,34.0,36.0,55.0,9.0,,,,,90.0,97.0,7.0,13.0,1,12,44.0,2.0,,,1.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,
11453169,home,Al Raed,Khalid Alsubaie,,,khalid-alsubaie,K. Alsubaie,M,176.0,8,M,893373,EUR,940896000,M,24,24,False,71.0,60.0,7.0,5.0,2.0,25.0,26.0,51.0,3.0,,,,,89.0,84.0,9.0,17.0,1,27,37.0,6.0,,3.0,3.0,4.0,1.0,,,,1.0,,,,2.0,,1.0,1.0,,,,2.0,5.0,,,2.0,,,,,
11453169,home,Al Raed,Júlio Tavares,,,julio-tavares,J. Tavares,F,187.0,109,M,218652,EUR,595900800,F,17,17,False,9.0,8.0,,,1.0,5.0,5.0,5.0,,,,,,90.0,24.0,6.9,4.0,3,11,4.0,1.0,6.0,2.0,8.0,2.0,,,,1.0,,,,2.0,,2.0,1.0,,1.0,3.0,,1.0,2.0,,,,1.0,,,,
