match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_lastManTackle,captain,stat_totalCross,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_goals,stat_hitWoodwork,stat_goodHighClaim
14131872,home,Rio Ave,Cezary Miszta,,,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,27.0,15.0,18.0,6.0,0.0,12.0,20.0,3.0,7.0,2.0,2.0,2.0,9.0,1.0,4.0,5.0,2.0,2.0,2.0,90.0,43.0,7.2,12.0,0.0017659,0.6819,0,0.0318,0.05,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131872,home,Rio Ave,Andreas Ndoj,,,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,D,5,5,False,49.0,41.0,6.0,3.0,0.0,31.0,37.0,10.0,12.0,3.0,4.0,4.0,1.0,,,,,,,90.0,58.0,6.7,9.0,0.042384,,0,,0.19,0.04,-0.16,,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14131872,home,Rio Ave,Jonathan Panzo,,,jonathan-panzo,J. Panzo,D,37,186,230,M,867438,EUR,971568000,D,4,4,False,68.0,61.0,4.0,1.0,0.0,50.0,53.0,11.0,15.0,4.0,8.0,13.0,4.0,,,,,,,90.0,92.0,7.9,8.0,0.00311257,,0,,0.07,0.1,0.84,,2.0,4.0,4.0,1.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14131872,home,Rio Ave,Nelson Abbey,Nelson Abbey,,nelson-abbey,N. Abbey,D,6,187,247,M,1064359,EUR,1062028800,D,6,6,False,54.0,50.0,3.0,,0.0,38.0,40.0,12.0,14.0,,2.0,,6.0,,,,,,,81.0,58.0,6.9,4.0,0.00190123,,0,,0.1,0.04,0.68,,3.0,4.0,2.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
14131872,home,Rio Ave,Marios Vrousai,,,marios-vrousai,M. Vrousai,D,17,183,243,M,848521,EUR,899337600,M,17,17,False,33.0,24.0,3.0,,0.0,18.0,21.0,6.0,12.0,2.0,4.0,9.0,7.0,1.0,,,,,,90.0,64.0,6.7,16.0,0.0139589,,1,,0.2,0.28,-0.02,,1.0,7.0,1.0,4.0,3.0,,3.0,1.0,1.0,1.0,,True,2.0,1.0,1.0,0.0209,-0.1,,,,,,,,,,,,
14131872,home,Rio Ave,Theofanis Bakoulas,Theofanis Bakoulas,,theofanis-bakoulas,T. Bakoulas,M,29,175,462,M,1562121,EUR,1104796800,M,8,8,False,36.0,33.0,1.0,1.0,0.0,20.0,22.0,13.0,14.0,1.0,7.0,1.0,5.0,2.0,,,,,,90.0,50.0,7.0,9.0,0.340021,,0,,0.28,0.15,-0.07,,2.0,8.0,4.0,4.0,3.0,1.0,1.0,1.0,,3.0,,,,,,,,2.0,,,,,,,,,,,
14131872,home,Rio Ave,Brandon Aguilera,,,brandon-aguilera,B. Aguilera,M,10,180,927,M,1020203,EUR,1056758400,M,10,10,False,30.0,25.0,4.0,1.0,0.0,17.0,18.0,8.0,12.0,1.0,3.0,2.0,3.0,1.0,,,,,,63.0,42.0,6.6,11.0,0.00564528,,1,,-0.05,-0.53,-0.01,,,5.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,0.0469,-0.13,1.0,3.0,1.0,,,,,,,,,
14131872,home,Rio Ave,Nikolaos Athanasiou,,,athanasiou-nikolaos,N. Athanasiou,D,3,177,212,M,1100204,EUR,984614400,M,3,3,False,54.0,45.0,4.0,4.0,0.0,23.0,27.0,22.0,27.0,1.0,3.0,1.0,6.0,1.0,,,,,,81.0,71.0,7.7,14.0,0.106598,,1,,0.33,0.33,0.29,,1.0,3.0,1.0,1.0,2.0,3.0,,1.0,,1.0,,,4.0,1.0,,0.0095,0.01,,,,,,,,,,,,
14131872,home,Rio Ave,André Luiz,André Luiz,,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,11,11,False,14.0,12.0,,,1.0,5.0,5.0,7.0,9.0,,7.0,2.0,2.0,3.0,,,,,,74.0,39.0,8.2,7.0,0.615913,,7,,0.58,0.73,0.15,,2.0,5.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,2.0,,0.4571,-0.71,,3.0,2.0,2.0,1.0,1.0,3.0,0.1086,,,,
14131872,home,Rio Ave,Clayton,,,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,9,9,False,13.0,10.0,,,0.0,3.0,3.0,7.0,10.0,1.0,6.0,2.0,6.0,5.0,,,,,,90.0,27.0,7.8,6.0,0.0619857,,2,,0.33,0.36,0.23,,1.0,5.0,,1.0,2.0,1.0,,,,,,,1.0,,,0.6008,0.33,1.0,1.0,,,1.0,,2.0,1.1438,1.0,1.0,,
