match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_interceptionWon,player_firstName,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_unsuccessfulTouch,stat_dispossessed,player_lastName,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,captain,stat_wonContest,player_sofascoreId
11453008,home,Al-Riyadh,Andre Gray,andre-gray,A. Gray,F,45,178,272,M,73951,EUR,677894400,F,9,9,False,16.0,11.0,3.0,3.0,4.0,6.0,7.0,10.0,3.0,12.0,2.0,,,89.0,24.0,7.4,8.0,1,,,3.0,3.0,1.0,,,,2.0,6.0,1.0,,,,1.0,,1.0,3.0,3.0,,,,,1.0,,1.0,,,
11453008,home,Al-Riyadh,Saleh Al Abbas,saleh-al-abbas,S. A. Abbas,F,14,177,52,M,989766,EUR,797904000,F,14,14,True,5.0,3.0,1.0,,3.0,3.0,,3.0,2.0,5.0,3.0,,,36.0,15.0,6.6,6.0,1,1.0,,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,,,2.0,,,1.0,,1.0,,,,,
11453008,home,Al-Riyadh,Ahmad Asiri,ahmad-asiri,A. Asiri,D,13,179,31,M,350060,EUR,690076800,D,29,29,True,3.0,1.0,2.0,,1.0,1.0,,2.0,,,,,,12.0,6.0,6.7,2.0,0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Fahad Al-Reshedi,fahad-al-reshedi,F. Al-Reshedi,M,80,173,10,M,818573,EUR,676339200,M,80,80,True,3.0,3.0,,,1.0,1.0,3.0,3.0,,,,,,12.0,4.0,6.7,,0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11453008,home,Al-Riyadh,Abdulhadi Al-Harajin,abdulhadi-al-harajin,A. Al-Harajin,M,8,171,18,M,818887,EUR,785289600,M,15,15,True,,,,,,,,,,,,,,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Abdulrahman Al Shammari,abdulrahman-al-shammari,A. A. Shammari,G,22,178,15,M,982349,EUR,963100800,G,40,40,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Amiri Kurdi,amiri-kurdi,A. Kurdi,D,,179,20,M,115129,EUR,684547200,D,2,2,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Mohamed Al Oqil,mohamed-al-oqil,M. A. Oqil,M,18,177,5,M,1521957,EUR,870134400,M,18,18,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Mohamed Al Oqil,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Mohammed Al Aqal,mohammed-al-aqal,M. A. Aqal,M,90,182,24,M,1127133,EUR,949881600,M,7,7,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Mohammed Al Aqal,,,,,,,,,,,,,,,,
11453008,home,Al-Riyadh,Abdulrahman Al Yami,abdulrahman-al-yami,A. A. Yami,F,,172,4,M,872618,EUR,866678400,F,3,3,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187,324,M,235686,EUR,654652800,G,18,18,False,14.0,13.0,5.0,4.0,10.0,11.0,3.0,3.0,,,11.0,2.0,3.0,90.0,28.0,7.0,1.0,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Mohammed Essa Harbush,mohammed-essa-harbush,M. E. Harbush,D,38,170,36,M,1201501,EUR,1051142400,D,38,38,False,21.0,18.0,1.0,,4.0,4.0,14.0,19.0,,2.0,1.0,,,45.0,28.0,6.7,7.0,0,2.0,,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,Mohammed Essa Harbush,,,,,1.0,1.0,,,,,,,,,,
11453008,away,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188,76,M,584430,EUR,706492800,D,4,4,False,55.0,51.0,6.0,5.0,27.0,29.0,24.0,26.0,,1.0,5.0,,,90.0,61.0,7.6,4.0,1,,,5.0,,,2.0,,,2.0,1.0,3.0,,,,,,,,,,,,,1.0,,1.0,,,
11453008,away,Al-Shabab,Romain Saïss,romain-saiss,R. Saiss,D,29,190,7929,M,187729,EUR,638409600,D,14,14,False,62.0,59.0,13.0,11.0,24.0,26.0,35.0,36.0,2.0,2.0,11.0,,,90.0,68.0,7.8,4.0,2,,,3.0,,,,2.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,2.0,,1.0,,,romain_saiss27
11453008,away,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168,15,M,1152012,EUR,993340800,D,16,16,False,41.0,36.0,1.0,1.0,12.0,12.0,24.0,30.0,,1.0,6.0,,,90.0,73.0,7.7,11.0,2,1.0,,9.0,,1.0,,1.0,1.0,3.0,1.0,2.0,5.0,Hussain Alsebyani,1.0,2.0,,,1.0,5.0,,,3.0,,,1.0,,,3.0,
11453008,away,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177,32,M,893218,EUR,787881600,M,15,15,False,54.0,51.0,2.0,1.0,11.0,11.0,40.0,44.0,,4.0,2.0,,,79.0,66.0,7.0,9.0,1,1.0,,3.0,,,,1.0,1.0,1.0,4.0,,1.0,,,,,,2.0,4.0,,,1.0,,,1.0,,,1.0,
11453008,away,Al-Shabab,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175,1944,M,180059,EUR,719020800,M,6,6,False,95.0,88.0,8.0,7.0,20.0,20.0,68.0,75.0,,3.0,10.0,,,90.0,112.0,7.6,11.0,1,,,7.0,,,,3.0,1.0,3.0,2.0,1.0,1.0,,,,,,2.0,3.0,1.0,,,,,1.0,,,,
11453008,away,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174,1194,M,31981,EUR,583545600,M,10,10,False,95.0,85.0,10.0,4.0,14.0,14.0,71.0,93.0,,1.0,4.0,,,90.0,119.0,7.8,25.0,2,12.0,,5.0,,,,,,2.0,,,,,1.0,,,,4.0,,1.0,,3.0,,,1.0,,True,3.0,
11453008,away,Al-Shabab,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168,92,M,803052,EUR,711244800,F,11,11,False,17.0,12.0,,,1.0,1.0,11.0,18.0,,1.0,1.0,,,45.0,25.0,7.0,8.0,1,2.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,
11453008,away,Al-Shabab,Habib Diallo,habib-diallo,H. Diallo,F,30,186,7474,M,802159,EUR,803433600,F,20,20,False,7.0,5.0,,,2.0,2.0,3.0,5.0,1.0,2.0,,,,45.0,9.0,6.3,3.0,1,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,habibdiallo28
11453008,away,Al-Shabab,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180,4751,M,182001,EUR,747100800,F,23,23,False,50.0,44.0,3.0,3.0,6.0,6.0,41.0,51.0,,6.0,4.0,,,90.0,78.0,8.6,18.0,4,7.0,3.0,3.0,,,,,,1.0,3.0,,,,2.0,,2.0,3.0,3.0,3.0,3.0,,4.0,,,2.0,,,2.0,yannickferreiracarrasco
11453008,away,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,True,23.0,22.0,,,5.0,5.0,17.0,24.0,1.0,3.0,2.0,,,45.0,33.0,6.5,8.0,0,6.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
11453008,away,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176,437,M,555624,EUR,808444800,F,13,13,True,12.0,10.0,,,1.0,1.0,9.0,11.0,1.0,3.0,1.0,,,45.0,17.0,6.8,4.0,1,,,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,2.0,,1.0,,,,1.0,
11453008,away,Al-Shabab,Abdullah Radif,abdullah-radif,A. H. Radif,F,21,185,510,M,1101759,EUR,1043107200,F,49,49,True,5.0,5.0,,,1.0,1.0,4.0,4.0,,4.0,,,,45.0,13.0,6.6,3.0,1,,,1.0,,1.0,,,,1.0,1.0,,,Abdullah Radif,1.0,,,,1.0,,3.0,,,,,,,,,
11453008,away,Al-Shabab,Fahad Al-Muwallad,fahad-al-muwallad,F. Al-Muwallad,M,,167,183,M,160909,EUR,779500800,F,8,8,True,5.0,5.0,,,,,5.0,5.0,,1.0,,,,11.0,8.0,6.6,1.0,1,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,
11453008,away,Al-Shabab,Fawaz Al-Qarni,fawaz-al-qarni,F. Al-Qarni,G,,185,18,M,160929,EUR,702172800,G,22,22,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184,534,M,923040,EUR,831513600,D,88,88,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172,36,M,828444,EUR,730771200,M,12,12,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Nawaf Al Sadi,nawaf-alsadi,N. A. Sadi,M,18,172,64,M,1115888,EUR,972086400,M,21,21,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Nawaf Alsadi,,,,,,,,,,,,,,,,
11453008,away,Al-Shabab,Riyadh Sharahili,riyadh-sharahili,R. Sharahili,M,26,185,28,M,818624,EUR,735955200,M,26,26,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
