match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_totalTackle,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_goals,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_wonTackle
10385561,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,32.0,26.0,8.0,4.0,25.0,29.0,1.0,3.0,4.0,90.0,36.0,6.3,7.0,0.0,0.0,0.00010994,0,-0.4343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,82.0,75.0,2.0,1.0,46.0,50.0,29.0,32.0,4.0,90.0,88.0,6.5,7.0,0.0,0.0,0.014595,0,,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,96.0,92.0,11.0,7.0,75.0,77.0,17.0,19.0,2.0,90.0,102.0,6.4,5.0,0.0,0.0,0.00682068,0,,1.0,4.0,,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,97.0,94.0,2.0,1.0,55.0,55.0,39.0,42.0,5.0,90.0,110.0,7.1,6.0,0.0,0.0,0.0194957,0,,,,,,2.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22354,M,johnstones5,152077,EUR,770083200,M,5,5,False,67.0,64.0,3.0,3.0,38.0,39.0,26.0,28.0,2.0,90.0,80.0,6.9,3.0,0.0,0.0,0.0161599,0,,,2.0,2.0,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,97.0,92.0,5.0,4.0,52.0,53.0,40.0,44.0,12.0,83.0,109.0,6.8,8.0,0.1041,0.111,0.0545446,3,,,6.0,4.0,2.0,,2.0,2.0,,,1.0,2.0,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70808,M,RMahrez,158213,EUR,667094400,F,26,26,False,62.0,53.0,4.0,4.0,16.0,16.0,38.0,56.0,5.0,90.0,92.0,8.2,22.0,0.2744,0.0,0.153745,4,,1.0,6.0,8.0,,,1.0,1.0,,,,1.0,,,5.0,2.0,,2.0,1.0,10.0,1.0,1.0,2.0,5.0,1.0,6.0,,,,,,,,
10385561,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,71.0,63.0,5.0,3.0,18.0,20.0,46.0,56.0,3.0,90.0,89.0,9.1,15.0,0.8411,0.5582,0.629401,1,,1.0,3.0,6.0,1.0,,1.0,,1.0,1.0,1.0,,,,4.0,3.0,1.0,,1.0,5.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,,,,,,
10385561,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,8,8,False,57.0,50.0,2.0,2.0,22.0,23.0,28.0,34.0,3.0,90.0,66.0,7.5,9.0,0.4485,0.9566,0.0891315,3,,1.0,2.0,3.0,1.0,,,,,,1.0,,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,True,,,,,
10385561,home,Manchester City,Jack Grealish,jack-grealish,J. Grealish,M,18,180,58418,M,JGrealish,189061,EUR,810691200,F,10,10,False,60.0,54.0,1.0,1.0,14.0,15.0,40.0,45.0,3.0,89.0,73.0,9.0,7.0,0.4776,1.567,0.625793,3,,1.0,3.0,6.0,,,,,,,1.0,2.0,,,2.0,2.0,3.0,,1.0,,,1.0,,4.0,,1.0,,1.0,,,,,,
10385561,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,224894,M,LaAraña,944656,EUR,949276800,F,19,19,False,18.0,15.0,1.0,1.0,2.0,4.0,13.0,14.0,,90.0,33.0,7.5,10.0,0.8159,0.6807,0.0765091,3,,,7.0,2.0,2.0,,,3.0,1.0,,3.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,,
10385561,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,M,20,20,True,13.0,13.0,,,9.0,9.0,4.0,4.0,,11.0,15.0,6.6,,0.0,0.0,0.00907882,0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,80,80,True,2.0,2.0,,,,,2.0,2.0,1.0,1.0,3.0,,1.0,0.0,0.0,0.00323078,0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11850,M,stefan.ortega1,125274,EUR,721008000,G,18,18,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17497,M,Rico_Lewis,1136731,EUR,1100995200,D,82,82,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,Rico Lewis,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10335,M,laporte27,149734,EUR,769996800,D,14,14,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178,8372,M,maxiperrone16,1086286,EUR,1041897600,M,32,32,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,Maximo Perrone,,,,,,,,,,,,,,,,,,,,,
10385561,home,Manchester City,Kalvin Phillips,kalvin-phillips,K. Phillips,M,27,177,9303,M,kalvinphillips,786028,EUR,817862400,M,4,4,True,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
