match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_fouls,stat_aerialLost,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_totalOffside
10385636,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,47.0,39.0,19.0,12.0,34.0,38.0,5.0,9.0,1.0,1.0,5.0,1.0,1.0,1.0,90.0,52.0,6.5,8.0,0.0,0.0,0.00160393,0,-0.8391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385636,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,32.0,29.0,,,14.0,15.0,15.0,17.0,4.0,2.0,4.0,,,,90.0,48.0,6.7,5.0,0.0,0.0,0.00801381,0,,,,3.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385636,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22354,M,johnstones5,152077,EUR,770083200,D,5,5,False,57.0,50.0,4.0,1.0,35.0,41.0,15.0,16.0,5.0,,,,,,90.0,61.0,7.5,7.0,0.1581,0.2704,0.0140281,1,,,,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10385636,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,80.0,65.0,8.0,2.0,47.0,53.0,18.0,27.0,2.0,1.0,6.0,1.0,,,90.0,86.0,6.5,17.0,0.0,0.0,0.00777363,0,,,,1.0,3.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10385636,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,48.0,44.0,3.0,2.0,33.0,34.0,11.0,14.0,6.0,1.0,2.0,1.0,,,90.0,65.0,6.8,6.0,0.0,0.0,0.118558,0,,,,1.0,6.0,1.0,,3.0,2.0,,,,3.0,3.0,,,,1.0,1.0,,,,,,,,,,
10385636,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,KDB,70996,EUR,678067200,M,17,17,False,32.0,24.0,1.0,,4.0,7.0,20.0,27.0,5.0,,3.0,1.0,,,80.0,46.0,9.3,13.0,0.5643,0.4871,0.203012,4,,,,3.0,4.0,1.0,,,,2.0,2.0,,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,
10385636,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,61.0,54.0,6.0,4.0,35.0,36.0,19.0,25.0,5.0,2.0,8.0,3.0,,,90.0,72.0,6.5,9.0,0.0,0.0,0.0105209,0,,,,,9.0,1.0,,2.0,1.0,,,,4.0,2.0,,,,,1.0,,,3.0,,,1.0,,,,
10385636,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,51151,M,IGunny,45853,EUR,656726400,M,8,8,False,45.0,43.0,2.0,2.0,28.0,30.0,15.0,15.0,1.0,,5.0,,,,72.0,53.0,7.1,5.0,0.0418,0.0,0.216022,1,,,,,2.0,1.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,True,,,
10385636,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62967,M,BSilva,331209,EUR,776476800,F,20,20,False,29.0,22.0,1.0,,10.0,10.0,12.0,20.0,1.0,,2.0,,,,90.0,37.0,6.7,10.0,0.1407,0.1569,0.114399,2,,,,,6.0,,1.0,1.0,1.0,1.0,,,3.0,1.0,,,1.0,,1.0,,1.0,3.0,,1.0,,,,,
10385636,home,Manchester City,Erling Haaland,erling-haaland,E. Haaland,F,9,194,843810,M,EHaaland,839956,EUR,964137600,F,9,9,False,23.0,17.0,,,5.0,6.0,12.0,17.0,7.0,,3.0,2.0,,,90.0,36.0,8.7,8.0,1.623,1.6982,0.19357,6,,,,3.0,2.0,2.0,,,,5.0,1.0,,,1.0,,,3.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,2.0,,
