match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_goals,stat_fouls,stat_lastManTackle,captain,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_keyPass,stat_blockedScoringAttempt,stat_penaltyWon,stat_bigChanceMissed,stat_shotOffTarget,player_firstName,player_lastName,stat_dispossessed,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded
12773662,home,SC Freiburg,Florian Müller,florian-muller,F. Müller,G,21,190,203,M,842858,EUR,879379200,G,21,21,False,38.0,30.0,16.0,8.0,0.0,23.0,24.0,7.0,14.0,1.0,9.0,1.0,3.0,3.0,90.0,46.0,6.9,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12773662,home,SC Freiburg,Lukas Kübler,lukas-kubler,L. Kübler,D,17,183,237,M,142525,EUR,715132800,D,17,17,False,33.0,27.0,5.0,3.0,0.0,19.0,22.0,8.0,12.0,,4.0,,,,78.0,53.0,6.8,10.0,1,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12773662,home,SC Freiburg,Matthias Ginter,matthias-ginter,M. Ginter,D,28,189,886,M,142259,EUR,758937600,D,28,28,False,58.0,53.0,4.0,2.0,0.0,41.0,41.0,12.0,17.0,3.0,1.0,,,,90.0,67.0,7.4,7.0,1,,5.0,5.0,7.0,6.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12773662,home,SC Freiburg,Philipp Lienhart,philipp-lienhart,P. Lienhart,D,3,189,691,M,576266,EUR,837043200,D,3,3,False,63.0,51.0,6.0,1.0,0.0,32.0,35.0,19.0,28.0,4.0,5.0,,,,90.0,75.0,6.9,13.0,0,,2.0,,2.0,4.0,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
12773662,home,SC Freiburg,Christian Günter,christian-gunter,C. Günter,D,30,184,354,M,142231,EUR,730857600,D,30,30,False,44.0,39.0,4.0,2.0,0.0,15.0,16.0,28.0,39.0,,3.0,,,,90.0,64.0,7.3,13.0,0,11.0,2.0,,3.0,2.0,,,,,,,,,2.0,,1.0,,True,4.0,1.0,1.0,2.0,,,,,,,,,,
12773662,home,SC Freiburg,Patrick Osterhage,osterhage-patrick,P. Osterhage,M,6,183,262,M,914755,EUR,949363200,M,6,6,False,29.0,25.0,1.0,,0.0,10.0,13.0,15.0,17.0,2.0,1.0,,,,68.0,37.0,6.7,7.0,0,1.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
12773662,home,SC Freiburg,Maximilian Eggestein,maximilian-eggestein,M. Eggestein,M,8,181,429,M,569784,EUR,850003200,M,8,8,False,47.0,43.0,2.0,1.0,0.0,26.0,27.0,17.0,20.0,1.0,5.0,,,,90.0,58.0,7.3,5.0,1,,1.0,3.0,3.0,6.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,1.0,1.0,,,,,,,,
12773662,home,SC Freiburg,Maximilian Philipp,maximilian-philipp,M. Philipp,F,26,184,490,M,171927,EUR,762480000,M,26,26,False,12.0,11.0,1.0,1.0,0.0,9.0,10.0,4.0,4.0,1.0,1.0,,,,78.0,22.0,6.8,2.0,2,2.0,2.0,2.0,3.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,
12773662,home,SC Freiburg,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,849,M,1067120,EUR,1008201600,M,18,18,False,24.0,18.0,2.0,1.0,0.0,6.0,6.0,12.0,19.0,3.0,,,,,90.0,35.0,7.2,9.0,1,1.0,1.0,,5.0,2.0,3.0,,,,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,
12773662,home,SC Freiburg,Vincenzo Grifo,vincenzo-grifo,V. Grifo,M,32,181,2064,M,171961,EUR,734140800,M,32,32,False,57.0,53.0,4.0,3.0,1.0,23.0,24.0,33.0,39.0,3.0,3.0,,,,90.0,80.0,8.0,14.0,2,6.0,,,7.0,2.0,1.0,5.0,2.0,1.0,,,,1.0,,1.0,1.0,,,3.0,,,2.0,1.0,,,,,,2.0,,,
