match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_totalContest,stat_shotOffTarget,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_penaltyFaced,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_goalAssist
11450195,home,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,False,True,20.0,18.0,6.0,4.0,15.0,15.0,3.0,5.0,5.0,1.0,2.0,3.0,90.0,28.0,6.9,2.0,0.00108313,0,-0.3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Léo Dubois,leo-dubois,L. Dubois,D,,178,587,M,552680,EUR,779500800,D,15,15,False,,45.0,41.0,3.0,3.0,19.0,20.0,22.0,27.0,4.0,,,,89.0,56.0,6.8,8.0,0.0372686,0,,,,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,,81.0,75.0,6.0,6.0,45.0,48.0,30.0,33.0,5.0,,,,90.0,90.0,7.1,6.0,0.043335,1,,,,,4.0,6.0,2.0,,,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.2945,,,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,False,,79.0,77.0,3.0,3.0,55.0,56.0,22.0,23.0,4.0,,,,90.0,92.0,7.0,4.0,0.00764823,0,,,,,3.0,8.0,,1.0,3.0,,2.0,,,3.0,1.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,False,,97.0,79.0,13.0,4.0,30.0,37.0,49.0,63.0,3.0,,,,90.0,121.0,6.9,26.0,0.107935,0,,,,3.0,5.0,6.0,1.0,2.0,1.0,3.0,1.0,,,,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,10,10,False,,87.0,83.0,2.0,1.0,48.0,49.0,35.0,38.0,9.0,,,,89.0,95.0,6.9,6.0,0.0553081,1,,,,,2.0,2.0,,1.0,,,,,,2.0,,2.0,1.0,1.0,0.0152,1.0,1.0,,,,,,,,,,,,,,,,
11450195,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,,33.0,26.0,5.0,4.0,10.0,10.0,17.0,31.0,1.0,,,,90.0,57.0,6.9,19.0,0.0435539,2,,,,8.0,6.0,5.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,2.0,,2.0,0.155,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11450195,home,Başakşehir FK,Mehdi Abeid,mehdi-abeid,M. Abeid,M,,180,913,M,73056,EUR,713059200,M,19,19,False,,38.0,37.0,1.0,1.0,15.0,15.0,22.0,23.0,4.0,,,,82.0,46.0,7.3,5.0,0.0498631,1,,,,,7.0,2.0,2.0,3.0,1.0,1.0,,,,,,1.0,,4.0,0.0465,,,,1.0,,,4.0,1.0,1.0,1.0,,,,,,,,
11450195,home,Başakşehir FK,Dimitrios Pelkas,dimitrios-pelkas,D. Pelkas,M,10,175,1186,M,139304,EUR,751593600,M,14,14,False,,44.0,36.0,3.0,1.0,10.0,11.0,27.0,36.0,2.0,,,,81.0,56.0,7.3,12.0,0.0619316,3,,,,3.0,5.0,3.0,,,,,1.0,1.0,3.0,,,2.0,1.0,3.0,0.9633,1.0,,1.0,1.0,,,,,,,1.0,1.7867,,,,,,
11450195,home,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,,40.0,31.0,3.0,1.0,7.0,8.0,26.0,34.0,1.0,,,,82.0,51.0,6.4,12.0,0.140142,2,,,,2.0,5.0,1.0,,2.0,,2.0,1.0,,,1.0,,,,3.0,0.0477,1.0,,2.0,,,1.0,1.0,,2.0,,,,,,,,,
