match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_bigChanceCreated,stat_accurateCross,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_expectedGoals,stat_goalAssist,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_bigChanceMissed,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside
11391337,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,True,11.0,11.0,2.0,2.0,11.0,11.0,1.0,1.0,6.0,1.0,2.0,4.0,90.0,22.0,6.6,5.858e-05,0,0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391337,home,Stade Rennais,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,,47.0,45.0,1.0,,14.0,15.0,,5.0,3.0,,,,72.0,76.0,7.7,0.0340302,0,,Alidu Seidu,,31.0,35.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,9.0,2.0,,,,,,,,,,,,,,,,,
11391337,home,Stade Rennais,Warmed Omari,omari-warmed,W. Omari,D,17,185,538,M,999030,EUR,956448000,D,23,23,False,,61.0,54.0,8.0,4.0,21.0,23.0,3.0,4.0,3.0,,,,82.0,67.0,6.8,0.0453303,0,,,,33.0,38.0,,2.0,,2.0,,,1.0,,,,,7.0,,1.0,1.0,,,,,,,,,,,,,,,
11391337,home,Stade Rennais,Arthur Theate,arthur-theate,A. Theate,D,3,186,2210,M,965778,EUR,959212800,D,5,5,False,,78.0,70.0,5.0,2.0,25.0,27.0,1.0,3.0,4.0,,,,90.0,84.0,7.2,0.12018,0,,,,45.0,51.0,,,,2.0,,2.0,,,,2.0,,8.0,1.0,,,1.0,,,,,,,,,,,,,,
11391337,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,D,3,3,False,,52.0,43.0,2.0,1.0,13.0,13.0,1.0,1.0,3.0,,,,90.0,70.0,6.6,0.0762779,0,,,,31.0,41.0,2.0,3.0,1.0,1.0,,,,,,,2.0,12.0,2.0,,,,1.0,,,,,,,,,,,,,
11391337,home,Stade Rennais,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,344751,EUR,794707200,M,8,8,False,,47.0,44.0,5.0,4.0,9.0,9.0,1.0,3.0,3.0,,,,67.0,53.0,7.1,0.0791996,2,,,,35.0,38.0,,2.0,,1.0,,,1.0,,,,,3.0,,1.0,1.0,,,1.0,1.0,2.0,0.1296,,,,,,,,,
11391337,home,Stade Rennais,Benjamin Bourigeaud,benjamin-bourigeaud,B. Bourigeaud,M,19,178,962,M,324399,EUR,758505600,M,14,14,False,,64.0,54.0,9.0,6.0,15.0,16.0,1.0,1.0,1.0,,,,90.0,85.0,7.3,0.374973,3,,,,42.0,58.0,10.0,5.0,,,,,,,1.0,,2.0,19.0,6.0,1.0,1.0,,3.0,1.0,,1.0,0.2779,1.0,2.0,1.0,,,,,,
11391337,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,M,11,11,False,,40.0,35.0,2.0,2.0,7.0,8.0,,7.0,6.0,,,,90.0,66.0,6.7,0.157456,3,,,,28.0,36.0,4.0,10.0,3.0,,,,4.0,,2.0,,1.0,17.0,2.0,1.0,2.0,,,6.0,3.0,1.0,0.1231,,2.0,,,,,,,
11391337,home,Stade Rennais,Martin Terrier,martin-terrier,M. Terrier,F,11,184,2087,M,846445,EUR,857433600,M,7,7,False,,19.0,17.0,,,5.0,5.0,2.0,4.0,4.0,,,,90.0,30.0,7.0,0.348157,3,,,,12.0,14.0,,4.0,1.0,,,,,,3.0,2.0,,6.0,3.0,1.0,2.0,1.0,,,,2.0,0.2374,,1.0,,1.0,,,,,
11391337,home,Stade Rennais,Désiré Doué,desire-doue,D. Doué,F,14,181,91970,M,1154605,EUR,1117756800,M,33,33,False,,38.0,31.0,3.0,3.0,4.0,5.0,,11.0,6.0,,,,82.0,73.0,7.9,0.175446,4,,Désiré Doué,,30.0,39.0,6.0,10.0,1.0,1.0,,1.0,4.0,3.0,3.0,1.0,2.0,17.0,2.0,1.0,3.0,,3.0,9.0,6.0,2.0,0.1428,,,,,DD14,2.0,0.3503,,
