match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,player_sofascoreId,stat_dispossessed,stat_outfielderBlock,stat_keyPass,stat_challengeLost,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed
10407458,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1319,M,599114,EUR,802569600,G,1,1,False,34.0,30.0,11.0,7.0,26.0,26.0,4.0,8.0,12.0,1.0,1.0,2.0,1.0,1.0,90.0,41.0,7.3,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407458,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,91,M,30420,EUR,596678400,D,2,2,False,53.0,50.0,5.0,5.0,34.0,37.0,16.0,17.0,2.0,,,,,,70.0,76.0,8.4,5.0,2,,,1.0,1.0,4.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,
10407458,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1451,M,44575,EUR,604800000,D,23,23,False,93.0,80.0,13.0,4.0,72.0,78.0,8.0,15.0,5.0,,,,,,90.0,99.0,6.6,13.0,0,,,,,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,,,1.0,True,,,,,,,,,,,
10407458,home,Royal Antwerp FC,Willian Pacho,willian-pacho,W. Pacho,D,51,187,25491,M,979480,EUR,1003190400,D,51,51,False,66.0,60.0,3.0,1.0,56.0,60.0,4.0,6.0,2.0,,,,,,60.0,68.0,6.8,6.0,0,,,,1.0,1.0,2.0,3.0,,,,,,,,1.0,1.0,,1.0,1.0,,pachowilliam,,,,,,,,,,
10407458,home,Royal Antwerp FC,Sam Vines,sam-vines,S. Vines,D,3,178,116,M,894157,EUR,928108800,D,21,21,False,73.0,63.0,3.0,1.0,42.0,47.0,21.0,27.0,3.0,,,,,,90.0,96.0,6.8,17.0,0,,,1.0,1.0,,5.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,,
10407458,home,Royal Antwerp FC,Pieter Gerkens,pieter-gerkens,P. Gerkens,M,18,180,176,M,190401,EUR,808272000,M,16,16,False,23.0,16.0,2.0,1.0,8.0,11.0,8.0,12.0,2.0,,,,,,84.0,29.0,6.9,7.0,0,,,,2.0,3.0,4.0,6.0,,,,,,1.0,,2.0,2.0,,1.0,2.0,,,,,1.0,,,,,,,
10407458,home,Royal Antwerp FC,Alhassan Yusuf,alhassan-yusuf,A. Yusuf,M,80,175,922,M,943114,EUR,963878400,M,8,8,False,58.0,52.0,4.0,3.0,33.0,34.0,19.0,24.0,12.0,,,,,,90.0,75.0,7.2,9.0,1,,,,2.0,,10.0,8.0,1.0,,,1.0,,,3.0,4.0,4.0,,4.0,4.0,,,2.0,,,1.0,,,,,,
10407458,home,Royal Antwerp FC,Calvin Stengs,calvin-stengs,C. Stengs,M,23,187,1745,M,857480,EUR,913939200,M,14,14,False,35.0,27.0,5.0,1.0,12.0,13.0,16.0,25.0,2.0,,,,,,90.0,57.0,6.9,18.0,3,,,3.0,,1.0,2.0,6.0,3.0,2.0,,3.0,,,,,,4.0,3.0,,,,1.0,,2.0,,1.0,,,,,
10407458,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1146,M,904887,EUR,954892800,M,24,24,False,30.0,23.0,2.0,2.0,7.0,8.0,16.0,23.0,3.0,,,,,,90.0,48.0,7.7,15.0,4,,,1.0,,,8.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,3.0,,1.0,,,3.0,,4.0,3.0,,1.0,1.0,1.0,,
10407458,home,Royal Antwerp FC,Michel Ange Balikwisha,michel-ange-balikwisha,M. A. Balikwisha,M,10,177,4176,M,923969,EUR,989452800,M,10,10,False,20.0,16.0,,,8.0,9.0,9.0,14.0,5.0,,,,,,60.0,33.0,6.6,9.0,2,,,3.0,,,4.0,1.0,2.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,
