match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_totalCross,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_outfielderBlock,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_challengeLost,stat_totalOffside,stat_dispossessed,stat_wonContest,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyMiss
12530683,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,23.0,7.0,21.0,5.0,0.0,3.0,6.0,4.0,17.0,1.0,3.0,10.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,90.0,34.0,7.4,17.0,0.00173005,0,1.7993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,False,38.0,27.0,5.0,2.0,0.0,13.0,18.0,14.0,20.0,1.0,3.0,5.0,,1.0,,,,,,90.0,50.0,7.5,11.0,0.0445086,1,,True,1.0,7.0,1.0,1.0,3.0,2.0,3.0,0.0189,,,,,,,,,,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,12.0,9.0,2.0,1.0,0.0,8.0,9.0,1.0,3.0,4.0,6.0,1.0,,1.0,,,,,,90.0,21.0,7.0,3.0,0.00015701,0,,,3.0,4.0,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,30.0,18.0,8.0,,0.0,9.0,13.0,9.0,18.0,7.0,2.0,3.0,,3.0,,,,,,90.0,39.0,6.5,14.0,0.00446483,1,,,2.0,4.0,,1.0,2.0,2.0,,0.0453,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,M,94,94,False,27.0,23.0,6.0,6.0,1.0,9.0,12.0,15.0,17.0,,1.0,3.0,,,,,,,,84.0,51.0,7.4,11.0,0.138161,0,,,,2.0,,1.0,2.0,,,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,24.0,18.0,1.0,1.0,0.0,6.0,10.0,12.0,14.0,2.0,2.0,2.0,,1.0,,,,,,90.0,33.0,7.0,7.0,0.00627845,0,,,,3.0,,2.0,3.0,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12530683,home,Alanyaspor,Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,37.0,34.0,3.0,3.0,0.0,22.0,23.0,15.0,19.0,2.0,,7.0,,,,,,,,85.0,46.0,7.3,5.0,0.146988,1,,,,2.0,,,2.0,2.0,,0.0237,2.0,5.0,,,3.0,,,,,1.0,0.0689,,,,,,,,,,,,
12530683,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,32.0,23.0,8.0,2.0,0.0,10.0,11.0,13.0,23.0,1.0,1.0,5.0,,,,,,,,90.0,51.0,7.7,18.0,0.00679461,1,,,,3.0,,1.0,2.0,2.0,1.0,0.2247,1.0,2.0,,,,,1.0,1.0,2.0,1.0,0.6572,1.0,,,,,,,,,,,
12530683,home,Alanyaspor,Tonny Vilhena,,,tonny-vilhena,T. Vilhena,M,52,175,507,M,149659,EUR,789091200,F,52,52,False,12.0,9.0,,,0.0,2.0,2.0,8.0,13.0,8.0,,2.0,,4.0,,,,,,75.0,27.0,6.5,9.0,0.0825192,0,,,1.0,5.0,,,2.0,1.0,2.0,,2.0,3.0,2.0,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,
12530683,home,Alanyaspor,Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1040,M,791314,EUR,714960000,F,16,16,False,10.0,8.0,,,0.0,5.0,5.0,3.0,6.0,3.0,,2.0,,,,,,,,65.0,17.0,6.4,5.0,0.00496242,1,,,1.0,1.0,,1.0,,,,0.0576,1.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,
