match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_wonTackle,stat_totalCross,stat_totalContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,player_sofascoreId,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_goals
12504645,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,21.0,9.0,18.0,6.0,0.0,5.0,6.0,4.0,15.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,5.0,1.0,90.0,35.0,7.5,12.0,0.00144957,0,0.2998,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504645,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,D,27,27,False,7.0,5.0,1.0,,0.0,4.0,4.0,1.0,3.0,,2.0,3.0,2.0,1.0,,,,,,45.0,15.0,6.6,2.0,0.00016832,0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12504645,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,False,31.0,22.0,6.0,1.0,0.0,16.0,18.0,6.0,13.0,1.0,1.0,4.0,7.0,2.0,,,,,,90.0,42.0,6.9,9.0,0.00363144,0,,,2.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,
12504645,home,Hellas Verona,Daniele Ghilardi,daniele-ghilardi,D. Ghilardi,D,87,189,1128,M,1384847,EUR,1041811200,D,87,87,False,39.0,29.0,6.0,1.0,0.0,13.0,18.0,16.0,21.0,1.0,4.0,3.0,2.0,7.0,,,,,,90.0,49.0,6.7,10.0,0.211255,0,,3.0,,2.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
12504645,home,Hellas Verona,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,M,38,38,False,23.0,16.0,2.0,1.0,0.0,3.0,3.0,13.0,25.0,1.0,5.0,,,6.0,,,,,,90.0,42.0,6.5,16.0,0.00707992,1,,1.0,1.0,,2.0,,1.0,,,,5.0,2.0,1.0,1.0,0.0258,,,,,,,,,,,,,
12504645,home,Hellas Verona,Reda Belahyane,reda-belahyane,R. Belahyane,M,21,173,4290,M,1389689,EUR,1086048000,M,6,6,False,24.0,22.0,1.0,1.0,0.0,6.0,6.0,16.0,18.0,,5.0,3.0,,,,,,,,80.0,33.0,6.6,5.0,0.0111436,0,,,,2.0,4.0,1.0,1.0,Reda Belahyane,,,,1.0,,2.0,,reda.belahyane,1.0,,,,,,,,,,,
12504645,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,False,38.0,37.0,4.0,3.0,0.0,15.0,15.0,23.0,26.0,,7.0,7.0,1.0,5.0,5.0,,,,,90.0,59.0,6.9,8.0,0.028666,1,,1.0,4.0,2.0,3.0,,,,,2.0,3.0,2.0,,2.0,0.065,,1.0,1.0,1.0,1.0,,,,,,,,
12504645,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,False,23.0,15.0,2.0,1.0,0.0,5.0,6.0,12.0,24.0,,3.0,2.0,4.0,1.0,,,,,,73.0,49.0,7.0,15.0,0.0553048,0,,2.0,1.0,1.0,,1.0,1.0,,,,7.0,1.0,,,,,3.0,2.0,,,True,,,,,,,
12504645,home,Hellas Verona,Grigoris Kastanos,grigoris-kastanos,G. Kastanos,M,28,179,526,M,791566,EUR,886118400,F,20,20,False,15.0,12.0,,,0.0,6.0,7.0,6.0,8.0,2.0,6.0,2.0,1.0,1.0,,,,,,59.0,23.0,6.8,3.0,0.00672375,1,,1.0,,2.0,3.0,,1.0,,,1.0,,,1.0,,0.0237,,1.0,,,,,,,,,,,
12504645,home,Hellas Verona,Tomáš Suslov,tomas-suslov,T. Suslov,F,31,175,1258,M,964154,EUR,1023408000,F,31,31,False,16.0,13.0,3.0,2.0,0.0,3.0,3.0,11.0,15.0,3.0,12.0,6.0,,5.0,2.0,,,,,90.0,44.0,7.5,14.0,0.336316,5,,2.0,,,4.0,,,,,,2.0,4.0,3.0,6.0,0.3,,2.0,1.0,3.0,,,4.0,1.0,2.0,0.361,,,
