match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury
11834569,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,
11834569,,1.0,1.0,,89,,,2,,,goal,175399087.0,False,regular,539266.0,Daniele Collinge,
11834569,,,,,87,,,4,,,substitution,122256626.0,False,regular,,,False
11834569,,,,,75,,,16,,,substitution,122256460.0,True,regular,,,False
11834569,,,,,67,,,24,,,substitution,122256358.0,False,regular,,,False
11834569,,,,,67,,,24,,,substitution,122256357.0,False,regular,,,False
11834569,,,,,62,,,29,,,substitution,122256294.0,True,regular,,,False
11834569,,,,,62,,,29,,,substitution,122256293.0,True,regular,,,False
11834569,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,
11834569,,1.0,0.0,,44,,,2,,,goal,175395075.0,True,regular,829522.0,Shane McLoughlin,
