match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_bigChanceMissed,stat_totalOffside,captain,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goals,stat_errorLeadToAShot
12499537,home,VfL Bochum 1848,Patrick Drewes,patrick-drewes,P. Drewes,G,30,194,349,M,132607,EUR,728784000,G,27,27,False,38.0,27.0,20.0,9.0,0.0,22.0,26.0,5.0,12.0,10.0,1.0,4.0,4.0,90.0,43.0,6.7,11.0,0.00118012,0,-0.7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Tim Oermann,tim-oermann,T. Oermann,D,15,187,294,M,1138778,EUR,1065398400,D,14,14,False,37.0,32.0,4.0,2.0,0.0,25.0,26.0,7.0,11.0,,,,,90.0,44.0,6.6,6.0,0.0024422,0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Ivan Ordets,ivan-ordets,I. Ordets,D,,194,123,M,137673,EUR,710553600,D,20,20,False,60.0,51.0,8.0,5.0,0.0,38.0,40.0,13.0,20.0,11.0,,,,90.0,72.0,7.2,9.0,0.00606031,0,,2.0,4.0,3.0,,4.0,1.0,,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Bernardo,bernardo,Bernardo,D,13,186,580,M,828571,EUR,800409600,D,5,5,False,42.0,32.0,10.0,5.0,0.0,21.0,27.0,11.0,16.0,6.0,,,,90.0,68.0,7.4,12.0,0.00826199,1,,3.0,3.0,10.0,,2.0,6.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0513,,,,,,,,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Felix Passlack,passlack-felix,F. Passlack,M,25,170,280,M,795000,EUR,896400000,M,15,15,False,37.0,31.0,1.0,,0.0,11.0,13.0,23.0,42.0,4.0,,,,86.0,63.0,7.5,22.0,0.347529,1,,,1.0,1.0,,1.0,,,,1.0,1.0,,18.0,1.0,1.0,1.0,0.0283,3.0,1.0,3.0,,,,,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Ibrahima Sissoko,ibrahima-sissoko,I. Sissoko,M,28,193,1219,M,829093,EUR,877910400,M,6,6,False,43.0,32.0,5.0,1.0,0.0,18.0,21.0,14.0,22.0,6.0,,,,77.0,51.0,6.9,12.0,0.0177623,1,,,4.0,3.0,,,2.0,2.0,1.0,2.0,,1.0,,,1.0,,0.0231,,,1.0,1.0,1.0,1.0,1.0,0.0397,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Matúš Bero,matus-bero,M. Bero,M,19,181,413,M,187207,EUR,810345600,M,19,19,False,54.0,42.0,2.0,,0.0,16.0,18.0,26.0,39.0,7.0,,,,90.0,75.0,7.5,19.0,0.0672804,1,,3.0,5.0,9.0,,1.0,2.0,1.0,,,,1.0,3.0,1.0,3.0,1.0,0.0358,,,3.0,4.0,3.0,,4.0,,,,,,,,,,,,
12499537,home,VfL Bochum 1848,Maximilian Wittek,maximilian-wittek,M. Wittek,D,32,173,158,M,254125,EUR,808963200,M,32,32,False,29.0,18.0,5.0,,0.0,7.0,10.0,13.0,27.0,4.0,,,,72.0,55.0,6.6,17.0,0.172484,3,,2.0,4.0,4.0,,,,,2.0,,,,8.0,3.0,,1.0,0.2716,2.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,,
12499537,home,VfL Bochum 1848,Koji Miyoshi,koji-miyoshi,K. Miyoshi,M,23,167,672,M,358984,EUR,859334400,F,23,23,False,17.0,15.0,,,0.0,1.0,1.0,14.0,16.0,2.0,,,,72.0,33.0,7.1,9.0,0.189107,0,,,5.0,3.0,2.0,,,,2.0,,,1.0,,,4.0,1.0,,,1.0,2.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,
12499537,home,VfL Bochum 1848,Philipp Hofmann,philipp-hofmann,P. Hofmann,F,33,195,413,M,340719,EUR,733449600,F,33,33,False,29.0,17.0,1.0,,0.0,10.0,13.0,7.0,16.0,1.0,,,,76.0,37.0,6.9,16.0,0.00979483,1,,5.0,5.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,1.0,,0.2082,,,,,,,,,,,,,True,1.0,,,,,
