match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_onTargetScoringAttempt,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,captain,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_goals,stat_wasFouled,stat_dispossessed,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_punches,stat_bigChanceCreated,stat_totalOffside
11122537,away,KV Mechelen,Alec Van Hoorenbeeck,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,120,M,974203,EUR,914976000,M,18,18,False,34.0,31.0,,,13.0,14.0,18.0,22.0,,4.0,,,,,74.0,46.0,6.5,6.0,0,,,,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,
11122537,away,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,F,7,7,False,60.0,54.0,6.0,4.0,21.0,22.0,35.0,41.0,,6.0,,,,,74.0,69.0,7.3,8.0,0,,,1.0,3.0,2.0,4.0,3.0,2.0,,,,,,1.0,2.0,2.0,1.0,,,,,,,,2.0,,,,,,1.0,1.0
11122537,away,KV Mechelen,Enock Agyei,agyei-enock,E. Agyei,F,48,172,304,M,1195757,EUR,1105574400,F,23,23,False,15.0,11.0,1.0,1.0,3.0,4.0,8.0,11.0,,2.0,,,,,63.0,26.0,6.5,11.0,1,Enock Agyei,,,,,4.0,1.0,,,,1.0,,,3.0,,2.0,,,,1.0,,,,,1.0,3.0,,,,,,1.0
11122537,away,KV Mechelen,Nikola Storm,nikola-storm,N. Storm,F,26,178,277,M,149796,EUR,780883200,F,11,11,False,28.0,25.0,1.0,1.0,7.0,7.0,18.0,22.0,1.0,4.0,,,,,85.0,37.0,6.8,7.0,2,,,,1.0,,6.0,2.0,3.0,1.0,1.0,,,1.0,2.0,,1.0,,1.0,,2.0,,,1.0,,,1.0,,,,,,
11122537,away,KV Mechelen,Yonas Malede,yonas-malede,Y. Malede,F,15,188,72,M,921826,EUR,942537600,F,10,10,True,4.0,2.0,,,,,2.0,6.0,,,,,,,27.0,9.0,6.6,6.0,0,Yonas,Malede,,2.0,,5.0,1.0,,2.0,1.0,,,,1.0,2.0,2.0,,,,2.0,,,,,,,,,,,,
11122537,away,KV Mechelen,Iebe Swers,iebe-swers,I. Swers,D,,175,9,M,797739,EUR,851644800,D,2,2,True,5.0,5.0,,,1.0,1.0,5.0,5.0,,2.0,,,,,16.0,10.0,6.8,,0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11122537,away,KV Mechelen,Jannes Van Hecke,jannes-van-hecke,J. V. Hecke,M,78,175,70,M,965741,EUR,1011052800,M,6,6,True,6.0,6.0,,,2.0,2.0,4.0,4.0,,,,,,,16.0,8.0,6.4,2.0,0,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,
11122537,away,KV Mechelen,Alessio Da Cruz,alessio-da-cruz,A. D. Cruz,F,77,184,273,M,780206,EUR,853545600,F,22,22,True,6.0,5.0,,,1.0,1.0,4.0,5.0,1.0,1.0,,,,,16.0,9.0,6.8,2.0,2,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
11122537,away,KV Mechelen,Bilal Bafdili,bafdili-bilal,B. Bafdili,M,11,180,191,M,1445119,EUR,1091491200,M,35,35,True,3.0,1.0,,,,1.0,1.0,2.0,,,,,,,5.0,4.0,,3.0,0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
11122537,away,KV Mechelen,Yannick Thoelen,yannick-thoelen,Y. Thoelen,G,15,188,95,M,794571,EUR,648259200,G,15,15,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122537,away,KV Mechelen,Julien Ngoy,julien-ngoy,J. Ngoy,F,7,185,145,M,848680,EUR,878428800,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
