match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_hitWoodwork,stat_interceptionWon,stat_shotOffTarget,stat_aerialLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,captain,player_sofascoreId,stat_bigChanceMissed,stat_wonContest,stat_goals,stat_penaltyMiss,stat_penaltyWon,stat_penaltySave,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_penaltyConceded
11396432,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,42.0,37.0,14.0,9.0,33.0,34.0,4.0,8.0,1.0,6.0,3.0,4.0,1.0,90.0,51.0,8.1,5.0,0.0,0.0,0.00172101,0,1.6439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,20,20,False,50.0,41.0,2.0,1.0,23.0,25.0,19.0,29.0,,10.0,,,,90.0,75.0,7.6,16.0,0.0491,0.1499,0.191894,1,,,,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,False,71.0,56.0,7.0,3.0,42.0,50.0,14.0,21.0,3.0,7.0,,,,90.0,80.0,7.3,15.0,0.1223,0.1007,0.0051255,1,,,,,,1.0,6.0,,,,1.0,1.0,,,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Cedric Zesiger,cedric-zesiger,C. Zesiger,D,16,191,349,M,798926,EUR,898646400,D,5,5,False,72.0,60.0,5.0,1.0,42.0,45.0,18.0,27.0,2.0,8.0,,,,90.0,80.0,7.3,13.0,0.7156,0.0,0.00803207,2,,,,,,1.0,7.0,,,,,1.0,,,,1.0,,6.0,,,2.0,,,,,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,48.0,41.0,2.0,,20.0,21.0,21.0,29.0,3.0,4.0,,,,90.0,79.0,6.8,16.0,0.0309,0.0,0.266652,1,,,,2.0,,6.0,2.0,1.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,False,41.0,37.0,3.0,2.0,15.0,16.0,22.0,25.0,1.0,4.0,,,,79.0,56.0,6.9,9.0,0.0417,0.0,0.0409039,2,,,,,,8.0,4.0,4.0,,,,3.0,1.0,4.0,1.0,3.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,56.0,47.0,7.0,3.0,24.0,26.0,27.0,40.0,1.0,8.0,,,,90.0,78.0,7.9,17.0,0.0645,0.3536,0.450199,1,,,,10.0,4.0,1.0,5.0,,1.0,,1.0,5.0,3.0,,,,5.0,,,1.0,,,,,,True,,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Lovro Majer,lovro-majer,L. Majer,M,10,179,4795,M,841947,EUR,884995200,M,19,19,False,42.0,33.0,1.0,1.0,7.0,9.0,26.0,33.0,,5.0,,,,89.0,55.0,7.2,15.0,0.2016,0.3313,0.127167,2,,,,,,4.0,1.0,1.0,,,1.0,,,4.0,1.0,1.0,2.0,,,1.0,1.0,,2.0,,,,lovromajer,,,,,,,,,,,
11396432,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,17.0,16.0,1.0,1.0,7.0,7.0,9.0,10.0,,3.0,,,,87.0,25.0,6.9,3.0,0.0762,0.3139,0.423737,1,,,,,,7.0,4.0,3.0,,,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,
11396432,home,VfL Wolfsburg,Tiago Tomás,tiago-tomas,T. Tomás,F,8,180,1353,M,983540,EUR,1024185600,M,11,11,False,10.0,8.0,,,5.0,5.0,4.0,10.0,,3.0,,,,79.0,37.0,6.9,15.0,0.1357,0.0,0.055577,2,,,,5.0,1.0,6.0,7.0,,3.0,,,,,3.0,6.0,,2.0,,,,,,4.0,2.0,,,,,1.0,,,,,,,,,
