match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,stat_bigChanceCreated,stat_keyPass,stat_hitWoodwork,stat_dispossessed,stat_totalOffside,stat_totalKeeperSweeper,player_sofascoreId
12624424,home,Al Orobah,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187.0,160,M,794989,EUR,910051200.0,G,28,28,False,29.0,17.0,21.0,10.0,0.0,7.0,10.0,10.0,19.0,1.0,8.0,2.0,3.0,1.0,3.0,1.0,90.0,38.0,7.1,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624424,home,Al Orobah,Hamed Al-Maghati,hamed-taleb,H. Al-Maghati,D,11,175.0,9,M,948603,EUR,742694400.0,D,11,11,False,18.0,14.0,3.0,2.0,0.0,13.0,16.0,1.0,3.0,3.0,3.0,,,,,,56.0,36.0,6.5,8.0,1,True,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12624424,home,Al Orobah,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192.0,736,M,934196,EUR,879292800.0,D,3,3,False,28.0,26.0,4.0,2.0,0.0,23.0,24.0,3.0,4.0,8.0,1.0,,,,,,90.0,43.0,7.4,3.0,2,,,3.0,3.0,4.0,,,,,2.0,2.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12624424,home,Al Orobah,Kurt Zouma,kurt-zouma,K. Zouma,D,,190.0,2246,M,139227,EUR,783216000.0,D,5,5,False,33.0,28.0,8.0,4.0,0.0,23.0,23.0,5.0,10.0,7.0,3.0,,,,,,90.0,46.0,6.9,5.0,0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
12624424,home,Al Orobah,Mohannad Abu Taha,mohannad-abu-taha,M. A. Taha,M,14,176.0,520,M,1114775,EUR,1044144000.0,D,14,14,False,31.0,27.0,1.0,,0.0,9.0,10.0,19.0,27.0,1.0,4.0,,,,,,90.0,69.0,6.6,14.0,1,,6.0,2.0,10.0,9.0,2.0,2.0,,,7.0,4.0,2.0,5.0,Abu Taha,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
12624424,home,Al Orobah,Osama Al Khalaf,osama-al-khalaf,O. A. Khalaf,D,8,178.0,26,M,818871,EUR,851558400.0,M,88,88,False,24.0,20.0,2.0,1.0,0.0,12.0,12.0,11.0,17.0,1.0,3.0,,,,,,90.0,52.0,7.0,9.0,0,,5.0,2.0,7.0,10.0,3.0,1.0,,,5.0,1.0,2.0,1.0,,,2.0,,,,,1.0,3.0,,,,3.0,2.0,2.0,,,,,
12624424,home,Al Orobah,Karlo Muhar,karlo-muhar,K. Muhar,M,73,188.0,216,M,897590,EUR,821836800.0,M,73,73,False,45.0,39.0,5.0,4.0,0.0,17.0,18.0,22.0,27.0,3.0,3.0,,,,,,90.0,61.0,7.2,9.0,0,,,2.0,10.0,10.0,1.0,2.0,1.0,,7.0,3.0,1.0,6.0,,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,
12624424,home,Al Orobah,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600.0,M,33,33,False,21.0,14.0,5.0,2.0,0.0,8.0,10.0,6.0,11.0,,7.0,,,,,,56.0,24.0,6.6,7.0,0,,,2.0,2.0,3.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
12624424,home,Al Orobah,Cristian Tello,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800.0,M,37,37,False,27.0,17.0,2.0,1.0,1.0,6.0,9.0,13.0,22.0,,2.0,,,,,,83.0,37.0,7.0,14.0,2,,4.0,,4.0,2.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,2.0,,2.0,,1.0,1.0,2.0,1.0,,,,
12624424,home,Al Orobah,Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,,186.0,451,M,49805,EUR,656985600.0,F,7,7,False,27.0,22.0,2.0,2.0,0.0,8.0,10.0,17.0,23.0,,2.0,,,,,,90.0,44.0,7.0,12.0,1,,6.0,2.0,7.0,4.0,1.0,,,1.0,1.0,1.0,1.0,4.0,,,3.0,,,,,,3.0,,,,,1.0,3.0,,2.0,1.0,,
