match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_interceptionWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_goals
10411647,home,Sampdoria,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,True,31.0,22.0,15.0,6.0,18.0,19.0,4.0,12.0,1.0,1.0,13.0,1.0,4.0,4.0,90.0,43.0,7.2,9.0,0.0,0.0,0.00038287,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411647,home,Sampdoria,Bruno Amione,bruno-amione,B. Amione,D,2,189,503,M,990050,EUR,1010016000,D,2,2,False,,52.0,46.0,6.0,1.0,35.0,37.0,11.0,15.0,1.0,9.0,6.0,,,,90.0,75.0,6.9,9.0,0.0,0.0,0.00451046,0,,3.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,
10411647,home,Sampdoria,Omar Colley,omar-colley,O. Colley,D,15,190,973,M,238408,EUR,719798400,D,15,15,False,,51.0,46.0,2.0,1.0,44.0,49.0,2.0,2.0,1.0,7.0,2.0,,,,80.0,62.0,7.3,6.0,0.0,0.0,0.00104701,0,,2.0,2.0,,1.0,1.0,4.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,
10411647,home,Sampdoria,Bram Nuytinck,bram-nuytinck,B. Nuytinck,D,17,190,135,M,70930,EUR,641779200,D,17,17,False,,64.0,55.0,5.0,2.0,41.0,45.0,14.0,19.0,2.0,6.0,4.0,,,,90.0,77.0,7.1,10.0,0.0931,0.0,0.00511117,1,,1.0,5.0,,4.0,2.0,4.0,4.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,
10411647,home,Sampdoria,Mehdi Léris,mehdi-leris,M. Léris,M,7,186,1543,M,851222,EUR,895881600,M,37,37,False,,23.0,16.0,1.0,,6.0,8.0,12.0,19.0,2.0,8.0,1.0,,,,90.0,49.0,6.7,16.0,0.0838,0.0,0.214474,1,,3.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,,,1.0,,1.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,,,,,,
10411647,home,Sampdoria,Harry Winks,harry-winks,H. Winks,M,8,178,1220,M,545780,EUR,823219200,M,20,20,False,,48.0,44.0,3.0,3.0,19.0,19.0,26.0,34.0,,5.0,7.0,,,,90.0,64.0,7.0,13.0,0.0,0.0,0.145422,0,,1.0,5.0,1.0,,,3.0,1.0,1.0,,,,1.0,3.0,,5.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,
10411647,home,Sampdoria,Filip Đuričić,filip-duricic,F. Đuričić,M,31,181,1068,M,69367,EUR,696729600,M,7,7,False,,15.0,12.0,2.0,,5.0,6.0,7.0,9.0,,7.0,3.0,,,,57.0,32.0,6.7,8.0,0.4163,0.0,0.00436835,1,,,2.0,2.0,,,4.0,1.0,3.0,,,,,,,,,,,3.0,,,1.0,1.0,,,,
10411647,home,Sampdoria,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,,42.0,36.0,3.0,2.0,25.0,26.0,14.0,22.0,1.0,2.0,4.0,,,,90.0,66.0,6.9,15.0,0.0,0.0,0.216572,0,,,2.0,,1.0,,,,1.0,1.0,,,,1.0,,6.0,3.0,,,,,1.0,,,,,,
10411647,home,Sampdoria,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186,4184,M,807400,EUR,849139200,F,11,11,False,,15.0,13.0,1.0,1.0,5.0,5.0,8.0,13.0,,5.0,4.0,,,,45.0,27.0,6.7,8.0,0.0,0.0,0.0030652,0,,,4.0,,1.0,,3.0,2.0,2.0,1.0,,,,1.0,,3.0,,2.0,,1.0,,1.0,,,abdelhamidsabiri,,,
10411647,home,Sampdoria,Manolo Gabbiadini,manolo-gabbiadini,M. Gabbiadini,F,11,186,447,M,53816,EUR,691113600,F,23,23,False,,9.0,6.0,,,3.0,3.0,3.0,7.0,,1.0,2.0,,,,90.0,21.0,6.2,8.0,0.2353,0.2835,0.00757153,2,,2.0,4.0,,3.0,,,,1.0,2.0,,,,1.0,1.0,1.0,,,,4.0,2.0,,1.0,,,1.0,,
