match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_outfielderBlock,stat_errorLeadToAGoal,stat_wasFouled,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyFaced,stat_punches,stat_totalOffside,stat_lastManTackle,stat_penaltyConceded,player_sofascoreId
14572639,home,Rangers,Jack Butland,,,jack-butland,J. Butland,G,1,196.0,717,M,98448,EUR,731721600,G,1,1,False,17.0,11.0,10.0,4.0,0.0,8.0,9.0,3.0,8.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,90.0,24.0,7.7,7.0,0.00097104,44.464503080236,9.0,30.345,6.3,0.9537,0,0.6614,0.08,-0.01,-0.12,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572639,home,Rangers,James Tavernier,,,james-tavernier,J. Tavernier,D,2,176.0,1674,M,126074,EUR,688867200,D,2,2,False,53.0,41.0,7.0,3.0,0.0,18.0,20.0,23.0,33.0,4.0,4.0,,,,,,90.0,91.0,7.6,23.0,0.250513,122.00019933507,17.0,37.8,11.445,,3,,0.46,0.18,-0.15,,True,13.0,4.0,5.0,5.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.8897,0.9292,2.0,0.3,,,,,,,,,,,,,,,
14572639,home,Rangers,Nasser Djiga,,,nasser-djiga,N. Djiga,D,24,187.0,3580,M,1127169,EUR,1037318400,D,24,24,False,44.0,39.0,1.0,,0.0,28.0,30.0,11.0,14.0,3.0,5.0,,,,,,90.0,53.0,6.2,6.0,0.00264901,114.19727460564,17.0,25.62,18.9,,1,,-0.04,0.14,-0.27,,,1.0,,1.0,5.0,,1.0,1.0,1.0,,,,,,,0.2145,,,-0.6,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,
14572639,home,Rangers,Emmanuel Fernandez,Emmanuel Fernandez,,emmanuel-fernandez,E. Fernandez,D,37,194.0,289,M,1129032,EUR,1006214400,D,37,37,False,55.0,48.0,5.0,3.0,0.0,34.0,35.0,14.0,20.0,4.0,2.0,,,,,,90.0,68.0,7.7,8.0,0.380361,135.96599798511,17.0,55.65,17.85,,1,,0.58,0.1,-0.11,,,,,3.0,9.0,,2.0,2.0,,1.0,,1.0,,,2.0,0.0949,0.4498,1.0,-0.03,,6.0,,2.0,,1.0,1.0,1.0,,,,,,,
14572639,home,Rangers,Max Aarons,,,max-aarons,M. Aarons,D,3,178.0,1260,M,943645,EUR,946944000,D,3,3,False,34.0,26.0,4.0,,0.0,15.0,18.0,11.0,16.0,,7.0,1.0,,,,,89.0,59.0,6.8,17.0,0.00662801,154.66522018379,17.0,77.28,31.605,,0,,0.03,0.14,-0.09,,,3.0,,3.0,8.0,,2.0,1.0,,,,,3.0,2.0,,,,,,1.0,,,,,4.0,1.0,,,,,,,,
14572639,home,Rangers,Nicolas Raskin,,,nicolas-raskin,N. Raskin,M,43,179.0,1753,M,889378,EUR,982886400,M,43,43,False,35.0,29.0,1.0,,0.0,10.0,10.0,19.0,25.0,1.0,6.0,2.0,,,,,90.0,49.0,6.0,10.0,0.0145399,108.77545228383,14.0,36.75,20.895,,1,,-0.07,0.03,-0.13,,,,,11.0,6.0,2.0,1.0,,,,,1.0,4.0,3.0,6.0,0.0712,,,-0.15,1.0,2.0,,,,,1.0,,1.0,,,,,,
14572639,home,Rangers,Connor Barron,,,connor-barron,C. Barron,M,8,175.0,273,M,997419,EUR,1030579200,M,8,8,False,38.0,30.0,3.0,1.0,0.0,15.0,18.0,15.0,20.0,,6.0,,,,,,77.0,50.0,7.2,8.0,0.281754,93.093682677592,10.0,21.21,21.105,,0,,0.43,0.08,-0.04,,,2.0,2.0,1.0,3.0,,,,,,,2.0,2.0,2.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,
14572639,home,Rangers,Djeidi Gassama,,,djeidi-gassama,D. Gassama,F,23,178.0,890,M,1142674,EUR,1063152000,M,23,23,False,16.0,14.0,2.0,1.0,0.0,6.0,6.0,8.0,10.0,,3.0,7.0,,,,,90.0,44.0,7.3,14.0,0.0811924,198.15635158875,20.0,131.25,42.63,,1,,0.23,0.42,-0.08,,,5.0,1.0,4.0,11.0,1.0,5.0,4.0,,1.0,,1.0,2.0,,2.0,0.0508,0.0966,1.0,0.0,,,,,,5.0,,,,,,,,,
14572639,home,Rangers,Mohammed Diomande,,,mohammed-diomande,M. Diomande,M,10,183.0,1805,M,1018785,EUR,1004400000,M,10,10,False,20.0,14.0,1.0,,0.0,2.0,5.0,12.0,15.0,,1.0,,,,,,90.0,35.0,6.2,9.0,0.0486259,74.771836285142,10.0,21.525,14.595,,1,,0.02,0.09,-0.17,,,,,8.0,8.0,,3.0,2.0,,1.0,,,1.0,1.0,4.0,0.1406,0.0817,3.0,-0.21,2.0,2.0,,,,3.0,2.0,,,,,,,,
14572639,home,Rangers,Danilo,,,danilo,Danilo,F,9,174.0,1242,M,940647,EUR,923443200,M,99,99,False,19.0,14.0,,,0.0,5.0,5.0,9.0,14.0,,5.0,1.0,,,,,72.0,34.0,7.3,8.0,0.263756,51.339099251239,4.0,29.505,18.06,,1,,0.61,0.16,-0.12,,,1.0,1.0,5.0,5.0,2.0,4.0,2.0,,1.0,,,3.0,1.0,1.0,0.1481,0.089,,-0.22,,,,,,,,,,,,,,,
14572639,home,Rangers,Youssef Chermiti,,,youssef-chermiti,Y. Chermiti,F,9,192.0,1801,M,1145627,EUR,1085356800,F,9,9,False,21.0,11.0,,,0.0,4.0,7.0,7.0,14.0,,,2.0,,,,,89.0,39.0,5.9,17.0,0.0070853,48.561049400261,6.0,-1.785,6.3,,3,,-0.56,-0.12,-0.03,,,,,9.0,6.0,,4.0,,1.0,,,,1.0,1.0,2.0,0.0829,,,-0.34,2.0,5.0,,,,,1.0,,2.0,,,,,,
14572639,home,Rangers,Thelo Aasgaard,,,aasgaard-thelo,T. Aasgaard,M,11,188.0,4677,M,1065989,EUR,1020297600,M,11,11,True,4.0,4.0,,,0.0,,,4.0,4.0,1.0,1.0,,,,,,18.0,10.0,6.9,1.0,0.0316961,33.04153246018,3.0,30.345,24.99,,0,,0.15,0.11,-0.01,,,,,2.0,3.0,,2.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,
14572639,home,Rangers,Bojan Miovski,,,bojan-miovski,B. Miovski,F,28,188.0,1323,M,945768,EUR,930182400,F,28,28,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,13.0,4.0,6.6,1.0,0.010437,,,,,,0,,0.15,-0.09,0.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572639,home,Rangers,Oliver Antman,,,oliver-antman,O. Antman,M,18,185.0,1316,M,975743,EUR,997833600,F,18,18,True,3.0,2.0,,,0.0,1.0,2.0,1.0,1.0,,1.0,,,,,,8.0,4.0,6.5,1.0,0.0492414,4.7269568434671,1.0,-4.725,-4.725,,0,,0.03,-0.02,-0.01,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572639,home,Rangers,Jayden Meghoma,Jayden Meghoma,,meghoma-jayden,J. Meghoma,M,30,176.0,428,M,1410201,EUR,1151452800,D,30,30,True,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,2.0,,,,,,,8.0,7.0,6.7,2.0,0.00031664,3.7034698594696,1.0,3.045,3.045,,0,,-0.01,0.0,0.16,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572639,home,Rangers,Kieran Wright,,,kieran-wright,K. Wright,G,32,189.0,79,M,885736,EUR,922924800,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
