match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_totalCross,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_unsuccessfulTouch,stat_hitWoodwork,stat_dispossessed,captain,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_ownGoals,player_sofascoreId
14109657,home,Konyaspor,Deniz Ertaş,Deniz Ertas,,deniz-ertas,D. Ertaş,G,1,194,250,M,1195772,EUR,1111276800,G,1,1,False,23.0,9.0,21.0,7.0,0.0,2.0,3.0,7.0,20.0,2.0,13.0,2.0,1.0,3.0,90.0,37.0,7.0,14.0,0.00121128,0.4992,0,-0.3764,0.05,0.01,-0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109657,home,Konyaspor,Uğurcan Yazğılı,,,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,D,5,5,False,25.0,19.0,3.0,2.0,0.0,9.0,13.0,10.0,12.0,3.0,4.0,,,,90.0,38.0,6.8,7.0,0.00786718,,0,,0.16,0.11,0.2,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14109657,home,Konyaspor,Marko Jevtović,,,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,D,16,16,False,29.0,24.0,5.0,4.0,0.0,9.0,10.0,15.0,19.0,9.0,4.0,,,,90.0,47.0,6.4,5.0,0.015711,,3,,0.2,0.11,-0.09,,4.0,3.0,1.0,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.2121,0.0945,1.0,-0.44,,,,,,,,,,,,,,,,
14109657,home,Konyaspor,Adil Demirbağ,,,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,22.0,19.0,3.0,1.0,0.0,13.0,13.0,6.0,9.0,8.0,2.0,,,,90.0,38.0,6.8,5.0,0.0049355,,0,,0.05,0.03,0.2,,1.0,4.0,,1.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,
14109657,home,Konyaspor,Yhoan Andzouana,,,yhoan-andzouana,Y. Andzouana,D,23,179,261,M,605548,EUR,850435200,M,23,23,False,20.0,17.0,,,0.0,8.0,10.0,9.0,10.0,3.0,4.0,,,,90.0,43.0,7.6,7.0,0.156163,,2,,0.33,0.25,0.33,,1.0,5.0,1.0,,1.0,2.0,,,,,,1.0,0.096,,2.0,-0.15,2.0,,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,
14109657,home,Konyaspor,Melih İbrahimoğlu,,,melih-ibrahimoglu,M. Ibrahimoglu,M,77,175,134,M,998462,EUR,963792000,M,77,77,False,20.0,19.0,3.0,2.0,0.0,7.0,7.0,12.0,13.0,,5.0,,,,82.0,30.0,6.7,4.0,0.0131714,,1,,0.13,0.13,-0.16,,4.0,4.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,0.0206,,1.0,-0.09,,2.0,,1.0,,,,1.0,1.0,,,,,,,
14109657,home,Konyaspor,Enis Bardhi,,,enis-bardhi,E. Bardhi,M,10,172,1009,M,355024,EUR,804643200,M,10,10,False,16.0,14.0,2.0,1.0,0.0,6.0,6.0,8.0,10.0,1.0,2.0,,,,65.0,28.0,5.9,5.0,0.0685613,,2,,0.26,0.38,0.13,,8.0,2.0,1.0,,2.0,1.0,,4.0,,,1.0,,0.0647,0.0141,1.0,-0.22,,,,2.0,1.0,,1.0,,,2.0,,,,,,
14109657,home,Konyaspor,Guilherme Haubert Sityá,,,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,M,12,12,False,13.0,9.0,2.0,,0.0,3.0,4.0,6.0,9.0,4.0,2.0,,,,90.0,31.0,7.2,6.0,0.365991,,0,,0.53,0.13,0.28,,4.0,2.0,,,1.0,1.0,,3.0,,1.0,,,,,2.0,,5.0,,4.0,,,,,,,1.0,True,,,,,
14109657,home,Konyaspor,Alassane Ndao,,,ndao-alassane,A. Ndao,M,,176,333,M,1016033,EUR,851040000,F,18,18,False,19.0,15.0,1.0,,0.0,5.0,6.0,10.0,13.0,1.0,4.0,,,,68.0,33.0,7.7,8.0,0.0290061,,3,,0.03,0.23,0.22,,2.0,1.0,,,2.0,1.0,,,,,2.0,,0.2272,0.7973,1.0,0.51,1.0,,,,,,1.0,1.0,,2.0,,1.0,1.0,,,
14109657,home,Konyaspor,Jackson Muleka,,,jackson-muleka,J. Muleka,F,40,180,3687,M,927649,EUR,938995200,F,40,40,False,19.0,15.0,2.0,2.0,1.0,3.0,3.0,12.0,16.0,,5.0,,,,65.0,38.0,7.0,11.0,0.024189,,1,,-0.06,0.38,0.17,,5.0,6.0,,,,2.0,2.0,,1.0,,1.0,,0.099,0.1352,3.0,-0.21,2.0,2.0,,4.0,2.0,,,1.0,,2.0,,,1.0,1.0,,
