match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_challengeLost,stat_wonContest,stat_keyPass,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_shotOffTarget,stat_dispossessed,stat_wasFouled,stat_onTargetScoringAttempt,stat_goalAssist,stat_errorLeadToAShot,stat_bigChanceCreated,stat_goals,stat_totalOffside
10437211,home,Cheltenham Town,Luke Southwood,luke-southwood,L. Southwood,G,1,185.0,53,M,881045,EUR,881366400.0,G,1,1,False,23.0,17.0,10.0,4.0,15.0,16.0,2.0,7.0,7.0,1.0,1.0,2.0,90.0,29.0,4.7,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437211,home,Cheltenham Town,Grant Horton,grant-horton,G. Horton,D,26,192.0,10,M,989419,EUR,990144000.0,D,24,24,False,32.0,23.0,9.0,3.0,14.0,18.0,9.0,14.0,5.0,,,,90.0,45.0,5.5,12.0,0,,,2.0,4.0,5.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10437211,home,Cheltenham Town,Charlie Raglan,charlie-raglan,C. Raglan,D,5,183.0,11,M,245461,EUR,735955200.0,D,5,5,False,63.0,45.0,18.0,4.0,36.0,42.0,9.0,21.0,7.0,,,,90.0,76.0,5.8,18.0,1,,,1.0,4.0,1.0,4.0,,8.0,1.0,,,,True,1.0,1.0,,,,,,,,,,,,,,,
10437211,home,Cheltenham Town,Tom Bradbury,tom-bradbury,T. Bradbury,D,5,191.0,9,M,967460,EUR,888537600.0,D,4,4,False,52.0,28.0,8.0,2.0,23.0,33.0,5.0,19.0,9.0,,,,90.0,75.0,5.8,27.0,0,,,4.0,10.0,6.0,13.0,2.0,4.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,
10437211,home,Cheltenham Town,James Taylor,james-taylor,J. Taylor,D,27,,3,M,1392222,EUR,,M,27,27,False,13.0,6.0,3.0,,4.0,7.0,3.0,7.0,4.0,,,,64.0,26.0,5.5,12.0,0,James Taylor,,3.0,,7.0,,3.0,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
10437211,home,Cheltenham Town,Ellis Chapman,ellis-chapman,E. Chapman,M,5,191.0,27,M,892955,EUR,978912000.0,M,11,11,False,37.0,21.0,7.0,2.0,6.0,11.0,15.0,26.0,2.0,,,,90.0,42.0,6.2,16.0,1,,,1.0,,1.0,2.0,2.0,,1.0,,,,,,1.0,,2.0,,,,,1.0,,,,,,,,
10437211,home,Cheltenham Town,Elliot Bonds,elliot-bonds,E. Bonds,M,6,179.0,20,M,956574,EUR,953769600.0,M,23,23,False,28.0,18.0,4.0,1.0,7.0,12.0,11.0,16.0,4.0,,,,55.0,34.0,6.3,12.0,0,,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,
10437211,home,Cheltenham Town,Daniel Adshead,daniel-adshead,D. Adshead,M,,167.0,39,M,891779,EUR,999388800.0,M,16,16,False,29.0,23.0,1.0,1.0,17.0,18.0,7.0,14.0,5.0,,,,64.0,40.0,5.8,13.0,0,,,1.0,,5.0,1.0,3.0,,,,,,,,,,,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,
10437211,home,Cheltenham Town,Will Ferry,will-ferry,W. Ferry,M,11,176.0,148,M,879386,EUR,976147200.0,M,15,15,False,38.0,25.0,7.0,3.0,10.0,12.0,16.0,27.0,11.0,,,,90.0,72.0,7.2,18.0,1,,,6.0,4.0,7.0,13.0,,3.0,1.0,7.0,6.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,
10437211,home,Cheltenham Town,Charlie Brown,brown-charlie,C. Brown,M,20,175.0,67,M,901856,EUR,938044800.0,F,7,7,False,11.0,9.0,,,3.0,3.0,6.0,8.0,1.0,,,,54.0,20.0,6.2,7.0,1,,,5.0,,8.0,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,3.0,,2.0,1.0,,,,,,
