match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_fouls,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,captain,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_outfielderBlock,stat_goalAssist
11391366,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,22.0,22.0,2.0,2.0,22.0,22.0,1.0,8.0,2.0,2.0,5.0,1.0,90.0,36.0,7.7,7.489e-05,0,0.7989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Nathaniel Adjei,nathaniel-adjei,N. Adjei,D,32,191,432,M,1103079,EUR,1029888000,D,32,32,False,86.0,74.0,8.0,5.0,45.0,50.0,2.0,5.0,,,,,90.0,99.0,6.7,0.077225,0,,Nathaniel Adjei,,29.0,36.0,4.0,4.0,7.0,7.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Julien Laporte,julien-laporte,J. Laporte,D,15,185,87,M,791048,EUR,752371200,D,15,15,False,82.0,74.0,13.0,8.0,52.0,55.0,3.0,3.0,,,,,90.0,91.0,6.9,0.0466402,0,,,,22.0,27.0,,2.0,2.0,2.0,,,,,,,,9.0,2.0,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Souleymane Isaak Touré,souleymane-isaak-toure,S. I. Touré,D,95,206,1092,M,1012650,EUR,1048809600,D,95,95,False,91.0,83.0,5.0,3.0,49.0,51.0,3.0,3.0,,,,,90.0,103.0,7.0,0.0246516,2,,,,34.0,40.0,,,3.0,3.0,2.0,1.0,1.0,,,,2.0,11.0,1.0,1.0,1.0,0.1488,0.1921,,,,,,,,,,,,,,,
11391366,home,Lorient,Panos Katseris,panos-katseris,P. Katseris,M,13,175,251,M,1402217,EUR,994291200,M,7,7,False,38.0,31.0,,,16.0,21.0,1.0,8.0,,,,,83.0,68.0,6.8,0.010112,0,,,,15.0,20.0,2.0,1.0,9.0,6.0,2.0,,3.0,2.0,,2.0,1.0,17.0,2.0,,,,,3.0,1.0,3.0,1.0,,,,,,,,,,,
11391366,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,6,170,153,M,296434,EUR,728524800,M,19,19,False,84.0,73.0,10.0,5.0,24.0,26.0,,5.0,,,,,90.0,94.0,7.3,0.0680361,0,,,,49.0,59.0,2.0,2.0,4.0,6.0,,1.0,1.0,1.0,,,,13.0,,,,,,1.0,1.0,4.0,3.0,True,1.0,,,,,,,,,
11391366,home,Lorient,Imrân Louza,imran-louza,I. Louza,M,10,178,3377,M,965943,EUR,925516800,M,6,6,False,56.0,47.0,8.0,4.0,23.0,23.0,,5.0,,,,,64.0,66.0,6.7,0.081857,0,,,,25.0,35.0,,,1.0,4.0,,,1.0,,,1.0,3.0,12.0,,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,
11391366,home,Lorient,Théo Le Bris,theo-le-bris,T. L. Bris,M,11,170,139,M,1131540,EUR,1033430400,M,37,37,False,24.0,20.0,1.0,,9.0,10.0,1.0,1.0,,,,,64.0,42.0,6.6,0.00535636,0,,,,11.0,17.0,2.0,,4.0,4.0,,,3.0,2.0,,,1.0,11.0,,,,,,3.0,,2.0,,,,,,,,,,,,
11391366,home,Lorient,Ayman Kari,ayman-kari,A. Kari,F,,180,678,M,1142673,EUR,1100822400,F,44,44,False,35.0,33.0,,,16.0,16.0,,2.0,,,,,63.0,45.0,6.7,0.0216216,0,,,,17.0,19.0,,,3.0,3.0,1.0,,2.0,1.0,,,,6.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,
11391366,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,F,21,21,False,65.0,57.0,2.0,1.0,19.0,20.0,,1.0,,,,,90.0,79.0,7.2,0.141861,0,,,,40.0,50.0,,,3.0,1.0,2.0,1.0,1.0,,,,,14.0,1.0,,,,,5.0,,,,,2.0,2.0,1.0,1.0,,,,,,
11391366,home,Lorient,Mohamed Bamba,mohamed-bamba,M. Bamba,F,9,185,944,M,1405239,EUR,1007942400,F,9,9,False,12.0,9.0,,,6.0,6.0,,2.0,,,,,77.0,22.0,6.2,0.0129841,2,,,,3.0,7.0,1.0,,6.0,1.0,,,1.0,1.0,,3.0,,9.0,3.0,,,0.303,,1.0,,2.0,,,,,,1.0,1.0,2.0,,,,
11391366,home,Lorient,Ahmadou Bamba Dieng,ahmadou-bamba-dieng,A. B. Dieng,F,12,178,8305,M,1102503,EUR,953769600,F,11,11,True,2.0,1.0,1.0,1.0,,,,,,,,,27.0,6.0,6.5,0.00140846,1,,Ahmadou Bamba Dieng,,1.0,2.0,1.0,,3.0,1.0,,,,,,1.0,1.0,3.0,1.0,,1.0,0.0664,,,,1.0,,,,,,1.0,,,dieng_ahmadou_bamba,,,
11391366,home,Lorient,Darlin Yongwa,darlin-yongwa,D. Yongwa,D,44,177,1325,M,998241,EUR,969580800,D,12,12,True,14.0,12.0,,,3.0,4.0,,1.0,,,,,26.0,26.0,6.6,0.0121523,0,,,,9.0,11.0,1.0,,3.0,3.0,,,1.0,1.0,,,1.0,6.0,,,,,,1.0,,3.0,1.0,,,,,,,,,,,
11391366,home,Lorient,Aiyegun Tosin,aiyegun-tosin,A. Tosin,F,15,179,2383,M,875548,EUR,898819200,F,27,27,True,6.0,5.0,,,2.0,2.0,,1.0,,,,,26.0,10.0,6.5,0.00753739,0,,,,3.0,5.0,,,1.0,1.0,,,,,,,1.0,4.0,,,,,,1.0,,1.0,,,,,,,,,,,,
11391366,home,Lorient,Eli Junior Kroupi,eli-junior-kroupi,E. J. Kroupi,F,22,179,7447,M,1426228,EUR,1151020800,M,22,22,True,5.0,5.0,1.0,1.0,4.0,4.0,,1.0,,,,,13.0,9.0,6.6,0.00047356,1,,,,1.0,1.0,,,,2.0,,,2.0,,,,,,,,1.0,0.0206,,,,,,,,,,,,,,,,
11391366,home,Lorient,Gedeon Kalulu,gedeon-kalulu,G. Kalulu,D,2,176,4314,M,991200,EUR,872812800,D,24,24,True,8.0,6.0,,,1.0,1.0,,2.0,,,,,14.0,13.0,6.9,0.0210032,0,,,,5.0,8.0,,,,2.0,,1.0,1.0,1.0,,,,3.0,,,,,,1.0,,1.0,1.0,,,,,,,,gedeon_K2,,,
11391366,home,Lorient,Alfred Gomis,alfred-gomis,A. Gomis,G,1,196,1220,M,143695,EUR,747187200,G,1,1,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Formose Mendy,formose-mendy,F. Mendy,D,27,191,1488,M,982316,EUR,978393600,D,13,13,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Tiemoué Bakayoko,tiemoue-bakayoko,T. Bakayoko,M,14,188,1233,M,149735,EUR,777081600,M,14,14,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391366,home,Lorient,Jean-Victor Makengo,jean-victor-makengo,J. Makengo,M,17,177,232,M,802138,EUR,897609600,M,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391366,away,Nantes,Alban Lafont,alban-lafont,A. Lafont,G,40,195,2914,M,826201,EUR,917049600,G,1,1,False,23.0,11.0,18.0,6.0,6.0,10.0,,7.0,1.0,1.0,1.0,,90.0,31.0,6.9,0.0004559,0,0.1921,,,5.0,13.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
