match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_totalContest,stat_bigChanceMissed,stat_accurateCross,stat_wonContest,captain,stat_goals,stat_errorLeadToAShot,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
12450894,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,6.0,6.0,0.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,90.0,10.0,5.8,3.771e-05,0,-1.0782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450894,home,Toulouse,Djibril Sidibé,,,djibril-sidibe,D. Sidibé,D,19,182,538,M,123388,EUR,712368000,D,19,19,False,61.0,51.0,0.0,30.0,31.0,2.0,,1.0,,,89.0,76.0,6.6,0.0713907,1,,6.0,1.0,21.0,30.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,13.0,0.0518,0.14,,,,,,,,,,,,,,,,,,,
12450894,home,Toulouse,Charlie Cresswell,,,charlie-cresswell,C. Cresswell,D,4,190,1084,M,1020744,EUR,1029456000,D,4,4,False,78.0,65.0,1.0,46.0,48.0,4.0,1.0,3.0,,,90.0,95.0,7.4,0.323204,3,,9.0,5.0,19.0,31.0,1.0,7.0,7.0,,8.0,,,,,,1.0,,15.0,0.1032,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
12450894,home,Toulouse,Mark McKenzie,,,mark-mckenzie,M. McKenzie,D,3,183,647,M,922759,EUR,919900800,D,3,3,False,45.0,44.0,0.0,23.0,23.0,7.0,2.0,6.0,,,90.0,62.0,6.4,0.0116525,2,,4.0,4.0,21.0,22.0,3.0,2.0,5.0,,3.0,1.0,3.0,2.0,2.0,,,,5.0,0.3645,,,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,,
12450894,home,Toulouse,Rafik Messali,Rafik Messali,,rafik-messali,R. Messali,M,22,177,837,M,1198264,EUR,1051488000,M,22,22,False,14.0,8.0,0.0,4.0,4.0,5.0,,3.0,,,45.0,27.0,6.5,0.0061865,1,,2.0,,4.0,10.0,2.0,4.0,6.0,,,3.0,,,1.0,3.0,,1.0,10.0,0.0506,,,2.0,,1.0,,,,1.0,,,,,,,,,,,
12450894,home,Toulouse,Cristian Cásseres Jr.,,,cristian-casseres-jr,C. Cásseres Jr.,M,23,174,1378,M,878938,EUR,948326400,M,23,23,False,26.0,22.0,0.0,12.0,14.0,2.0,,2.0,,,78.0,45.0,7.0,0.0974778,1,,1.0,,11.0,17.0,,2.0,6.0,,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,12.0,0.0984,,5.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,
12450894,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,53.0,47.0,0.0,23.0,24.0,4.0,2.0,5.0,,,90.0,67.0,7.5,0.130989,2,,2.0,2.0,25.0,32.0,1.0,1.0,4.0,1.0,2.0,1.0,,,2.0,2.0,1.0,,10.0,0.0871,0.3109,3.0,,,,1.0,,1.0,1.0,,1.0,1.0,True,1.0,,,,,,
12450894,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,M,17,17,False,46.0,33.0,0.0,13.0,14.0,4.0,,7.0,,,71.0,62.0,7.0,0.327709,0,,6.0,3.0,20.0,34.0,1.0,1.0,6.0,,1.0,1.0,1.0,,1.0,3.0,1.0,,19.0,,,2.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,
12450894,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,F,15,15,False,28.0,24.0,0.0,11.0,13.0,6.0,,6.0,,,89.0,57.0,7.0,0.561147,2,,4.0,3.0,18.0,25.0,1.0,1.0,6.0,,,,2.0,,2.0,1.0,,,19.0,0.1506,,10.0,4.0,,,2.0,,2.0,3.0,,5.0,2.0,,,,,,,,
12450894,home,Toulouse,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173,957,M,911851,EUR,979430400,F,10,10,False,23.0,21.0,1.0,7.0,8.0,6.0,1.0,2.0,,,90.0,36.0,6.6,0.150963,2,,,,14.0,16.0,1.0,,3.0,1.0,,,,,1.0,2.0,,,8.0,0.3758,0.5538,1.0,2.0,,,1.0,,2.0,3.0,1.0,,1.0,,,,,,,,
