match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_wasFouled,stat_challengeLost,stat_wonTackle,captain,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_outfielderBlock
12763972,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3216,M,865646,EUR,962409600,G,29,29,False,21.0,14.0,9.0,2.0,0.0,13.0,14.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,90.0,28.0,7.2,7.0,0.00015567,0,0.1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12763972,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2164,M,151003,EUR,730080000,D,19,19,False,76.0,65.0,4.0,3.0,0.0,20.0,25.0,46.0,54.0,3.0,5.0,6.0,1.0,6.0,,,,,90.0,94.0,7.7,15.0,0.165025,1,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3505,0.6281,1.0,,,,,,,,,,,,,,,,
12763972,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191,2307,M,1157713,EUR,916185600,D,4,4,False,62.0,61.0,,,0.0,34.0,34.0,27.0,28.0,3.0,5.0,1.0,1.0,4.0,,,,,90.0,74.0,7.2,3.0,0.0243739,2,,,,3.0,5.0,1.0,,,,1.0,,0.2698,,,1.0,2.0,1.0,,,,,,,,,,,,,
12763972,home,Atalanta,Sead Kolašinac,sead-kolasinac,S. Kolašinac,D,23,183,3300,M,142148,EUR,740534400,D,23,23,False,74.0,65.0,3.0,1.0,0.0,20.0,23.0,45.0,53.0,3.0,6.0,,,4.0,,,,,78.0,81.0,7.2,12.0,0.12888,0,,2.0,,,1.0,2.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
12763972,home,Atalanta,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2482,M,826185,EUR,958521600,M,16,16,False,30.0,27.0,,,0.0,2.0,2.0,26.0,36.0,1.0,3.0,,,3.0,,,,,58.0,50.0,6.9,13.0,0.0978099,0,,8.0,1.0,1.0,4.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,
12763972,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1875,M,100389,EUR,670204800,M,15,15,False,91.0,83.0,7.0,6.0,0.0,20.0,20.0,63.0,73.0,2.0,6.0,,1.0,3.0,,,,,90.0,102.0,7.7,11.0,0.111458,1,,2.0,,1.0,6.0,2.0,1.0,,1.0,3.0,,0.032,0.0624,2.0,,,,3.0,1.0,True,1.0,,,,,,,,,
12763972,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7727,M,946888,EUR,931305600,M,13,13,False,68.0,59.0,7.0,3.0,0.0,18.0,21.0,42.0,49.0,1.0,5.0,1.0,,6.0,,,,,90.0,80.0,7.6,15.0,0.245964,0,,2.0,1.0,,1.0,1.0,1.0,,,1.0,5.0,,,2.0,,,2.0,,1.0,,1.0,,,ederson99,1.0,,,,,
12763972,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2129,M,132318,EUR,708220800,M,77,77,False,71.0,65.0,2.0,2.0,0.0,17.0,17.0,53.0,64.0,,5.0,,,6.0,,,,,90.0,108.0,8.6,19.0,0.867354,3,,10.0,5.0,,5.0,2.0,,,,4.0,2.0,0.1614,,4.0,3.0,3.0,1.0,,1.0,,,,,,2.0,,,,,
12763972,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,8,189,7391,M,190437,EUR,792288000,F,8,8,False,32.0,27.0,2.0,1.0,0.0,8.0,9.0,20.0,24.0,2.0,3.0,,,4.0,,,,,78.0,43.0,5.1,7.0,0.0420626,6,,1.0,1.0,1.0,4.0,1.0,,1.0,1.0,,,0.9973,0.1882,,1.0,4.0,1.0,1.0,,,,,,pasalicmario,,1.0,1.0,1.0,,
12763972,home,Atalanta,Mateo Retegui,mateo-retegui,M. Retegui,F,32,186,15780,M,914501,EUR,925344000,F,32,32,False,14.0,9.0,1.0,1.0,0.0,1.0,1.0,8.0,15.0,3.0,5.0,,,3.0,,,,,59.0,24.0,7.1,10.0,0.787671,3,,2.0,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3374,0.0877,2.0,,2.0,,,1.0,,1.0,,,mateoretegui,,,,,,
12763972,home,Atalanta,Ademola Lookman,ademola-lookman,A. Lookman,F,22,174,86126,M,824200,EUR,877305600,F,11,11,False,30.0,24.0,1.0,1.0,0.0,3.0,4.0,25.0,33.0,,4.0,,,2.0,,,,,69.0,50.0,7.6,15.0,0.441258,2,,7.0,4.0,,5.0,5.0,3.0,,1.0,,1.0,0.0732,0.0736,3.0,3.0,,1.0,,,,1.0,,,molalookman,,1.0,,,,
12763972,home,Atalanta,Lazar Samardžić,lazar-samardzic,L. Samardžić,M,10,183,4808,M,980624,EUR,1014508800,M,24,24,True,20.0,15.0,2.0,2.0,0.0,3.0,4.0,12.0,22.0,,4.0,,,3.0,,,,,32.0,33.0,7.3,11.0,0.0276603,2,,6.0,,1.0,1.0,2.0,2.0,,,1.0,,0.1062,,1.0,,,1.0,,1.0,,,,,lakisamar10,,2.0,,1.0,,
