match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_wonTackle,stat_shotOffTarget,stat_interceptionWon,stat_keyPass,stat_totalOffside,stat_onTargetScoringAttempt,stat_wonContest,stat_accurateCross,stat_goals,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed
11396426,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,44.0,31.0,28.0,15.0,28.0,31.0,3.0,13.0,1.0,1.0,1.0,1.0,11.0,2.0,4.0,8.0,1.0,1.0,90.0,62.0,9.1,13.0,0.0,0.0,0.00085059,0,1.6269,,,,,,,,,,,,,,,,,,,,,,,,,,
11396426,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,42.0,33.0,4.0,1.0,21.0,25.0,12.0,19.0,,,2.0,4.0,5.0,,,,,,90.0,67.0,6.8,19.0,0.0,0.0,0.0127272,0,,,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11396426,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,59.0,51.0,7.0,4.0,39.0,43.0,12.0,16.0,2.0,1.0,5.0,7.0,8.0,,,,,,90.0,75.0,7.4,10.0,0.0,0.0,0.00545702,0,,,,,1.0,3.0,5.0,,1.0,,True,1.0,1.0,2.0,3.0,,,,,,,,,,,,
11396426,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,57.0,48.0,9.0,5.0,32.0,34.0,16.0,23.0,1.0,,2.0,3.0,8.0,,,,,,90.0,68.0,7.4,10.0,0.1164,0.0,0.00988145,1,,,,,,3.0,3.0,,,,,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,,
11396426,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,33.0,26.0,6.0,3.0,21.0,23.0,5.0,12.0,,,3.0,2.0,4.0,,,,,,90.0,57.0,6.9,15.0,0.0,0.0,0.00692427,0,,,,2.0,1.0,3.0,1.0,,1.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,,,,
11396426,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,45.0,37.0,7.0,4.0,35.0,39.0,2.0,6.0,5.0,7.0,7.0,7.0,5.0,,,,,,90.0,64.0,7.2,8.0,0.0557,0.2285,0.00198144,2,,,,,1.0,13.0,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,
11396426,home,1. FC Heidenheim,Norman Theuerkauf,norman-theuerkauf,N. Theuerkauf,D,,183,29,M,15004,EUR,538444800,M,30,30,False,34.0,29.0,4.0,3.0,19.0,20.0,10.0,15.0,,2.0,,5.0,4.0,,,,,,89.0,41.0,7.1,7.0,0.0469,0.0,0.0176829,1,,,,1.0,,,1.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
11396426,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,28.0,19.0,3.0,2.0,2.0,3.0,17.0,28.0,1.0,,6.0,5.0,5.0,,,,,,89.0,45.0,7.2,17.0,0.1999,0.028,0.426095,2,,,,3.0,,,1.0,1.0,3.0,1.0,,3.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,
11396426,home,1. FC Heidenheim,Marvin Pieringer,marvin-pieringer,M. Pieringer,F,18,189,327,M,909485,EUR,938995200,M,18,18,False,15.0,11.0,,,7.0,7.0,4.0,9.0,3.0,,5.0,8.0,3.0,,,,,,81.0,29.0,7.3,7.0,0.0,0.0,0.0384204,0,,,,1.0,,,2.0,,4.0,1.0,,1.0,2.0,1.0,2.0,,,2.0,,,2.0,,,,,,
11396426,home,1. FC Heidenheim,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,37,37,False,16.0,9.0,2.0,,3.0,4.0,8.0,21.0,4.0,1.0,8.0,3.0,1.0,,,,,,89.0,40.0,7.4,20.0,0.2759,0.5247,0.0667986,3,,,,9.0,1.0,1.0,1.0,5.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,
