match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_errorLeadToAShot,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,captain,player_firstName,player_lastName,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_goalAssist
11451135,home,MKE Ankaragücü,Rafał Gikiewicz,rafal-gikiewicz,R. Gikiewicz,G,12,190,723,M,44938,EUR,562204800,G,1,1,False,33.0,26.0,8.0,2.0,25.0,29.0,1.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,41.0,6.7,7.0,0.0,0.0,0.00010722,0,0.0088999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451135,home,MKE Ankaragücü,Stelios Kitsiou,stelios-kitsiou,S. Kitsiou,D,70,173,90,M,189627,EUR,749174400,D,70,70,False,33.0,26.0,4.0,2.0,14.0,18.0,13.0,17.0,6.0,2.0,6.0,3.0,,,,,,90.0,64.0,7.2,13.0,0.0494,0.0,0.0558863,1,,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11451135,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,313,M,151900,EUR,765072000,D,26,26,False,55.0,47.0,3.0,1.0,34.0,37.0,13.0,18.0,5.0,3.0,6.0,2.0,,,,,,90.0,67.0,6.8,9.0,0.2471,0.0,0.0311274,1,,,,3.0,2.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
11451135,home,MKE Ankaragücü,Mert Çetin,mert-cetin,M. Çetin,D,4,189,161,M,858148,EUR,852076800,D,45,45,False,56.0,46.0,7.0,3.0,36.0,40.0,10.0,16.0,5.0,3.0,5.0,4.0,,,,,,90.0,70.0,6.9,12.0,0.0,0.0,0.0050109,0,,,,,6.0,,,,1.0,2.0,2.0,,,,,2.0,,3.0,3.0,1.0,1.0,,,,,,,,
11451135,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,24.0,21.0,2.0,2.0,9.0,10.0,12.0,14.0,1.0,1.0,3.0,,,,,,,80.0,37.0,6.5,7.0,0.0,0.0,0.0184654,0,,,,1.0,2.0,,1.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,
11451135,home,MKE Ankaragücü,Andrej Đokanović,andrej-dokanovic,A. Đokanović,M,88,177,78,M,985366,EUR,983404800,M,16,16,False,19.0,16.0,,,10.0,12.0,6.0,7.0,4.0,,3.0,1.0,,,,,,61.0,27.0,6.6,6.0,0.0117,0.0,0.0114942,1,,,,1.0,3.0,,2.0,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,
11451135,home,MKE Ankaragücü,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,38,185,114,M,120298,EUR,701308800,M,30,30,False,68.0,56.0,7.0,2.0,33.0,36.0,25.0,39.0,4.0,3.0,11.0,,,,,,,90.0,86.0,7.4,17.0,0.0603,0.0,0.095112,1,,7.0,2.0,,4.0,2.0,,1.0,3.0,,,1.0,3.0,,,,,1.0,1.0,3.0,3.0,True,,,,,,,
11451135,home,MKE Ankaragücü,Olimpiu Moruțan,olimpiu-morutan,O. Moruțan,F,80,172,1462,M,833613,EUR,924998400,M,80,80,False,26.0,22.0,2.0,1.0,10.0,10.0,13.0,20.0,4.0,,3.0,2.0,,,,,,81.0,47.0,6.0,16.0,0.016,0.0,0.0277922,1,,4.0,1.0,,12.0,4.0,3.0,1.0,1.0,,3.0,2.0,,,,,,2.0,,3.0,,,,,,,,,
11451135,home,MKE Ankaragücü,Efkan Bekiroğlu,efkan-bekiroglu,E. Bekiroğlu,M,11,185,168,M,800458,EUR,811036800,M,10,10,False,45.0,31.0,5.0,2.0,23.0,24.0,10.0,24.0,4.0,1.0,2.0,2.0,,,,,,90.0,60.0,7.7,18.0,0.0419,0.0,0.555272,2,,3.0,2.0,,2.0,,1.0,,,1.0,2.0,1.0,5.0,,2.0,,,2.0,,1.0,1.0,,,,1.0,,,,
11451135,home,MKE Ankaragücü,Renaldo Cephas,renaldo-cephas,R. Cephas,F,21,179,811,M,1384968,EUR,944611200,M,29,29,False,8.0,4.0,,,1.0,2.0,3.0,6.0,5.0,,3.0,2.0,,,,,,71.0,26.0,6.6,11.0,0.1608,0.2652,0.00222512,3,,,,1.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,,,,1.0,,1.0,,2.0,1.0,,Renaldo Cephas,,,1.0,,,
11451135,home,MKE Ankaragücü,Ali Sowe,ali-sowe,A. Sowe,F,9,186,1037,M,238394,EUR,771552000,F,22,22,False,13.0,9.0,,,3.0,3.0,6.0,10.0,2.0,,1.0,,,,,,,90.0,26.0,6.6,7.0,0.215,0.0,0.00562321,3,,,,,7.0,2.0,1.0,2.0,,,2.0,2.0,,,1.0,,,1.0,3.0,,,,,,,,,,
11451135,home,MKE Ankaragücü,Cem Türkmen,cem-turkmen,C. Türkmen,M,18,173,69,M,997127,EUR,1017360000,M,6,6,True,14.0,10.0,1.0,,5.0,5.0,5.0,9.0,2.0,,1.0,1.0,,,,,,29.0,17.0,6.4,5.0,0.0,0.0,0.026785,0,,,,1.0,3.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
