match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_outfielderBlock,stat_wonTackle,stat_aerialWon,stat_fouls,stat_shotOffTarget,captain,player_sofascoreId,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_goalAssist,stat_bigChanceCreated
10389826,home,Angers,Paul Bernardoni,,,paul-bernardoni,P. Bernardoni,G,40,190,166,M,361314,EUR,861321600,G,1,1,False,19.0,10.0,14.0,5.0,5.0,6.0,5.0,13.0,1.0,8.0,1.0,2.0,2.0,90.0,27.0,6.9,9.0,0.0,0.0,0.00082427,0,-0.2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389826,home,Angers,Farid El Melali,,,farid-el-melali,F. El Melali,M,28,173,1171,M,930584,EUR,862790400,D,28,28,False,12.0,10.0,1.0,1.0,,1.0,10.0,11.0,4.0,3.0,,,,77.0,35.0,6.2,10.0,0.0,0.0,0.0128707,0,,3.0,9.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
10389826,home,Angers,Yan Valery,,,yan-valery,Y. Valery,D,22,186,2305,M,826202,EUR,919641600,D,94,94,False,23.0,17.0,4.0,2.0,13.0,14.0,5.0,12.0,3.0,6.0,,,,90.0,39.0,7.1,12.0,0.0,0.0,0.00439628,0,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10389826,home,Angers,Cédric Hountondji,,,cedric-hountondji,C. Hountondji,D,4,195,551,M,342911,EUR,758937600,D,22,22,False,25.0,22.0,3.0,2.0,19.0,20.0,3.0,6.0,5.0,3.0,,,,90.0,41.0,7.1,4.0,0.0,0.0,0.00204995,0,,,1.0,1.0,,,,8.0,2.0,2.0,,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,
10389826,home,Angers,Faouzi Ghoulam,Faouzi,Ghoulam,faouzi-ghoulam,F. Ghoulam,D,,188,1998,M,133236,EUR,665366400,D,8,8,False,33.0,30.0,6.0,4.0,11.0,12.0,21.0,28.0,4.0,4.0,,,,70.0,54.0,7.4,11.0,0.0,0.0,0.138052,0,,1.0,3.0,,1.0,2.0,2.0,5.0,,,,1.0,7.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,
10389826,home,Angers,Justin-Noel Kalumba,,,kalumba-justin-noel,J. Kalumba,M,30,182,201,M,1484974,EUR,1103932800,D,33,33,False,12.0,12.0,,,4.0,4.0,8.0,9.0,2.0,2.0,1.0,,,59.0,26.0,6.6,8.0,0.0535,0.0,0.00993132,1,,1.0,3.0,,1.0,1.0,,2.0,1.0,1.0,5.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
10389826,home,Angers,Pierrick Capelle,,,pierrick-capelle,P. Capelle,M,15,181,58,M,209768,EUR,545443200,M,15,15,False,42.0,35.0,3.0,2.0,14.0,17.0,21.0,26.0,3.0,12.0,,,,90.0,55.0,6.2,12.0,0.0,0.0,0.0284934,0,,1.0,8.0,2.0,4.0,2.0,2.0,1.0,,1.0,,,1.0,,,1.0,,2.0,,True,,,,,,,,,,,
10389826,home,Angers,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1300,M,859021,EUR,947635200,M,2,2,False,27.0,23.0,1.0,1.0,12.0,15.0,11.0,12.0,6.0,6.0,2.0,,,76.0,38.0,7.1,4.0,0.0263,0.0,0.00645387,1,,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,
10389826,home,Angers,Nabil Bentaleb,,,nabil-bentaleb,N. Bentaleb,M,6,187,8306,M,368120,EUR,785635200,M,6,6,False,36.0,29.0,1.0,1.0,10.0,11.0,19.0,29.0,10.0,6.0,4.0,,,90.0,73.0,6.7,25.0,0.3405,0.4325,0.0596858,7,,,11.0,2.0,5.0,6.0,2.0,,,2.0,4.0,,4.0,,,1.0,2.0,,3.0,,nabilbentaleb,4.0,,,,,,,,,
10389826,home,Angers,Himad Abdelli,,,himad-abdelli,H. Abdelli,M,8,185,7344,M,945830,EUR,942796800,F,10,10,False,48.0,37.0,3.0,2.0,9.0,14.0,28.0,36.0,6.0,11.0,,,,90.0,71.0,6.7,22.0,0.0259,0.0,0.0441349,1,,2.0,11.0,2.0,2.0,3.0,1.0,,2.0,3.0,4.0,1.0,2.0,,,2.0,2.0,3.0,1.0,,,,,,,,,,,,
10389826,home,Angers,Ibrahima Niane,,,ibrahima-niane,I. Niane,F,,187,431,M,880775,EUR,921110400,F,7,7,False,17.0,13.0,1.0,1.0,1.0,2.0,12.0,15.0,1.0,5.0,1.0,,,71.0,27.0,7.0,8.0,0.4095,0.5135,0.0118447,2,,1.0,7.0,1.0,3.0,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,
