match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_challengeLost,stat_outfielderBlock,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_punches,stat_bigChanceMissed,stat_hitWoodwork
13473361,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,23.0,14.0,12.0,3.0,0.0,13.0,13.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,30.0,6.7,9.0,0.00022458,0,-0.6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473361,home,São Paulo,Cédric Soares,cedric-soares,C. Soares,M,6,172,2813,M,44760,EUR,683596800,D,6,6,False,41.0,31.0,11.0,4.0,1.0,15.0,15.0,16.0,26.0,1.0,3.0,6.0,2.0,1.0,,,,,90.0,62.0,7.4,13.0,0.084027,0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
13473361,home,São Paulo,Ruan,ruan,Ruan,D,4,187,1236,M,914487,EUR,928713600,D,22,22,False,42.0,38.0,6.0,3.0,0.0,35.0,36.0,3.0,6.0,3.0,6.0,11.0,2.0,1.0,,,,,90.0,62.0,7.3,4.0,0.0025388,0,,,,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13473361,home,São Paulo,Alan Franco,alan-franco,A. Franco,D,28,183,2959,M,875402,EUR,844992000,D,28,28,False,61.0,56.0,10.0,6.0,0.0,43.0,45.0,13.0,16.0,,2.0,3.0,5.0,,,,,,90.0,69.0,7.1,5.0,0.00619934,0,,,,,,,1.0,,,,,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
13473361,home,São Paulo,Enzo Díaz,enzo-diaz,E. Díaz,D,13,175,2362,M,932937,EUR,818294400,D,13,13,False,44.0,36.0,5.0,2.0,0.0,21.0,24.0,15.0,20.0,2.0,8.0,3.0,2.0,2.0,,,,,77.0,69.0,7.1,11.0,0.00676711,1,,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0204,,,,,,,,,,,
13473361,home,São Paulo,Alisson,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,25,25,False,31.0,26.0,4.0,2.0,0.0,16.0,18.0,10.0,13.0,,5.0,,2.0,,,,,,45.0,39.0,6.9,5.0,0.00456189,0,,,,,,,1.0,5.0,2.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,
13473361,home,São Paulo,Marcos Antônio,marcos-antonio,M. Antônio,M,8,166,3050,M,905453,EUR,960854400,M,20,20,False,47.0,38.0,4.0,1.0,0.0,21.0,25.0,17.0,22.0,,2.0,5.0,4.0,2.0,,,,,90.0,64.0,6.3,15.0,0.0541583,1,,,,1.0,,,1.0,,,2.0,2.0,3.0,9.0,1.0,,1.0,,,3.0,0.0441,2.0,1.0,,,,,,,,,
13473361,home,São Paulo,Lucas Ferreira,lucas-dos-santos-ferreira,L. Ferreira,M,48,187,2402,M,1631907,EUR,1146182400,M,48,48,False,16.0,11.0,1.0,,0.0,2.0,5.0,9.0,11.0,2.0,15.0,3.0,8.0,5.0,,,,,90.0,55.0,6.6,23.0,0.163071,1,,Lucas Ferreira,,6.0,1.0,,,6.0,5.0,5.0,1.0,,9.0,8.0,2.0,1.0,,,1.0,0.0106,1.0,1.0,,,,,,,,,
13473361,home,São Paulo,Luciano,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,M,10,10,False,7.0,5.0,,,0.0,3.0,3.0,2.0,4.0,1.0,1.0,,3.0,,,,,,45.0,10.0,6.5,2.0,0.00172902,2,,,,,,,1.0,,,,,2.0,6.0,,,1.0,,1.0,3.0,0.1731,,1.0,luciano10,True,,,,,,,
13473361,home,São Paulo,Ferreirinha,ferreira,Ferreira,M,11,176,8644,M,998499,EUR,883526400,M,11,11,False,25.0,17.0,6.0,5.0,0.0,6.0,9.0,11.0,16.0,2.0,12.0,1.0,6.0,3.0,,,,,77.0,55.0,7.6,18.0,0.0210045,5,,,,,,,1.0,2.0,1.0,1.0,,1.0,8.0,10.0,5.0,,,2.0,,0.1344,2.0,2.0,,,1.0,1.0,0.5377,,,,
