match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_interceptionWon,stat_totalOffside,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_hitWoodwork,stat_errorLeadToAGoal,stat_punches,stat_errorLeadToAShot
10434081,home,Trabzonspor,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,True,32.0,17.0,23.0,8.0,10.0,10.0,7.0,22.0,5.0,1.0,1.0,90.0,35.0,7.2,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434081,home,Trabzonspor,Jens Stryger Larsen,jens-stryger-larsen,J. Stryger Larsen,D,17,180,369,M,44848,EUR,667094400,D,19,19,False,,46.0,34.0,9.0,5.0,19.0,24.0,16.0,24.0,6.0,,,90.0,72.0,7.1,19.0,0,,,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10434081,home,Trabzonspor,Marc Bartra,marc-bartra,M. Bartra,D,5,183,1897,M,99519,EUR,663897600,D,3,3,False,,25.0,19.0,5.0,3.0,14.0,18.0,5.0,8.0,3.0,,,45.0,31.0,6.8,8.0,0,,,1.0,,,2.0,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,
10434081,home,Trabzonspor,Stefano Denswil,stefano-denswil,S. Denswil,D,4,188,263,M,97404,EUR,736732800,D,24,24,False,,52.0,43.0,4.0,1.0,32.0,34.0,11.0,18.0,12.0,,,90.0,64.0,7.1,11.0,0,,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10434081,home,Trabzonspor,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180,4102,M,981483,EUR,962928000,D,18,18,False,,33.0,25.0,5.0,2.0,9.0,10.0,17.0,24.0,2.0,,,64.0,53.0,6.8,11.0,0,,,1.0,1.0,1.0,4.0,,1.0,,2.0,,,2.0,,,1.0,2.0,,3.0,,,,,,,,,,,,,,
10434081,home,Trabzonspor,Manolis Siopis,manolis-siopis,M. Siopis,M,6,168,971,M,136675,EUR,768873600,M,6,6,False,,45.0,42.0,1.0,1.0,13.0,14.0,29.0,31.0,7.0,,,85.0,61.0,7.3,5.0,1,,,,,5.0,8.0,,1.0,1.0,,4.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,
10434081,home,Trabzonspor,Djaniny,djaniny,Djaniny,F,,190,371,M,975869,EUR,669513600,M,21,21,False,,25.0,22.0,4.0,4.0,4.0,5.0,18.0,21.0,3.0,,,76.0,40.0,6.8,9.0,4,,,1.0,,3.0,5.0,2.0,1.0,,,,,2.0,,1.0,4.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,
10434081,home,Trabzonspor,Abdülkadir Ömür,abdulkadir-omur,A. Ömür,M,10,168,642,M,826155,EUR,930268800,M,10,10,False,,19.0,15.0,,,4.0,5.0,11.0,15.0,2.0,,,45.0,29.0,6.9,8.0,1,,,1.0,,2.0,2.0,,,,,1.0,,3.0,,1.0,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,
10434081,home,Trabzonspor,Anastasios Bakasetas,anastasios-bakasetas,A. Bakasetas,M,11,180,2113,M,114076,EUR,741225600,M,11,11,False,,59.0,47.0,7.0,6.0,13.0,16.0,35.0,51.0,8.0,,,90.0,84.0,8.1,23.0,3,,,8.0,1.0,3.0,10.0,,1.0,1.0,,3.0,2.0,4.0,2.0,3.0,2.0,1.0,,4.0,1.0,,,1.0,3.0,,,2.0,,,,,,
10434081,home,Trabzonspor,Mahmoud Trézéguet,mahmoud-trezeguet,M. Trézéguet,M,7,179,38551,M,295361,EUR,780969600,M,27,27,False,,34.0,28.0,2.0,,6.0,8.0,22.0,27.0,7.0,,,90.0,71.0,6.5,19.0,6,,,1.0,,13.0,6.0,6.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,2.0,,5.0,2.0,1.0,,,,mahmoudtrezeguet,1.0,,,,
