match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_totalTackle,stat_wonTackle,stat_aerialLost,player_sofascoreId,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_outfielderBlock,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_goalAssist
11369447,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,35.0,18.0,30.0,13.0,7.0,7.0,11.0,28.0,1.0,1.0,1.0,9.0,3.0,6.0,1.0,2.0,1.0,90.0,44.0,7.7,17.0,0.00274693,0,1.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369447,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172,368,M,36982,EUR,578102400,D,22,22,False,32.0,23.0,8.0,2.0,6.0,9.0,17.0,24.0,3.0,,1.0,3.0,,,,,,70.0,51.0,6.4,15.0,0.00747311,0,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11369447,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,D,2,2,False,38.0,30.0,8.0,3.0,18.0,19.0,12.0,19.0,2.0,,2.0,4.0,,,,,,77.0,45.0,6.4,9.0,0.00302613,0,,,1.0,4.0,,1.0,1.0,1.0,,1.0,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
11369447,home,Getafe,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184,491,M,980578,EUR,953856000,D,4,4,False,17.0,13.0,2.0,2.0,9.0,12.0,4.0,5.0,4.0,1.0,,2.0,,,,,,69.0,22.0,6.1,5.0,0.00255094,0,,,3.0,4.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
11369447,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,16,16,False,30.0,14.0,7.0,2.0,6.0,8.0,8.0,27.0,3.0,,4.0,2.0,,,,,,90.0,62.0,6.4,29.0,0.00809896,0,,5.0,2.0,4.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11369447,home,Getafe,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,942116,EUR,1001894400,M,12,12,False,20.0,15.0,3.0,2.0,3.0,4.0,13.0,18.0,4.0,1.0,,2.0,,,,,,50.0,34.0,5.6,12.0,0.0104095,2,,2.0,,3.0,1.0,3.0,2.0,,3.0,1.0,2.0,,,,,MGreenwood,1.0,1.0,1.0,0.0615,,,,,,,,,,,,,
11369447,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184,1287,M,331449,EUR,791078400,M,20,20,False,27.0,22.0,,,14.0,14.0,8.0,13.0,3.0,,1.0,3.0,,,,,,90.0,35.0,6.6,8.0,0.0542598,0,,,2.0,4.0,,,,,3.0,,2.0,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
11369447,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,30.0,24.0,5.0,3.0,13.0,14.0,12.0,20.0,3.0,,1.0,6.0,,,,,,69.0,46.0,6.8,11.0,0.0384142,0,,4.0,1.0,7.0,,3.0,1.0,1.0,,4.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11369447,home,Getafe,Jaime Mata,jaime-mata,J. Mata,F,17,185,448,M,351140,EUR,593654400,M,7,7,False,13.0,6.0,3.0,,2.0,2.0,4.0,11.0,2.0,1.0,,2.0,,,,,,57.0,20.0,6.6,8.0,0.00779992,0,,,1.0,4.0,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,
11369447,home,Getafe,Borja Mayoral,borja-mayoral,B. Mayoral,F,9,182,2532,M,604954,EUR,860198400,F,19,19,False,17.0,16.0,3.0,3.0,5.0,6.0,12.0,12.0,4.0,,1.0,2.0,,,,,,90.0,28.0,6.8,6.0,0.0547326,1,,1.0,1.0,4.0,2.0,,,,3.0,3.0,1.0,,,,2.0,,1.0,,1.0,0.0421,,,1.0,,,,,,,,,,
