match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length,from
12624863,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
12624863,,,,,90,4.0,,1,,,substitution,123640801.0,False,True,regular,,,,,,,
12624863,,,,,90,2.0,,1,,,card,122361000.0,,False,yellow,Saleh Aboulshamat,Argument,False,1429250.0,Saleh Abu Al-Shamat,,
12624863,,,,,90,,,1,,,card,122360840.0,,False,yellow,Khaled Al-Semeiry,Foul,False,857390.0,Khaled Al-Semeiry,,
12624863,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,7.0,
12624863,,,,,88,,,3,,,substitution,123640763.0,True,True,injury,,,,,,,
12624863,,,,,85,,,6,,,card,122360634.0,,True,yellow,Kévin N'Doram,Foul,False,823476.0,Kévin N'Doram,,
12624863,,,,,83,,,8,,,substitution,123640735.0,False,False,regular,,,,,,,
12624863,,,,,67,,,24,,,card,122359936.0,,True,yellow,Abdulrahman Al-Safri,Time wasting,False,990187.0,Abdulrahman Al-Safri,,
12624863,,,,,66,,,25,,,substitution,123640649.0,False,False,regular,,,,,,,
12624863,,,,,66,,,25,,,substitution,123640648.0,False,True,regular,,,,,,,
12624863,,,,,57,,,34,,,substitution,123640613.0,False,False,regular,,,,,,,
12624863,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
12624863,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,6.0,
12624863,,2.0,1.0,,42,,,4,,,goal,239810687.0,,True,penalty,,,,851262.0,Myziane Maolida,,penalty
12624863,,,,,41,,,5,,,card,122359297.0,,False,yellow,Thomas Murg,Argument,False,149677.0,Thomas Murg,,
12624863,,1.0,1.0,,16,,,30,,,goal,239599145.0,,True,penalty,,,,927649.0,Jackson Muleka,,penalty
12624863,,,,,14,,,32,,,card,122356134.0,,False,yellow,Marcel Tisserand,Foul,False,338651.0,Marcel Tisserand,,
12624863,,0.0,1.0,,8,,,38,,,goal,239515879.0,,False,regular,,,,918784.0,Mohamed Sherif,,
