match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,player_firstName,player_lastName,stat_totalOffside,stat_shotOffTarget,stat_outfielderBlock,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyConceded,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11450044,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,45.0,34.0,18.0,7.0,32.0,35.0,2.0,10.0,1.0,1.0,10.0,1.0,1.0,3.0,90.0,54.0,7.0,11.0,0.00075004,0,0.3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450044,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,D,23,23,False,,39.0,35.0,3.0,,21.0,22.0,15.0,18.0,1.0,1.0,6.0,,,,90.0,53.0,6.4,7.0,0.178701,0,,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11450044,home,Galatasaray,Victor Nelsson,victor-nelsson,V. Nelsson,D,15,187,2642,M,Nelsson,846148,EUR,908323200,D,25,25,False,,45.0,33.0,7.0,,26.0,30.0,7.0,15.0,4.0,6.0,3.0,,,,83.0,58.0,6.9,12.0,0.00229262,0,,,,2.0,2.0,,,6.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11450044,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,33.0,30.0,3.0,2.0,22.0,23.0,8.0,10.0,1.0,2.0,2.0,1.0,,,90.0,39.0,7.1,4.0,0.00375675,1,,,,3.0,4.0,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,0.1308,0.598,,,,,,,,,,,,,,,,
11450044,home,Galatasaray,Derrick Köhn,derrick-kohn,D. Köhn,D,39,180,1915,M,,886737,EUR,918086400,D,17,17,False,,33.0,28.0,3.0,2.0,16.0,18.0,13.0,18.0,,5.0,12.0,,,,90.0,69.0,6.6,16.0,0.0849114,0,,3.0,1.0,,6.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,
11450044,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,40.0,36.0,2.0,1.0,18.0,21.0,18.0,19.0,,2.0,3.0,,,,74.0,48.0,7.1,5.0,0.173292,1,,,,1.0,2.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,,1.0,,0.0714,0.0389,,,,1.0,,,,,,,,,,,,
11450044,home,Galatasaray,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,,142619,EUR,741657600,M,8,8,False,,48.0,41.0,5.0,3.0,19.0,20.0,22.0,28.0,3.0,6.0,6.0,,,,90.0,61.0,6.9,9.0,0.0552771,2,,,,1.0,11.0,,2.0,,1.0,,2.0,2.0,4.0,,,1.0,5.0,0.1413,,1.0,,,,2.0,1.0,,,,,,,,,,
11450044,home,Galatasaray,Hakim Ziyech,hakim-ziyech,H. Ziyech,M,30,181,61036,M,HZiyech,249437,EUR,732499200,M,22,22,False,,40.0,31.0,3.0,1.0,14.0,18.0,18.0,24.0,,3.0,4.0,2.0,,,74.0,56.0,7.6,11.0,0.132625,5,,2.0,1.0,,2.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,0.2155,0.0326,,,,,2.0,,1.0,1.0,2.0,,,,,,,
11450044,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,31.0,25.0,4.0,3.0,10.0,12.0,16.0,28.0,,1.0,2.0,1.0,,,82.0,51.0,8.4,19.0,0.290811,1,,9.0,1.0,2.0,7.0,,,,,6.0,,,2.0,1.0,1.0,4.0,3.0,0.2224,0.4002,,,,,,,1.0,,,,,,,,,
11450044,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,M,53,53,False,,33.0,26.0,4.0,4.0,10.0,12.0,18.0,25.0,4.0,12.0,7.0,2.0,,,90.0,73.0,7.2,26.0,0.399212,5,,4.0,2.0,2.0,15.0,5.0,9.0,1.0,,4.0,1.0,1.0,,1.0,,5.0,5.0,0.4561,0.0331,5.0,,,,2.0,,,1.0,2.0,1.0,,,,,,
