match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_possessionLostCtrl,stat_keyPass,captain,stat_blockedScoringAttempt,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_goalAssist,stat_dispossessed,stat_shotOffTarget,stat_wonTackle,stat_totalContest,player_firstName,player_lastName,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_punches
11352431,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,47.0,47.0,7.0,7.0,46.0,46.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,55.0,7.3,0.00037755,0,0.2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352431,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22354,M,johnstones5,152077,EUR,770083200,D,5,5,False,92.0,90.0,5.0,4.0,41.0,41.0,49.0,53.0,2.0,3.0,,,,,90.0,102.0,7.5,0.0373848,0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11352431,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,97.0,95.0,6.0,4.0,70.0,70.0,25.0,27.0,1.0,7.0,,,,,90.0,107.0,7.4,0.011784,3,,,2.0,3.0,3.0,6.0,1.0,,2.0,,True,3.0,1.0,2.0,1.0,0.0761,,,,,,,,,,,,,,,,,,
11352431,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,103.0,95.0,4.0,1.0,39.0,41.0,56.0,64.0,,3.0,,,,,90.0,130.0,7.8,0.0532166,2,,2.0,,3.0,1.0,5.0,,1.0,14.0,1.0,,1.0,2.0,,,0.1095,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11352431,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,58.0,52.0,2.0,1.0,29.0,31.0,23.0,27.0,2.0,2.0,,,,,57.0,71.0,6.9,0.0163153,1,,,,,1.0,1.0,1.0,3.0,10.0,,,1.0,,1.0,,0.2105,,,,,1.0,,,,,,,,,,,,,
11352431,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,98.0,88.0,12.0,8.0,40.0,41.0,48.0,57.0,1.0,8.0,,,,,90.0,109.0,7.6,0.0926637,1,,,1.0,3.0,7.0,5.0,2.0,,12.0,2.0,,,2.0,,,0.0358,,1.0,1.0,1.0,1.0,,,4.0,1.0,,,,,,,,,
11352431,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,59.0,53.0,2.0,1.0,14.0,14.0,40.0,47.0,,2.0,,,,,90.0,77.0,7.5,0.0583356,4,,2.0,1.0,,2.0,5.0,,1.0,9.0,,,3.0,1.0,3.0,,0.2048,,1.0,,,1.0,,,,,1.0,1.0,1.0,0.2097,,,,,
11352431,home,Manchester City,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,matheusnunes,945122,EUR,904176000,M,27,27,False,30.0,24.0,2.0,,6.0,8.0,18.0,25.0,,,,,,,57.0,42.0,6.7,0.0506576,0,,3.0,1.0,,4.0,2.0,,1.0,13.0,1.0,,,,1.0,,,,,,,4.0,,,,,,1.0,,,,,,,
11352431,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,224894,M,LaAraña,944656,EUR,949276800,M,19,19,False,26.0,22.0,2.0,1.0,8.0,9.0,17.0,24.0,,2.0,,,,,77.0,49.0,7.0,0.221855,2,,7.0,1.0,,7.0,4.0,,3.0,14.0,3.0,,1.0,2.0,1.0,2.0,0.0542,,1.0,1.0,1.0,3.0,,,1.0,,3.0,1.0,,,,,,,
11352431,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,69678,M,Dokss,934386,EUR,1022457600,M,11,11,False,55.0,46.0,2.0,2.0,14.0,19.0,33.0,42.0,,8.0,,,,,87.0,81.0,7.5,0.385025,1,,6.0,,,5.0,7.0,,4.0,23.0,2.0,,1.0,1.0,1.0,,0.0527,,2.0,,1.0,8.0,,,,,1.0,5.0,,,,,,,
