match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_wasFouled,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyWon,stat_goals,stat_totalOffside,stat_lastManTackle,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded
11369927,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,26.0,18.0,17.0,9.0,14.0,15.0,4.0,11.0,1.0,1.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,34.0,7.3,8.0,0.00070228,0,0.0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,55,55,False,57.0,48.0,6.0,4.0,23.0,25.0,29.0,39.0,2.0,8.0,,5.0,,,,,,,90.0,85.0,8.4,15.0,0.165417,0,,7.0,4.0,1.0,6.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Joel Ordóñez,joel-ordonez,J. Ordóñez,D,4,188,4924,M,1187275,EUR,1082505600,D,4,4,False,26.0,21.0,5.0,2.0,17.0,18.0,4.0,8.0,2.0,4.0,1.0,4.0,,,,,,,64.0,31.0,7.0,5.0,0.00269842,0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,53.0,46.0,7.0,3.0,34.0,36.0,12.0,17.0,1.0,2.0,2.0,7.0,,,,,,,90.0,62.0,7.5,7.0,0.00841792,0,,,,,,,,,,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,48.0,43.0,1.0,,18.0,20.0,26.0,36.0,1.0,3.0,,7.0,,,,,,,90.0,82.0,6.7,22.0,0.0291039,0,,8.0,1.0,1.0,5.0,,1.0,3.0,,,,,,,,,Bjorn Meijer,,2.0,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,7.0,4.0,,,2.0,3.0,2.0,4.0,1.0,2.0,,,,,,,,,28.0,9.0,6.7,3.0,0.490022,0,,,,1.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Raphael Onyedika,raphael-onyedika,R. Onyedika,M,15,184,6213,M,1129862,EUR,987638400,M,15,15,False,41.0,35.0,5.0,3.0,16.0,18.0,19.0,23.0,1.0,2.0,,5.0,,,,,,,86.0,51.0,6.7,8.0,0.0112238,0,,,,,6.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,
11369927,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,42.0,36.0,4.0,3.0,11.0,12.0,25.0,32.0,,2.0,2.0,12.0,,,,,,,90.0,61.0,6.8,15.0,0.146681,2,,2.0,,,6.0,,,4.0,,,,1.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,0.1805,,,,,,,,,,,
11369927,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,69.0,56.0,6.0,6.0,12.0,14.0,45.0,57.0,7.0,13.0,,4.0,,,,,,,90.0,90.0,8.0,22.0,0.557929,3,,2.0,1.0,2.0,8.0,1.0,4.0,3.0,2.0,,,,1.0,,,1.0,,,3.0,3.0,,1.0,1.0,0.2009,True,1.0,1.0,0.0546,,,,,,,
11369927,home,Club Brugge KV,Philip Zinckernagel,philip-zinckernagel,P. Zinckernagel,F,11,175,1060,M,328247,EUR,787536000,M,77,77,False,30.0,24.0,1.0,1.0,7.0,9.0,17.0,26.0,2.0,4.0,,1.0,,,,,,,64.0,49.0,7.4,17.0,0.14937,2,,5.0,,,5.0,1.0,3.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,3.0,,1.0,,0.0587,,,1.0,0.2542,1.0,,,,,,
