match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,captain,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_wonContest,player_firstName,player_lastName,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_hitWoodwork
12437611,home,Mallorca,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,46.0,32.0,37.0,23.0,0.0,10.0,10.0,22.0,36.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,90.0,56.0,7.7,14.0,0.00448441,0,0.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437611,home,Mallorca,Pablo Maffeo,pablo-maffeo,P. Maffeo,D,23,173,2206,M,788216,EUR,868665600,D,23,23,False,16.0,12.0,4.0,1.0,0.0,3.0,5.0,11.0,13.0,4.0,7.0,,,,,,90.0,41.0,7.4,9.0,0.12126,0,,2.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
12437611,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,24.0,18.0,6.0,1.0,0.0,14.0,15.0,4.0,9.0,6.0,5.0,,,,,,90.0,34.0,7.2,6.0,0.00509276,0,,,,1.0,1.0,5.0,,,,1.0,,2.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,
12437611,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,32.0,26.0,4.0,1.0,0.0,20.0,21.0,6.0,11.0,4.0,1.0,,,,,,90.0,42.0,7.5,6.0,0.0373138,1,,,,3.0,4.0,1.0,,,,3.0,1.0,,,,,1.0,1.0,True,1.0,1.0,0.0217,,,,,,,,,,,
12437611,home,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,28.0,19.0,8.0,3.0,0.0,8.0,13.0,12.0,17.0,4.0,10.0,,,,,,90.0,55.0,7.1,18.0,0.00716578,0,,2.0,1.0,,4.0,6.0,,4.0,,,2.0,2.0,2.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,
12437611,home,Mallorca,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,22.0,17.0,1.0,1.0,0.0,6.0,7.0,11.0,16.0,1.0,9.0,,,,,,65.0,42.0,6.9,14.0,0.00612072,0,,1.0,,1.0,6.0,6.0,,5.0,,,2.0,3.0,1.0,2.0,,,,,,,,3.0,3.0,,,,,,,,,
12437611,home,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,28.0,22.0,2.0,1.0,0.0,9.0,10.0,13.0,19.0,2.0,1.0,,,,,,89.0,36.0,6.6,9.0,0.0146254,0,,1.0,,1.0,4.0,2.0,1.0,1.0,,,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,
12437611,home,Mallorca,Samú Costa,samuel-costa,S. Costa,M,12,183,1427,M,988351,EUR,975283200,M,12,12,False,8.0,5.0,2.0,1.0,0.0,3.0,4.0,2.0,4.0,1.0,,,,,,,23.0,13.0,4.0,4.0,0.00084884,0,,,,,2.0,1.0,,,,,1.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,
12437611,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,8.0,6.0,3.0,2.0,0.0,3.0,3.0,3.0,5.0,1.0,1.0,,,,,,45.0,16.0,6.5,5.0,0.00932177,1,,,,,2.0,2.0,,2.0,,,,1.0,,1.0,1.0,,,,,,0.1953,,,,,1.0,,,,,,
12437611,home,Mallorca,Vedat Muriqi,vedat-muriqi,V. Muriqi,F,7,194,5879,M,310874,EUR,767145600,F,7,7,False,29.0,12.0,1.0,,0.0,1.0,3.0,11.0,26.0,1.0,,,,,,,89.0,39.0,6.7,20.0,0.00501892,2,,,,3.0,7.0,19.0,1.0,1.0,,,,,,2.0,3.0,,16.0,,1.0,4.0,0.4703,,,,,,vedatmuriqi,1.0,1.0,1.0,0.2762,
