match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,player_firstName,player_lastName,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,stat_unsuccessfulTouch,captain,stat_hitWoodwork,stat_errorLeadToAShot,stat_fouls,stat_errorLeadToAGoal,stat_ownGoals,stat_lastManTackle
14061187,home,AS Monaco,Lukáš Hrádecký,lukas-hradecky,L. Hrádecký,G,1,190.0,2560,M,15219,EUR,627868800,G,1,1,False,30.0,25.0,7.0,2.0,0.0,25.0,26.0,4.0,6.0,1.0,3.0,1.0,1.0,90.0,36.0,6.6,6.0,0.00016338,0.1091,0,0.2655,0.0,0.01,-0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14061187,home,AS Monaco,Jordan Teze,jordan-teze,J. Teze,D,4,183.0,1060,M,825846,EUR,938649600,D,4,4,False,61.0,55.0,2.0,,0.0,9.0,11.0,50.0,3.0,,,,,63.0,84.0,7.5,15.0,0.120353,,2,,0.6,0.04,-0.03,,46.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1033,-0.25,,,,,,,,,,,,,,,,,,,,,,,
14061187,home,AS Monaco,Eric Dier,eric-dier,E. Dier,D,3,191.0,4317,M,146101,EUR,758592000,D,3,3,False,109.0,108.0,7.0,7.0,0.0,56.0,57.0,52.0,4.0,,,,,90.0,120.0,8.6,2.0,0.0204812,,1,,0.28,0.21,0.37,,52.0,,2.0,2.0,,,,,,1.0,,,,0.2243,0.51,ericdier,2.0,2.0,1.0,1.0,6.0,2.0,0.3951,1.0,,,,,,,,,,,,,,
14061187,home,AS Monaco,Christian Mawissa,christian-mawissa,C. Mawissa,D,13,184.0,895,M,1407848,EUR,1113782400,D,13,13,False,111.0,105.0,3.0,1.0,0.0,63.0,65.0,46.0,8.0,,,,,90.0,123.0,7.1,8.0,0.0181909,,0,,0.11,0.31,-0.16,,42.0,1.0,3.0,7.0,,,3.0,,,2.0,,,3.0,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,
14061187,home,AS Monaco,Caio Henrique,caio-henrique,C. Henrique,D,12,178.0,3679,M,845170,EUR,870307200,D,12,12,False,50.0,41.0,3.0,2.0,0.0,19.0,21.0,29.0,4.0,,,,,90.0,77.0,6.6,20.0,0.0395049,,0,,-0.11,0.15,-0.2,,22.0,5.0,3.0,5.0,,1.0,3.0,,,,1.0,,2.0,,,,1.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,
14061187,home,AS Monaco,Lamine Camara,camara-lamine,L. Camara,M,15,174.0,20442,M,1389846,EUR,1072915200,M,15,15,False,82.0,76.0,5.0,3.0,1.0,25.0,25.0,57.0,5.0,,,,,63.0,104.0,7.1,16.0,0.270899,,2,,0.26,-0.21,-0.05,,51.0,5.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,,,2.0,0.0562,0.01,lamine_camara_5,1.0,,,,,,,2.0,1.0,Lamine Camara,,,1.0,1.0,4.0,,,,,,,
14061187,home,AS Monaco,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191.0,3221,M,770677,EUR,848448000,M,6,6,False,73.0,66.0,5.0,3.0,1.0,25.0,25.0,48.0,6.0,,,,,90.0,82.0,8.2,9.0,0.06639,,0,,0.71,0.41,-0.03,,41.0,,3.0,5.0,,2.0,3.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,3.0,3.0,,,,,1.0,,True,,,,,,
14061187,home,AS Monaco,Maghnes Akliouche,maghnes-akliouche,M. Akliouche,M,11,183.0,5917,M,1130939,EUR,1014595200,M,11,11,False,67.0,56.0,4.0,4.0,0.0,9.0,10.0,57.0,2.0,,,,,90.0,86.0,7.3,21.0,0.121032,,2,,0.15,0.39,-0.09,,47.0,3.0,4.0,1.0,1.0,,3.0,1.0,,1.0,1.0,,,0.9725,0.31,,,,1.0,1.0,1.0,,0.9952,1.0,,,,2.0,,,4.0,,1.0,,,,,
14061187,home,AS Monaco,Takumi Minamino,takumi-minamino,T. Minamino,M,18,174.0,8866,M,155818,EUR,790214400,M,18,18,False,20.0,14.0,1.0,,0.0,2.0,4.0,16.0,3.0,,,,,81.0,29.0,6.1,8.0,0.0351286,,2,,-0.1,0.01,-0.1,,12.0,,4.0,1.0,1.0,,1.0,,1.0,,,,,0.1353,-0.31,Minamino,2.0,1.0,1.0,,,,0.3512,,,,,,,,,,,,,,,
14061187,home,AS Monaco,Aleksandr Golovin,aleksandr-golovin,A. Golovin,M,10,180.0,8439,M,318963,EUR,833414400,M,10,10,False,57.0,49.0,1.0,,0.0,17.0,21.0,36.0,8.0,,,,,89.0,76.0,6.1,17.0,0.0586827,,2,,-0.15,0.19,-0.17,,32.0,2.0,5.0,3.0,,1.0,4.0,,2.0,,1.0,,,0.1267,-0.11,alex_golovin17,,,,,,,,,2.0,,,,,,4.0,,,1.0,2.0,,,
