match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_aerialLost,stat_shotOffTarget,stat_lastManTackle,stat_totalCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_wonContest,player_sofascoreId,captain,stat_errorLeadToAShot,stat_totalOffside,stat_hitWoodwork
13473371,home,Santos,Gabriel Brazão,,,gabriel-brazao,G. Brazão,G,77,191,3074,M,905448,EUR,970704000,G,77,77,False,27.0,16.0,17.0,6.0,0.0,10.0,13.0,6.0,14.0,2.0,5.0,1.0,2.0,4.0,2.0,90.0,37.0,7.7,11.0,0.00048909,17.383973745919,3.0,6.3674718574937,0.0,0,0.5537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473371,home,Santos,Leonardo Godoy,,,leonardo-godoy,L. Godoy,D,29,174,518,M,794006,EUR,799027200,D,29,29,False,6.0,3.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,3.0,2.0,,,,,45.0,14.0,6.4,5.0,0.00021125,6.746213456451,1.0,-1.2763408570673,0.0,0,,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13473371,home,Santos,Zé Ivaldo,,,ze-ivaldo,Z. Ivaldo,D,2,185,1464,M,844602,EUR,856483200,D,2,2,False,33.0,24.0,10.0,4.0,0.0,16.0,20.0,8.0,13.0,5.0,4.0,,,,,90.0,48.0,8.0,9.0,0.0612303,129.30309258907,13.0,104.49494536532,2.0,2,,2.0,5.0,,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0886,0.8181,30.926792923034,50.96279106442,,,,,,,,,,,,,,,
13473371,home,Santos,Gil,,,gil,Gil,D,4,191,1081,M,106402,EUR,550454400,D,4,4,False,22.0,21.0,2.0,1.0,0.0,17.0,17.0,4.0,5.0,5.0,2.0,,,,,90.0,31.0,7.2,1.0,0.00310154,39.93892011485,4.0,-11.336218742824,0.0,1,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,1.0,,0.0451,,,,1.0,1.0,1.0,,,,,,,,,,,,
13473371,home,Santos,Gonzalo Escobar,,,gonzalo-escobar,G. Escobar,D,31,171,1242,M,840500,EUR,858470400,D,31,31,False,38.0,33.0,2.0,1.0,0.0,22.0,25.0,11.0,13.0,11.0,6.0,,,,,90.0,64.0,7.7,9.0,0.00663338,67.474436697128,12.0,42.439932308225,0.0,0,,4.0,7.0,2.0,,,7.0,6.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,
13473371,home,Santos,Gabriel Bontempo,,,gabriel-bontempo,G. Bontempo,M,49,181,1665,M,1656036,EUR,1105833600,M,49,49,False,14.0,12.0,,,1.0,9.0,9.0,3.0,5.0,2.0,3.0,,,,,76.0,27.0,7.3,4.0,0.146582,124.79965064289,11.0,28.1710515234,2.0,1,,1.0,5.0,1.0,,,2.0,2.0,,,,,,1.0,1.0,3.0,0.4398,,31.716034899561,52.378136605892,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,
13473371,home,Santos,João Schmidt,,,joao-schmidt,J. Schmidt,M,5,183,1085,M,244591,EUR,737769600,M,5,5,False,38.0,33.0,5.0,3.0,0.0,18.0,20.0,15.0,18.0,3.0,5.0,,,,,90.0,52.0,7.1,7.0,0.0226814,47.755728809342,7.0,-4.223540377905,0.0,0,,3.0,3.0,2.0,1.0,,3.0,3.0,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,
13473371,home,Santos,Álvaro Barreal,,,alvaro-barreal,Á. Barreal,M,22,172,2811,M,949687,EUR,966470400,M,22,22,False,17.0,14.0,4.0,3.0,0.0,8.0,9.0,6.0,8.0,1.0,4.0,,,,,75.0,37.0,7.9,6.0,0.269985,53.31850707825,8.0,36.949737182543,1.0,3,,8.0,6.0,3.0,,3.0,2.0,,4.0,,3.0,,1.0,,2.0,2.0,1.3952,1.2773,11.223734114111,13.364268816512,1.0,,,3.0,1.0,1.0,,3.0,1.0,2.0,,,,,
13473371,home,Santos,Neymar,,,neymar,Neymar,F,10,175,1009791,M,124712,EUR,697248000,M,100,100,False,11.0,6.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,,,,,,,34.0,20.0,6.5,12.0,0.00210281,69.325621736553,8.0,-2.2182505047804,1.0,0,,3.0,2.0,,1.0,3.0,,,,,,,,,,1.0,,,15.715208545575,22.386929244539,,,,1.0,,,3.0,,,1.0,Neymar,True,,,
13473371,home,Santos,Guilherme,,,guilherme,Guilherme,M,11,178,3515,M,844605,EUR,797731200,M,11,11,False,28.0,22.0,1.0,1.0,0.0,9.0,10.0,13.0,18.0,5.0,7.0,,,,,90.0,52.0,7.8,9.0,0.0377662,165.63381229431,15.0,43.394523025644,2.0,3,,2.0,12.0,1.0,,2.0,2.0,1.0,,5.0,1.0,1.0,,,1.0,4.0,0.1623,0.3146,25.469225900046,34.638753734821,,1.0,,1.0,,,2.0,,1.0,1.0,,,,,
