match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
11407500,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,49.0,34.0,19.0,6.0,30.0,35.0,4.0,14.0,1.0,1.0,13.0,1.0,1.0,3.0,90.0,64.0,6.4,15.0,0.0022797,0,0.3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407500,home,Monza,Pedro Pereira,,,pedro-pereira,P. Pereira,M,13,185,287,M,,807291,EUR,885427200,D,13,13,False,21.0,15.0,,,11.0,13.0,4.0,9.0,,,,,,,45.0,29.0,6.6,8.0,0.00148732,0,,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11407500,home,Monza,Danilo D'Ambrosio,,,danilo-dambrosio,D. D'Ambrosio,D,,180,548,M,,107936,EUR,589766400,D,33,33,False,55.0,49.0,5.0,,40.0,42.0,9.0,14.0,7.0,1.0,4.0,,,,90.0,74.0,7.1,10.0,0.00236777,0,,1.0,10.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11407500,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,22,22,False,63.0,53.0,13.0,7.0,43.0,47.0,10.0,16.0,3.0,,4.0,,,,90.0,74.0,7.0,10.0,0.00315739,0,,,7.0,2.0,2.0,2.0,2.0,3.0,,,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11407500,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189,134,M,,100565,EUR,665366400,D,5,5,False,69.0,59.0,13.0,5.0,52.0,58.0,7.0,12.0,3.0,1.0,3.0,,,,90.0,84.0,6.8,11.0,0.00732437,0,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,,3.0,,,,,3.0,,,,,,,,,,,,,,,
11407500,home,Monza,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,,377302,EUR,823478400,D,77,77,False,40.0,35.0,4.0,2.0,16.0,21.0,19.0,20.0,5.0,1.0,5.0,,,,83.0,64.0,6.7,10.0,0.0150723,2,,1.0,3.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,2.0,0.2801,,,,,,,,,,,
11407500,home,Monza,Roberto Gagliardini,,,roberto-gagliardini,R. Gagliardini,M,63,188,567,M,,287057,EUR,765676800,M,6,6,False,24.0,21.0,1.0,,18.0,20.0,3.0,4.0,3.0,,2.0,,,,45.0,28.0,6.7,3.0,0.0071725,1,,,1.0,,,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,0.0974,1.0,0.5096,,,,,,,,,
11407500,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,46.0,39.0,5.0,2.0,21.0,27.0,18.0,19.0,7.0,1.0,4.0,,,,90.0,62.0,6.3,12.0,0.0227242,0,,,4.0,2.0,2.0,1.0,2.0,,4.0,1.0,1.0,,,2.0,1.0,,,,,,,,True,,,,,,,,
11407500,home,Monza,Jean-Daniel Akpa Akpro,,,jean-daniel-akpa-akpro,J. A. Akpro,M,11,180,386,M,,164511,EUR,718761600,M,8,8,False,29.0,23.0,1.0,,12.0,16.0,11.0,13.0,4.0,,1.0,,,,90.0,42.0,7.0,11.0,0.145411,0,,,6.0,4.0,2.0,,2.0,2.0,,,,,,3.0,1.0,2.0,1.0,,,,,,,1.0,,,,,,,
11407500,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,F,28,28,False,11.0,8.0,1.0,,2.0,3.0,7.0,10.0,1.0,,2.0,,,,61.0,21.0,7.0,4.0,0.0804559,3,,2.0,2.0,,,2.0,,,,,,,,,1.0,1.0,,,,0.3379,1.0,0.1565,,1.0,1.0,2.0,,,,,
