match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name
12709443,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12709443,,,,,90,2.0,,1,,,substitution,122985309.0,False,False,regular,,,,,,
12709443,,,,,90,0.0,,1,,,injuryTime,,,,,5.0,,,,,
12709443,,,,,83,,,8,,,substitution,122985270.0,False,True,regular,,,,,,
12709443,,,,,82,,,9,,,substitution,122985269.0,False,True,regular,,,,,,
12709443,,,,,77,,,14,,,substitution,122985243.0,False,True,regular,,,,,,
12709443,,,,,77,,,14,,,substitution,122985242.0,False,True,regular,,,,,,
12709443,,,,,72,,,19,,,substitution,122985213.0,False,False,regular,,,,,,
12709443,,,,,72,,,19,,,substitution,122985212.0,False,False,regular,,,,,,
12709443,,,,,72,,,19,,,substitution,122985211.0,False,False,regular,,,,,,
12709443,,,,,70,,,21,,,card,121511855.0,,True,yellow,,Aaron Pierre,Foul,False,289921.0,Aaron Pierre
12709443,,0.0,2.0,,65,,,26,,,goal,186387706.0,,False,regular,,,,,343027.0,Dion Charles
12709443,,,,,62,,,29,,,card,121511842.0,,True,yellow,,Luca Hoole,Foul,False,1005898.0,Luca Hoole
12709443,,,,,59,,,32,,,substitution,122985103.0,True,False,injury,,,,,,
12709443,,,,,56,,,35,,,substitution,122985090.0,True,True,injury,,,,,,
12709443,,0.0,1.0,,52,,,39,,,goal,186387496.0,,False,regular,,,,,908631.0,Jordi Osei-Tutu
12709443,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12709443,,,,,45,0.0,,1,,,injuryTime,,,,,1.0,,,,,
