match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,player_firstName,player_lastName,stat_aerialLost,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_penaltyConceded,stat_fouls,stat_shotOffTarget,captain,stat_bigChanceCreated,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
12448228,home,SC Heerenveen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,13,13,False,34.0,26.0,15.0,7.0,0.0,24.0,25.0,2.0,9.0,4.0,1.0,90.0,36.0,6.6,8.0,0.00315352,0,-0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,191,83,M,847072,EUR,886118400,D,4,4,False,41.0,33.0,8.0,3.0,0.0,22.0,24.0,11.0,17.0,4.0,,78.0,72.0,7.0,14.0,0.00905212,0,,4,1.0,6.0,7.0,4.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,186,224,M,1121247,EUR,1090627200,D,17,17,False,60.0,55.0,8.0,4.0,0.0,47.0,48.0,8.0,12.0,12.0,,90.0,72.0,7.0,5.0,0.00294722,1,,17,,2.0,3.0,1.0,,,,1.0,5.0,1.0,,,,1.0,1.0,2.0,0.0364,,,,,,,,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Paweł Bochniewicz,pawel-bochniewicz,P. Bochniewicz,D,194,794,M,286097,EUR,822960000,D,5,5,False,73.0,60.0,7.0,4.0,0.0,48.0,53.0,12.0,20.0,3.0,,83.0,86.0,7.6,14.0,0.170583,0,,4,1.0,3.0,4.0,,,,,3.0,1.0,2.0,,,,3.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,174,214,M,1150061,EUR,1077321600,D,45,45,False,45.0,33.0,5.0,3.0,0.0,25.0,30.0,8.0,16.0,9.0,,90.0,69.0,6.7,19.0,0.0831236,0,,45,3.0,6.0,10.0,2.0,2.0,1.0,1.0,3.0,,5.0,4.0,Oliver Braude,,1.0,,1.0,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Espen Van Ee,van-ee-espen,E. v. Ee,M,179,71,M,1126965,EUR,1057363200,M,21,21,False,63.0,55.0,2.0,,0.0,33.0,34.0,22.0,29.0,4.0,,90.0,88.0,7.3,11.0,0.0211637,1,,22,1.0,6.0,8.0,,2.0,3.0,3.0,4.0,1.0,4.0,2.0,,,2.0,,,0.0524,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,180,141,M,794014,EUR,894153600,M,8,8,False,41.0,38.0,1.0,,0.0,25.0,25.0,13.0,17.0,6.0,,90.0,50.0,6.8,5.0,0.00882818,0,,8,,2.0,2.0,,,,,1.0,,2.0,1.0,,,,,,,1.0,1.0,,1.0,,2.0,,True,,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,178,432,M,1015627,EUR,975196800,M,20,20,False,7.0,5.0,,,1.0,1.0,1.0,4.0,8.0,1.0,,34.0,11.0,6.9,4.0,0.00504716,1,,20,,1.0,,1.0,,,,,,,,,,,1.0,,0.066,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,
12448228,home,SC Heerenveen,Levi Smans,levi-smans,L. Smans,M,175,135,M,1133678,EUR,1048550400,M,14,14,False,32.0,21.0,,,0.0,10.0,14.0,13.0,21.0,4.0,,90.0,61.0,7.7,22.0,0.0531938,5,,14,,9.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,,Levi Smans,,1.0,1.0,2.0,0.377,1.0,4.0,3.0,3.0,,1.0,2.0,,,2.0,2.0,1.0,0.1709,,,,,,,,,
12448228,home,SC Heerenveen,Alireza Jahanbakhsh,alireza-jahanbakhsh,A. Jahanbakhsh,M,180,3825,M,331837,EUR,745027200,M,30,30,False,30.0,19.0,,,0.0,8.0,12.0,11.0,21.0,1.0,,78.0,59.0,7.4,23.0,0.0794405,2,,27,3.0,5.0,10.0,1.0,1.0,5.0,4.0,,1.0,2.0,1.0,,,,,1.0,0.0582,,4.0,1.0,3.0,,3.0,1.0,,,,1.0,,0.0091,alirezajb,,,,,,,,
