match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_outfielderBlock,stat_lastManTackle,stat_bigChanceMissed,stat_wonContest,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_ownGoals,stat_punches
14572760,home,FC Midtjylland,Elías Ólafsson,,,elias-olafsson,E. Ólafsson,G,16,201.0,368,M,879183,EUR,952732800,G,16,16,False,26.0,19.0,11.0,4.0,0.0,16.0,16.0,3.0,10.0,1.0,1.0,14.0,2.0,3.0,4.0,1.0,1.0,90.0,44.0,7.5,7.0,0.00191209,0.2487,0,0.5923,0.06,0.01,0.34,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572760,home,FC Midtjylland,Kevin Mbabu,,,kevin-mbabu,K. Mbabu,D,43,184.0,780,M,227900,EUR,798249600,D,43,43,False,39.0,30.0,4.0,2.0,0.0,21.0,25.0,9.0,14.0,1.0,5.0,7.0,,,,,,69.0,72.0,7.4,25.0,0.200302,,0,,0.38,0.13,0.26,,7.0,4.0,1.0,7.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14572760,home,FC Midtjylland,Ousmane Diao,,,diao-ousmane,O. Diao,D,4,187.0,1563,M,1465159,EUR,1086652800,D,4,4,False,53.0,46.0,7.0,3.0,0.0,36.0,40.0,10.0,13.0,1.0,5.0,8.0,,,,,,90.0,76.0,8.1,9.0,0.00444438,,2,,0.1,0.14,0.26,,,,4.0,6.0,1.0,,7.0,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.0576,0.2015,0.53,,,,,,,,,,,,
14572760,home,FC Midtjylland,Han-Beom Lee,,,han-beom-lee,H. Lee,D,3,188.0,933,M,1002448,EUR,1024272000,D,3,3,False,57.0,47.0,6.0,3.0,0.0,36.0,39.0,11.0,18.0,4.0,6.0,2.0,,,,,,90.0,72.0,7.2,11.0,0.0985259,,0,,0.12,0.1,0.26,,,,3.0,4.0,,,8.0,3.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
14572760,home,FC Midtjylland,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189.0,283,M,1006409,EUR,915667200,D,22,22,False,50.0,44.0,8.0,6.0,0.0,29.0,29.0,15.0,21.0,,1.0,2.0,,,,,,90.0,65.0,7.5,11.0,0.0124993,,0,,0.16,0.07,0.92,,,,,5.0,2.0,,1.0,2.0,1.0,1.0,,,3.0,,,,,,,,True,2.0,1.0,,,,,,,,,
14572760,home,FC Midtjylland,Philip Billing,,,philip-billing,P. Billing,M,8,193.0,1783,M,548660,EUR,834451200,M,8,8,False,38.0,31.0,5.0,3.0,0.0,19.0,22.0,12.0,16.0,3.0,7.0,3.0,,,,,,90.0,50.0,7.0,9.0,0.0442464,,1,,-0.07,0.23,0.24,,,,1.0,5.0,,,3.0,1.0,4.0,2.0,2.0,,4.0,,,1.0,,0.2231,0.4076,-0.2,,,,1.0,,,,,,,,
14572760,home,FC Midtjylland,Pedro Bravo,Pedro Bravo,,pedro-bravo,P. Bravo,M,19,190.0,581,M,1116573,EUR,1101427200,M,19,19,False,29.0,25.0,1.0,1.0,0.0,17.0,18.0,8.0,11.0,6.0,12.0,6.0,,,,,,90.0,48.0,7.4,8.0,0.00343078,,0,,-0.05,0.1,0.39,,,,3.0,7.0,1.0,1.0,3.0,3.0,5.0,5.0,2.0,,3.0,,,,,,,,,,,,1.0,,,,,,,
14572760,home,FC Midtjylland,Denil Castillo,,,castillo-denil,D. Castillo,M,21,187.0,1350,M,1145126,EUR,1080086400,M,21,21,False,37.0,32.0,4.0,2.0,0.0,18.0,20.0,14.0,17.0,1.0,9.0,10.0,,,,,,90.0,58.0,7.6,7.0,0.16538,,0,,0.3,0.14,0.17,,1.0,1.0,,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,,
14572760,home,FC Midtjylland,Gue-sung Cho,,,gue-sung-cho,G. Cho,F,10,188.0,2291,M,1014281,EUR,885686400,M,10,10,False,16.0,9.0,,,0.0,2.0,4.0,7.0,12.0,4.0,7.0,1.0,,,,,,60.0,29.0,7.0,11.0,0.0154429,,1,,-0.06,0.12,0.19,,1.0,,1.0,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,,1.0,,0.0785,0.0556,-0.34,,,,,1.0,,,1.0,,,,
14572760,home,FC Midtjylland,Júnior Brumado,,,junior-brumado,J. Brumado,F,74,190.0,623,M,888376,EUR,926726400,F,74,74,False,17.0,9.0,2.0,1.0,0.0,2.0,3.0,7.0,14.0,1.0,4.0,2.0,,,,,,70.0,37.0,6.1,18.0,0.0249641,,0,,-0.06,-0.02,-0.09,,,,5.0,9.0,1.0,2.0,,,1.0,1.0,8.0,1.0,,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,
