match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_dispossessed,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,captain,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10385568,home,Wolverhampton,José Sá,jose-sa,J. Sá,G,1,192,4016,M,252669,EUR,727228800,G,1,1,False,19.0,8.0,12.0,1.0,8.0,12.0,7.0,1.0,1.0,1.0,12.0,2.0,3.0,5.0,1.0,90.0,35.0,7.5,14.0,0.0,0.0,3.005e-05,0,0.2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,D,22,22,False,27.0,21.0,3.0,,10.0,12.0,16.0,2.0,7.0,8.0,5.0,,,,,90.0,58.0,7.2,11.0,0.0,0.0,0.0584462,0,,nelsonsemedo50,12.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Nathan Collins,nathan-collins,N. Collins,D,22,193,1556,M,958916,EUR,988588800,D,4,4,False,26.0,16.0,7.0,2.0,12.0,15.0,11.0,2.0,4.0,7.0,2.0,,,,,90.0,43.0,7.0,12.0,0.0,0.0,0.0221392,0,,,4.0,,,3.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,27.0,21.0,6.0,2.0,16.0,18.0,9.0,3.0,3.0,8.0,3.0,,,,,90.0,41.0,6.9,7.0,0.0,0.0,0.00161297,0,,,5.0,,,4.0,,3.0,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Jonny Otto,jonny-otto,J. Otto,D,17,175,572,M,235648,EUR,762652800,D,19,19,False,24.0,17.0,4.0,4.0,8.0,10.0,17.0,1.0,6.0,2.0,5.0,,,,,90.0,43.0,6.9,10.0,0.0,0.0,0.0199546,0,,,10.0,3.0,1.0,3.0,,,3.0,1.0,,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,945122,EUR,904176000,M,27,27,False,25.0,17.0,5.0,2.0,6.0,7.0,21.0,2.0,6.0,2.0,5.0,,,,,90.0,47.0,6.6,14.0,0.2569,0.0188,0.0163477,2,,matheusnunes,11.0,3.0,,6.0,2.0,,2.0,,2.0,,1.0,,2.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,
10385568,home,Wolverhampton,Rúben Neves,ruben-neves,R. Neves,M,8,181,15401,M,280955,EUR,858211200,M,8,8,False,35.0,28.0,14.0,11.0,14.0,18.0,17.0,,8.0,6.0,11.0,,,,,90.0,59.0,8.1,10.0,0.0954,0.1943,0.010941,3,,rubenneves,14.0,,,8.0,1.0,3.0,6.0,1.0,2.0,1.0,,1.0,4.0,3.0,1.0,,1.0,,,,,1.0,True,2.0,1.0,,,,,,
10385568,home,Wolverhampton,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,28,28,False,31.0,21.0,4.0,1.0,8.0,12.0,19.0,,7.0,,6.0,,,,,89.0,44.0,7.1,11.0,0.0273,0.0,0.0202099,1,,,13.0,,,5.0,,1.0,5.0,3.0,,2.0,3.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,
10385568,home,Wolverhampton,Gonçalo Guedes,goncalo-guedes,G. Guedes,F,11,179,3550,M,280979,EUR,849225600,F,17,17,False,18.0,9.0,2.0,,2.0,3.0,18.0,,2.0,,4.0,,,,,83.0,30.0,7.1,13.0,0.0,0.0,0.0517964,0,,,8.0,3.0,1.0,5.0,,,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,
10385568,home,Wolverhampton,Raúl Jiménez,raul-jimenez,R. Jiménez,F,7,189,17432,M,192442,EUR,673401600,F,9,9,False,10.0,9.0,1.0,1.0,1.0,1.0,10.0,,3.0,2.0,1.0,,,,,90.0,29.0,6.7,7.0,0.1572,0.0514,0.00541875,2,,RJimenez9,8.0,1.0,,6.0,1.0,,,,2.0,3.0,,,3.0,,,,2.0,,,,,1.0,,1.0,,,,2.0,,,
10385568,home,Wolverhampton,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,879349,EUR,952560000,F,7,7,False,16.0,14.0,1.0,1.0,3.0,3.0,16.0,,1.0,,6.0,,,,,84.0,30.0,6.2,11.0,0.1723,0.0237,0.167259,2,,pedroneto_30,12.0,3.0,1.0,8.0,3.0,,,,3.0,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
10385568,home,Wolverhampton,Daniel Podence,daniel-podence,D. Podence,F,56,165,3017,M,308764,EUR,814233600,M,10,10,True,4.0,1.0,1.0,,,2.0,2.0,,,,1.0,,,,,17.0,4.0,6.4,3.0,0.0,0.0,0.00556383,0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Hee-Chan Hwang,hee-chan-hwang,H. Hwang,F,11,177,6362,M,786186,EUR,822614400,F,11,11,True,3.0,2.0,1.0,,2.0,3.0,,,,,1.0,,,,,16.0,6.0,6.4,4.0,0.0,0.0,9.97e-06,0,,Hwangso,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1679,M,190405,EUR,797904000,M,32,32,True,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Matija Šarkić,matija-sarkic,M. Šarkić,G,,192,167,M,862812,EUR,869616000,G,13,13,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Yerson Mosquera,yerson-mosquera,Y. Mosquera,D,15,188,3155,M,1014835,EUR,988761600,D,14,14,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,r_aitnouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Chem Campbell,campbell-chem,C. Campbell,F,20,180,146,M,1177311,EUR,1041206400,M,77,77,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,home,Wolverhampton,Adama Traoré,adama-traore,A. Traoré,F,17,178,12517,M,286165,EUR,822528000,F,37,37,True,,,,,,,,,,,,,,,,,,,,,0.0,,0,,adamatrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385568,away,Newcastle United,Nick Pope,nick-pope,N. Pope,G,1,198,4628,M,162653,EUR,703641600,G,22,22,False,16.0,12.0,5.0,1.0,11.0,13.0,3.0,,,2.0,11.0,,2.0,3.0,,90.0,31.0,6.8,4.0,0.0,0.0,0.00011319,0,-0.7118,npope29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
10385568,away,Newcastle United,Kieran Trippier,kieran-trippier,K. Trippier,D,2,174,8369,M,69256,EUR,653702400,D,2,2,False,50.0,38.0,15.0,8.0,17.0,19.0,44.0,1.0,5.0,2.0,9.0,,,,,90.0,76.0,7.4,25.0,0.0,0.0,0.0817521,0,,ktrippier2,23.0,13.0,2.0,1.0,2.0,,2.0,2.0,,1.0,,2.0,,,1.0,,,,,,,,True,,,,,,,,
10385568,away,Newcastle United,Fabian Schär,fabian-schar,F. Schär,D,5,186,3172,M,101882,EUR,693187200,D,5,5,False,64.0,51.0,15.0,7.0,33.0,34.0,30.0,3.0,5.0,1.0,6.0,,,,,90.0,70.0,7.1,13.0,0.2061,0.0,0.117845,2,,,18.0,,,3.0,,,2.0,,,,1.0,3.0,2.0,,,1.0,,,,,1.0,,,1.0,,,,,,,
10385568,away,Newcastle United,Sven Botman,sven-botman,S. Botman,D,4,193,3377,M,910046,EUR,947635200,D,4,4,False,62.0,56.0,3.0,3.0,39.0,40.0,22.0,5.0,5.0,4.0,2.0,,,,,90.0,71.0,7.1,6.0,0.0,0.0,0.0124264,0,,,17.0,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
10385568,away,Newcastle United,Dan Burn,dan-burn,D. Burn,D,33,201,4473,M,99090,EUR,705369600,D,33,33,False,28.0,23.0,2.0,,14.0,16.0,13.0,2.0,4.0,1.0,,,,,,65.0,42.0,6.8,6.0,0.0,0.0,0.0401569,0,,,10.0,1.0,1.0,2.0,,,2.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,
10385568,away,Newcastle United,Joe Willock,joe-willock,J. Willock,M,28,186,2651,M,888550,EUR,935107200,M,28,28,False,27.0,24.0,,,13.0,14.0,16.0,1.0,4.0,,1.0,,,,,84.0,44.0,6.5,8.0,0.4438,0.0,0.212589,2,,,12.0,3.0,1.0,8.0,2.0,,2.0,2.0,,1.0,2.0,3.0,1.0,2.0,,1.0,1.0,,,1.0,2.0,,,,,,,1.0,,,
10385568,away,Newcastle United,Sean Longstaff,sean-longstaff,S. Longstaff,M,8,187,1652,M,866191,EUR,878169600,M,36,36,False,55.0,43.0,4.0,2.0,21.0,22.0,33.0,,1.0,1.0,5.0,,,,,90.0,69.0,6.6,16.0,0.1711,0.0,0.0455578,2,,,22.0,,,3.0,2.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,
10385568,away,Newcastle United,Joelinton,joelinton,Joelinton,M,7,186,10098,M,560128,EUR,839980800,M,7,7,False,52.0,41.0,5.0,4.0,15.0,19.0,34.0,1.0,8.0,1.0,8.0,,,,,90.0,78.0,7.5,19.0,0.0847,0.2213,0.173759,2,,joelinton34,27.0,1.0,1.0,9.0,7.0,,2.0,1.0,3.0,1.0,,3.0,4.0,,4.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,
10385568,away,Newcastle United,Miguel Almirón,miguel-almiron,M. Almirón,M,10,174,8461,M,333373,EUR,760838400,F,24,24,False,29.0,27.0,,,7.0,7.0,23.0,,4.0,,3.0,,,,,83.0,42.0,6.7,7.0,0.1779,0.0,0.0942482,3,,miguel_almiron,20.0,1.0,,4.0,2.0,,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,,
10385568,away,Newcastle United,Chris Wood,chris-wood,C. Wood,F,11,191,7494,M,50480,EUR,692064000,F,20,20,False,8.0,7.0,,,1.0,1.0,7.0,1.0,1.0,,,,,,,65.0,13.0,6.7,3.0,0.1633,0.0835,0.0367875,2,,wodsy39,6.0,,,4.0,,1.0,,,1.0,,2.0,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,
10385568,away,Newcastle United,Allan Saint-Maximin,allan-saint-maximin,A. Saint-Maximin,F,9,173,12573,M,347010,EUR,858124800,F,10,10,False,32.0,25.0,2.0,2.0,6.0,7.0,27.0,,5.0,,5.0,,,,,89.0,58.0,7.4,20.0,0.2498,0.4926,0.0689851,5,,st_maximin,19.0,2.0,,9.0,9.0,,,,2.0,2.0,,1.0,,,3.0,1.0,3.0,,,,,3.0,,2.0,1.0,,,,,,
10385568,away,Newcastle United,Matt Targett,matt-targett,M. Targett,D,3,183,816,M,368134,EUR,811382400,D,13,13,True,15.0,11.0,2.0,,4.0,5.0,16.0,,2.0,1.0,3.0,,,,,25.0,27.0,6.9,8.0,0.0148,0.0,0.229167,1,,,9.0,6.0,2.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
10385568,away,Newcastle United,Ryan Fraser,ryan-fraser,R. Fraser,M,7,163,555,M,138261,EUR,762048000,M,21,21,True,9.0,9.0,,,2.0,2.0,12.0,,1.0,,1.0,,,,,25.0,18.0,6.8,4.0,0.0,0.0,0.167997,0,,,9.0,5.0,2.0,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
