match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,player_sofascoreId,stat_aerialLost,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_accurateCross,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_clearanceOffLine
14773683,home,Al-Ittihad,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2722,M,188107,EUR,815097600,G,1,1,False,16.0,14.0,4.0,2.0,0.0,14.0,15.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,90.0,24.0,6.7,2.0,5.493e-05,3.4695891687634,1.0,0.105,0.105,0,0.01,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14773683,home,Al-Ittihad,Muhannad Shanqeeti,muhannad-shanqeeti,M. Shanqeeti,D,13,173.0,417,M,894437,EUR,921196800,D,13,13,False,35.0,28.0,1.0,1.0,0.0,8.0,8.0,27.0,,2.0,,,,,89.0,56.0,8.3,13.0,0.307882,131.5635280039,15.0,101.745,25.095,2,0.34,0.22,-0.04,20.0,2.0,8.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,0.6447,1.3569,57.795758669321,3.0,1.0,0.68,,,,,,,,,,,,,,,,,,,,,,,
14773683,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187.0,4062,M,99545,EUR,684374400,D,2,2,False,90.0,83.0,10.0,6.0,0.0,32.0,34.0,56.0,2.0,3.0,1.0,,,,90.0,100.0,7.5,8.0,0.0263954,224.95249922314,32.0,174.93,13.545,2,0.42,0.21,0.16,51.0,,3.0,1.0,,,,,,,3.0,1.0,1.0,0.1182,,,,,-0.44,DaniloP,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14773683,home,Al-Ittihad,Ahmed Sharahili,ahmed-sharahili,A. Sharahili,D,20,184.0,296,M,794331,EUR,768355200,D,20,20,False,58.0,54.0,3.0,1.0,0.0,34.0,35.0,23.0,,,4.0,,,,69.0,60.0,6.5,4.0,0.0102773,114.91867241041,17.0,76.545,13.545,0,0.21,0.09,-0.06,20.0,,6.0,,,,,,,,2.0,4.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
14773683,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,15,15,False,59.0,56.0,2.0,,0.0,25.0,27.0,32.0,,4.0,5.0,,,,90.0,75.0,7.4,5.0,0.170898,146.11960927168,21.0,48.51,35.49,0,0.31,0.11,0.29,31.0,2.0,3.0,,1.0,1.0,,,,,1.0,,,,,35.506673231943,1.0,,,,3.0,,2.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
14773683,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169.0,44806,M,234148,EUR,670204800,M,7,7,False,87.0,80.0,7.0,4.0,0.0,37.0,39.0,48.0,1.0,7.0,11.0,,,,90.0,104.0,7.7,14.0,0.100773,239.22564421633,34.0,135.555,26.355,0,0.32,0.52,0.16,43.0,,7.0,3.0,3.0,1.0,,,,,1.0,2.0,,,,79.674899736569,5.0,2.0,,nglkante,,,1.0,,,,1.0,,,5.0,4.0,1.0,,,,,,,,,,
14773683,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187.0,9249,M,243585,EUR,751334400,M,8,8,False,72.0,67.0,3.0,2.0,0.0,30.0,30.0,42.0,2.0,6.0,3.0,,,,90.0,80.0,7.5,6.0,0.222633,159.01391890929,25.0,-7.455,6.72,2,0.36,0.09,0.26,37.0,,4.0,,,,,,,,,2.0,,0.0854,,,,,-0.13,Fabinho,2.0,,,,,,,,,4.0,3.0,,2.0,,,,,,,,,
14773683,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7562,M,855817,EUR,931305600,M,19,19,False,42.0,33.0,1.0,,1.0,4.0,4.0,38.0,,,3.0,,,,82.0,58.0,7.1,18.0,0.561873,201.42999133962,21.0,111.51,36.435,2,0.11,0.59,0.0,29.0,6.0,5.0,3.0,1.0,,1.0,2.0,1.0,,,,,0.3638,0.4202,107.2687388536,7.0,3.0,0.08,moussadiaby,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,
14773683,home,Al-Ittihad,Steven Bergwijn,steven-bergwijn,S. Bergwijn,M,34,178.0,5144,M,361798,EUR,876268800,M,34,34,False,26.0,24.0,1.0,1.0,0.0,8.0,9.0,17.0,,,2.0,,,,89.0,35.0,7.5,6.0,0.795189,112.67447568134,13.0,19.74,41.895,3,0.87,0.35,-0.06,16.0,1.0,4.0,,1.0,,2.0,,,,,1.0,,0.3014,,47.921467113098,2.0,2.0,-0.67,StevenBergwijn,1.0,1.0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,
14773683,home,Al-Ittihad,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170.0,2642,M,1128560,EUR,1132531200,M,78,78,False,36.0,33.0,1.0,,0.0,8.0,8.0,28.0,3.0,8.0,3.0,,,,90.0,68.0,7.3,15.0,0.4093,108.79416569827,18.0,37.485,17.22,1,0.36,0.13,-0.02,25.0,9.0,9.0,2.0,7.0,4.0,1.0,,,,4.0,2.0,,0.019,,26.364489705839,2.0,5.0,-0.04,,,1.0,,1.0,,,2.0,5.0,,,,2.0,,,,,,,,,,
