match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_wonTackle,stat_errorLeadToAGoal,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_keyPass,stat_accurateCross,stat_wasFouled,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
10433857,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,31.0,27.0,11.0,7.0,25.0,27.0,2.0,4.0,1.0,2.0,1.0,12.0,2.0,2.0,3.0,1.0,1.0,90.0,47.0,6.8,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433857,home,Kayserispor,Onur Bulut,onur-bulut,O. Bulut,D,6,179,562,M,142494,EUR,766454400,D,38,38,False,65.0,54.0,5.0,2.0,31.0,33.0,23.0,33.0,,2.0,,7.0,,,,,,90.0,92.0,6.3,17.0,0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10433857,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,D,6,6,False,77.0,69.0,5.0,2.0,48.0,50.0,21.0,27.0,,2.0,2.0,4.0,,,,,,72.0,85.0,6.0,11.0,0,,1.0,,,2.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10433857,home,Kayserispor,Majid Hosseini,majid-hosseini,M. Hosseini,D,5,187,803,M,359332,EUR,835228800,D,5,5,False,76.0,72.0,9.0,8.0,58.0,60.0,14.0,16.0,1.0,4.0,2.0,4.0,,,,,,90.0,88.0,7.1,4.0,0,,4.0,1.0,2.0,2.0,,2.0,,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,
10433857,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,21,21,False,56.0,51.0,6.0,5.0,30.0,34.0,22.0,26.0,,2.0,1.0,3.0,,,,,,90.0,69.0,6.8,10.0,0,4.0,,1.0,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
10433857,home,Kayserispor,Campanharo,campanharo,Campanharo,M,,178,121,M,220094,EUR,702345600,M,88,88,False,50.0,50.0,1.0,1.0,32.0,32.0,18.0,18.0,,7.0,,3.0,,,,,,90.0,64.0,7.2,1.0,0,,6.0,,3.0,6.0,1.0,3.0,,,,1.0,2.0,,1.0,2.0,,,,1.0,,,,,,,,,
10433857,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,31.0,25.0,2.0,1.0,11.0,13.0,15.0,24.0,,3.0,,3.0,,,,,,59.0,48.0,6.7,16.0,1,6.0,3.0,3.0,,,3.0,1.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,
10433857,home,Kayserispor,Olivier Kemen,olivier-kemen,O. Kemen,M,8,177,827,M,280447,EUR,837820800,M,10,10,False,32.0,30.0,3.0,3.0,11.0,12.0,19.0,21.0,,3.0,,2.0,,,,,,58.0,45.0,6.9,7.0,1,1.0,3.0,1.0,,2.0,2.0,2.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,
10433857,home,Kayserispor,Bernard Mensah,bernard-mensah,B. Mensah,M,43,180,416,M,546220,EUR,782352000,M,43,43,False,59.0,52.0,3.0,3.0,21.0,22.0,31.0,41.0,1.0,6.0,1.0,8.0,,,,,,90.0,83.0,6.6,18.0,3,4.0,8.0,4.0,,1.0,2.0,4.0,,,2.0,,1.0,,,1.0,2.0,,,2.0,1.0,,True,1.0,1.0,,,,
10433857,home,Kayserispor,Mame Thiam,mame-thiam,M. Thiam,F,17,185,1076,M,180981,EUR,718588800,M,27,27,False,15.0,13.0,2.0,2.0,5.0,6.0,8.0,11.0,,1.0,,,,,,,,73.0,22.0,6.4,6.0,0,2.0,2.0,,,,2.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,
