match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,captain,stat_fouls,stat_goalAssist,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
11392885,home,Olympique de Marseille,Pau López,pau-lopez,P. López,G,25,189,1242,M,548848,EUR,787276800,G,16,16,False,40.0,34.0,12.0,6.0,31.0,33.0,3.0,7.0,2.0,9.0,1.0,6.0,7.0,2.0,90.0,58.0,8.8,7.0,0.0,0.0,0.0023931,0,1.7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392885,home,Olympique de Marseille,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178,2004,M,821728,EUR,717379200,D,7,7,False,53.0,41.0,7.0,1.0,22.0,23.0,19.0,32.0,4.0,11.0,1.0,,,,90.0,76.0,8.0,17.0,0.0,0.0,0.110096,0,,,,2.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11392885,home,Olympique de Marseille,Samuel Gigot,samuel-gigot,S. Gigot,D,2,187,808,M,339231,EUR,750384000,D,4,4,False,57.0,53.0,3.0,2.0,41.0,42.0,13.0,16.0,11.0,6.0,1.0,,,,90.0,76.0,7.8,5.0,0.0672,0.0,0.0329529,1,,,,1.0,1.0,4.0,1.0,6.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
11392885,home,Olympique de Marseille,Chancel Mbemba,chancel-mbemba,C. Mbemba,D,18,182,34725,M,238612,EUR,776304000,D,99,99,False,49.0,45.0,5.0,4.0,34.0,35.0,11.0,14.0,6.0,4.0,,,,,90.0,63.0,8.4,4.0,0.1634,0.4854,0.0667228,1,,,,,,1.0,,4.0,,,2.0,3.0,2.0,,,1.0,,,chancel22,1.0,1.0,,,,,,,,,,,,,,
11392885,home,Olympique de Marseille,Renan Lodi,renan-lodi,R. Lodi,D,16,173,4176,M,851150,EUR,891993600,D,12,12,False,33.0,31.0,2.0,2.0,18.0,19.0,13.0,18.0,2.0,6.0,2.0,,,,90.0,53.0,8.1,10.0,0.0,0.0,0.125466,0,,,,4.0,1.0,,1.0,5.0,,,1.0,5.0,4.0,,,1.0,,,renan_lodi,,,1.0,,,,,,,,,,,,,
11392885,home,Olympique de Marseille,Ismaïla Sarr,ismaila-sarr,I. Sarr,F,7,185,26789,M,845286,EUR,888364800,M,23,23,False,22.0,19.0,2.0,1.0,6.0,7.0,13.0,15.0,,7.0,1.0,,,,80.0,38.0,7.4,9.0,0.3385,0.921,0.153242,2,,,,,,2.0,8.0,5.0,,,1.0,,,1.0,1.0,1.0,,,ismaila_sarr18,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,,,,,,,,
11392885,home,Olympique de Marseille,Valentin Rongier,valentin-rongier,V. Rongier,M,21,172,1149,M,581314,EUR,786758400,M,21,21,False,45.0,37.0,8.0,5.0,16.0,18.0,21.0,27.0,1.0,3.0,1.0,,,,90.0,63.0,7.1,11.0,0.1531,0.0,0.0932717,1,,,,,5.0,1.0,10.0,6.0,,2.0,1.0,3.0,1.0,1.0,,,,1.0,,,,,2.0,2.0,1.0,1.0,,True,2.0,,,,,,
11392885,home,Olympique de Marseille,Jordan Veretout,jordan-veretout,J. Veretout,M,21,177,1268,M,151124,EUR,730944000,M,27,27,False,38.0,31.0,8.0,5.0,14.0,16.0,19.0,26.0,,4.0,1.0,,,,90.0,50.0,8.0,11.0,0.3829,0.0,0.769138,1,,,,4.0,1.0,1.0,3.0,3.0,,2.0,1.0,1.0,,,,3.0,2.0,1.0,,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,
11392885,home,Olympique de Marseille,Amine Harit,amine-harit,A. Harit,M,25,179,11445,M,827522,EUR,866592000,M,11,11,False,15.0,10.0,,,3.0,3.0,7.0,12.0,,2.0,1.0,,,,49.0,28.0,6.8,11.0,0.0514,0.0,0.0291038,1,,,,,1.0,,6.0,5.0,,,,4.0,3.0,1.0,,1.0,,1.0,amineharit,,,,1.0,3.0,1.0,,,,,,,,,,
11392885,home,Olympique de Marseille,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,914309,EUR,952300800,F,29,29,False,12.0,7.0,,,3.0,4.0,4.0,8.0,,2.0,1.0,,,,65.0,25.0,6.8,9.0,0.0,0.0,0.0446631,0,,,,,1.0,,4.0,5.0,,,,,,2.0,,1.0,,,ilimanndiaye10,,,,,1.0,4.0,3.0,,,1.0,,,,,,
11392885,home,Olympique de Marseille,Pierre-Emerick Aubameyang,pierre-emerick-aubameyang,P. Aubameyang,F,17,187,49773,M,51498,EUR,614131200,F,10,10,False,24.0,19.0,,,7.0,7.0,12.0,18.0,1.0,4.0,1.0,,,,90.0,37.0,6.2,8.0,1.3188,0.7067,0.161263,5,,,,1.0,,1.0,1.0,3.0,,,,,,1.0,,1.0,,1.0,Auba,2.0,,,,1.0,1.0,1.0,2.0,,,,3.0,,,,
11392885,home,Olympique de Marseille,François Régis Mughe,francois-regis-mughe,F. R. Mughe,F,63,173,489,M,1403127,EUR,1087257600,F,24,24,True,9.0,6.0,1.0,,,2.0,7.0,8.0,1.0,2.0,2.0,,,,41.0,14.0,6.5,6.0,0.0,0.0,0.0955157,0,,François Régis Mughe,,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,
11392885,home,Olympique de Marseille,Vitinha,vitinha,Vitinha,F,9,183,2248,M,1093695,EUR,953078400,F,9,9,True,7.0,7.0,,,4.0,4.0,3.0,3.0,,1.0,1.0,,,,25.0,11.0,6.7,2.0,0.0745,0.0,0.0868899,1,,,,,5.0,,5.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,
11392885,home,Olympique de Marseille,Mattéo Guendouzi,matteo-guendouzi,M. Guendouzi,M,6,185,7016,M,852404,EUR,924048000,M,6,6,True,8.0,7.0,1.0,,,,7.0,8.0,,1.0,,,,,10.0,13.0,6.7,2.0,0.5476,0.9523,0.00795524,2,,,,,,,1.0,,,1.0,,,,,,,,,MatteoGuendouzi,2.0,,,,1.0,,,,,,,1.0,,,,
11392885,home,Olympique de Marseille,Rubén Blanco,ruben-blanco,R. Blanco,G,,188,391,M,180515,EUR,806630400,G,36,36,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
