match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,captain,stat_challengeLost,stat_unsuccessfulTouch,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_keyPass,stat_shotOffTarget,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_penaltyWon
14131944,home,Rio Ave,Cezary Miszta,,,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,45.0,31.0,27.0,13.0,0.0,24.0,29.0,7.0,16.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,90.0,51.0,5.9,14.0,0.00060861,0.1612,0,-1.1093,-0.01,-0.07,-0.74,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Julien Lomboto,,,lomboto-julien,J. Lomboto,D,63,191,40,M,1478890,EUR,1021248000,D,63,63,False,31.0,29.0,3.0,1.0,0.0,25.0,26.0,4.0,5.0,2.0,3.0,,,,,,71.0,43.0,6.1,3.0,0.00095322,,0,,0.0,0.01,-0.51,,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Jakub Brabec,,,jakub-brabec,J. Brabec,D,32,186,152,M,72020,EUR,713059200,D,32,32,False,54.0,51.0,3.0,,0.0,43.0,46.0,8.0,8.0,2.0,4.0,,,,,,90.0,64.0,6.3,3.0,0.0020745,,0,,0.17,0.14,-0.2,,2.0,2.0,,6.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Jonathan Panzo,,,jonathan-panzo,J. Panzo,D,37,186,230,M,867438,EUR,971568000,D,4,4,False,20.0,16.0,3.0,1.0,0.0,13.0,16.0,3.0,4.0,1.0,1.0,,1.0,,,,21.0,23.0,4.1,4.0,0.00139086,,0,,-0.02,0.07,0.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Marios Vrousai,,,marios-vrousai,M. Vrousai,D,17,183,243,M,848521,EUR,899337600,M,17,17,False,19.0,15.0,3.0,1.0,0.0,11.0,12.0,4.0,7.0,1.0,4.0,,,,,,56.0,34.0,6.8,6.0,0.00157924,,0,,-0.08,0.05,0.2,,,3.0,,1.0,1.0,1.0,3.0,2.0,,,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Andreas Ndoj,,,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,M,5,5,False,49.0,39.0,2.0,1.0,0.0,26.0,32.0,13.0,17.0,3.0,1.0,,2.0,,,,90.0,66.0,6.9,11.0,0.0071926,,1,,0.0,0.17,0.14,,,5.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,0.0453,0.01,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Georgios Liavas,,,georgios-liavas,G. Liavas,M,54,175,143,M,946909,EUR,981849600,M,54,54,False,50.0,45.0,3.0,1.0,0.0,28.0,29.0,17.0,21.0,2.0,7.0,,1.0,,,,90.0,58.0,6.3,8.0,0.00563086,,0,,0.05,0.03,-0.27,,,3.0,1.0,,,,2.0,2.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
14131944,home,Rio Ave,Nikolaos Athanasiou,,,athanasiou-nikolaos,N. Athanasiou,D,3,177,212,M,1100204,EUR,984614400,M,3,3,False,47.0,40.0,9.0,7.0,0.0,30.0,34.0,10.0,13.0,2.0,8.0,,,,,,90.0,71.0,7.6,8.0,0.098621,,0,,0.29,0.1,-0.06,,,9.0,4.0,7.0,,,3.0,2.0,3.0,,,1.0,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14131944,home,Rio Ave,André Luiz,André Luiz,,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,11,11,False,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,2.0,2.0,,,,,,71.0,29.0,6.8,9.0,0.00500135,,1,,-0.04,0.17,-0.01,,,5.0,4.0,,,,1.0,,2.0,,,,4.0,2.0,,0.1704,-0.37,,,,1.0,,,,,,,,,,,,
14131944,home,Rio Ave,Clayton,,,clayton,Clayton,F,19,184,1602,M,1017023,EUR,916012800,F,9,9,False,14.0,9.0,,,0.0,8.0,8.0,1.0,6.0,8.0,2.0,,5.0,,,,82.0,28.0,6.4,11.0,0.00208569,,0,,-0.18,0.1,-0.04,,1.0,6.0,1.0,,1.0,1.0,1.0,,3.0,2.0,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,
