match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_outfielderBlock,captain,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_ownGoals,stat_bigChanceMissed
10411457,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,1,1,False,31.0,17.0,20.0,6.0,13.0,14.0,4.0,17.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,90.0,39.0,6.8,14.0,0.0,0.0,0.00190245,0,-0.5435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411457,home,Udinese,Rodrigo Becão,rodrigo-becao,R. Becão,D,50,191,1878,M,880207,EUR,822009600,D,50,50,False,45.0,33.0,13.0,7.0,24.0,29.0,9.0,17.0,9.0,2.0,7.0,1.0,,,,90.0,76.0,7.1,20.0,0.2886,0.0,0.00572282,1,,,,1.0,3.0,3.0,6.0,1.0,1.0,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10411457,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192,2511,M,886930,EUR,918172800,D,29,29,False,25.0,19.0,6.0,4.0,13.0,16.0,6.0,9.0,5.0,10.0,1.0,,,,,90.0,40.0,7.7,7.0,0.0654,0.5854,0.00322572,1,,,,,2.0,3.0,4.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411457,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184,3369,M,913401,EUR,961804800,D,18,18,False,32.0,28.0,9.0,6.0,20.0,21.0,8.0,11.0,2.0,3.0,6.0,,,,,90.0,45.0,7.1,5.0,0.0,0.0,0.00228199,0,,,,,1.0,1.0,3.0,,,1.0,1.0,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
10411457,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184,1199,M,122701,EUR,663206400,M,37,37,False,23.0,18.0,,,12.0,13.0,6.0,13.0,2.0,,4.0,2.0,,,,69.0,39.0,6.8,12.0,0.055,0.0,0.00732662,1,,,,3.0,,,2.0,1.0,,,,1.0,1.0,,,,,,True,1.0,,,,,,,,,,,,,,
10411457,home,Udinese,Sandi Lovrić,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,4,4,False,20.0,16.0,1.0,,6.0,7.0,10.0,13.0,2.0,,6.0,,,,,79.0,34.0,7.0,8.0,0.2295,0.5776,0.0311549,4,,,,,1.0,,4.0,2.0,,1.0,,2.0,,1.0,2.0,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,
10411457,home,Udinese,Walace,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,37.0,26.0,3.0,,18.0,23.0,8.0,14.0,3.0,2.0,8.0,2.0,,,,90.0,55.0,6.1,16.0,0.0954,0.0838,0.00651785,3,,,,,2.0,,8.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
10411457,home,Udinese,Jean-Victor Makengo,jean-victor-makengo,J. Makengo,M,17,177,232,M,802138,EUR,897609600,M,6,6,False,20.0,18.0,1.0,1.0,4.0,4.0,14.0,16.0,6.0,,2.0,,,,,61.0,31.0,7.2,4.0,0.0,0.0,0.0146324,0,,,,,,,1.0,,,4.0,3.0,2.0,1.0,1.0,,,3.0,,,,2.0,2.0,,,,,,,,,,,,
10411457,home,Udinese,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5941,M,983572,EUR,1038441600,M,13,13,False,20.0,19.0,1.0,1.0,4.0,4.0,15.0,17.0,5.0,,7.0,2.0,,,,80.0,36.0,6.9,6.0,0.0,0.0,0.0175915,0,,,,1.0,,,3.0,,,2.0,1.0,3.0,2.0,,,,2.0,,,,2.0,1.0,2.0,udogiethree,,,,,,,,,,
10411457,home,Udinese,Beto,beto,Beto,F,9,194,3398,M,987489,EUR,886204800,F,9,9,False,10.0,2.0,,,,2.0,2.0,8.0,7.0,,,1.0,,,,69.0,21.0,6.7,12.0,0.0,0.0,0.0163105,0,,,,,3.0,3.0,4.0,1.0,,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
