match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_goals,stat_goalAssist,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated
10583846,home,Abha,Devis Epassy,,,devis-epassy,D. Epassy,G,1,187.0,1481,M,362758,EUR,728611200,G,16,16,False,26.0,18.0,12.0,4.0,15.0,18.0,3.0,8.0,1.0,1.0,9.0,1.0,2.0,3.0,1.0,90.0,39.0,6.8,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10583846,home,Abha,Fahad Bin Jumayah,,,fahad-bin-jumayah,F. B. Jumayah,D,14,170.0,22,M,893514,EUR,800064000,D,14,14,False,29.0,23.0,4.0,1.0,17.0,20.0,7.0,12.0,11.0,4.0,2.0,2.0,,,,90.0,59.0,7.1,12.0,0,3.0,1.0,1.0,1.0,5.0,3.0,8.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,
10583846,home,Abha,Saad Natiq,,,saad-natiq,S. Natiq,D,,188.0,510,M,836756,EUR,764035200,D,4,4,False,54.0,45.0,11.0,6.0,41.0,43.0,4.0,11.0,1.0,4.0,4.0,,,,,90.0,62.0,6.6,9.0,1,,,4.0,1.0,5.0,,,,,1.0,,1.0,,,,,,,,,,,,,
10583846,home,Abha,Abdullah Al-Zoari,,,abdullah-al-zoari,A. Z. Aldossary,D,,178.0,7,M,118137,EUR,555811200,D,3,3,False,37.0,34.0,3.0,1.0,26.0,29.0,8.0,8.0,2.0,4.0,2.0,1.0,,,,90.0,48.0,7.0,3.0,0,,,1.0,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,
10583846,home,Abha,Saeed Al Hamsal,,,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,False,19.0,13.0,5.0,2.0,7.0,8.0,6.0,11.0,4.0,2.0,5.0,,,,,54.0,41.0,6.7,13.0,1,,,,,2.0,,2.0,2.0,4.0,,,,,,1.0,3.0,2.0,1.0,,,,,,,
10583846,home,Abha,Hassan Al Qaid,,,hassan-al-qaid,H. A. Qaid,M,14,,3,M,871532,EUR,631152000,M,27,27,False,10.0,7.0,1.0,,2.0,3.0,5.0,7.0,3.0,,2.0,2.0,,,,62.0,17.0,6.5,7.0,0,,,,1.0,2.0,1.0,,,3.0,1.0,,,,,,,,,1.0,,,,,,
10583846,home,Abha,Riyadh Sharahili,,,riyadh-sharahili,R. Sharahili,M,26,185.0,28,M,818624,EUR,735955200,M,89,89,False,43.0,36.0,6.0,4.0,25.0,28.0,11.0,15.0,4.0,,4.0,2.0,,,,90.0,52.0,6.9,7.0,1,,,3.0,1.0,5.0,,1.0,1.0,,2.0,,1.0,,2.0,,,,,,True,,,,,
10583846,home,Abha,Uroš Matić,,,uros-matic,U. Matić,M,,185.0,66,M,63273,EUR,643420800,M,8,8,False,30.0,27.0,5.0,4.0,9.0,10.0,18.0,21.0,7.0,2.0,4.0,,,,,90.0,53.0,7.7,8.0,2,1.0,,,,2.0,,2.0,1.0,1.0,,,1.0,,4.0,1.0,6.0,5.0,1.0,,,,,,,
10583846,home,Abha,Saleh Al-Amri,,,saleh-al-amri,S. Al-Amri,M,93,176.0,147,M,791578,EUR,750556800,M,7,7,False,38.0,27.0,3.0,,8.0,10.0,19.0,30.0,8.0,,7.0,1.0,,,,90.0,67.0,7.3,21.0,1,2.0,,,,7.0,2.0,4.0,3.0,3.0,2.0,1.0,,,2.0,1.0,5.0,3.0,1.0,1.0,,1.0,,,,
10583846,home,Abha,Saad Bguir,Saad,Bguir,bguir-saad,S. Bguir,M,18,178.0,637,M,563030,EUR,764294400,F,10,10,False,25.0,18.0,1.0,1.0,6.0,7.0,14.0,28.0,,,3.0,,,,,84.0,36.0,7.2,15.0,0,10.0,2.0,1.0,,2.0,1.0,,,,,3.0,,1.0,,,,,,,,,,,,
