match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_aerialLost,stat_wonContest,captain,stat_wonTackle,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_goals
11352574,home,Sheffield United,Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,333,M,187861,EUR,663811200,G,18,18,False,25.0,12.0,20.0,7.0,0.0,6.0,11.0,6.0,14.0,2.0,6.0,2.0,5.0,6.0,1.0,1.0,90.0,38.0,7.4,14.0,0.00440616,1.0,0,-0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352574,home,Sheffield United,Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,805,M,929132,EUR,964656000,D,20,20,False,16.0,12.0,3.0,1.0,0.0,6.0,8.0,6.0,8.0,2.0,2.0,,,,,,90.0,30.0,6.1,6.0,0.0063149,,0,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11352574,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,20.0,16.0,6.0,2.0,0.0,11.0,12.0,6.0,9.0,4.0,3.0,,,,,,90.0,35.0,6.4,6.0,0.0121671,,0,,1.0,2.0,5.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
11352574,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,817,M,822459,EUR,902880000,D,5,5,False,27.0,24.0,3.0,2.0,0.0,17.0,17.0,7.0,10.0,7.0,,,,,,,90.0,46.0,6.7,3.0,0.00238936,,0,,,2.0,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11352574,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,148,M,98454,EUR,746841600,D,19,19,False,27.0,19.0,5.0,1.0,0.0,13.0,14.0,6.0,13.0,2.0,2.0,,,,,,90.0,47.0,6.5,17.0,0.00375831,,0,,4.0,4.0,7.0,,,2.0,,1.0,,,,1.0,1.0,3.0,2.0,,True,2.0,1.0,,,,,,,,,,
11352574,home,Sheffield United,Max Lowe,,,max-lowe,M. Lowe,D,3,175,111,M,355154,EUR,863308800,D,3,3,False,16.0,10.0,,,0.0,3.0,5.0,7.0,13.0,,2.0,,,,,,69.0,24.0,6.3,9.0,0.0195175,,0,,1.0,3.0,3.0,,1.0,,,1.0,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,
11352574,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,18.0,12.0,4.0,2.0,0.0,4.0,4.0,9.0,15.0,,1.0,,,,,,90.0,28.0,6.7,9.0,0.219897,2.0,2,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.1208,0.3007,,,,,
11352574,home,Sheffield United,Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,217,M,1191153,EUR,1073520000,M,24,24,False,13.0,10.0,1.0,,0.0,6.0,7.0,4.0,6.0,1.0,2.0,,,,,,62.0,22.0,6.6,7.0,0.0022349,,0,,,1.0,3.0,,,1.0,1.0,,,,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,
11352574,home,Sheffield United,Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,72,M,282665,EUR,776044800,M,23,23,False,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,1.0,,,,,,5.0,2.0,,,0.0102084,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352574,home,Sheffield United,Cameron Archer,,,cameron-archer,C. Archer,F,19,181,984,M,993451,EUR,1007856000,F,10,10,False,5.0,5.0,,,0.0,3.0,3.0,2.0,2.0,1.0,,,,,,,62.0,14.0,6.4,4.0,0.0125593,1.0,1,,1.0,5.0,2.0,,,,1.0,,4.0,,,3.0,,,2.0,,,,1.0,,,1.0,0.2854,,,,,,
