match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_outfielderBlock,stat_aerialLost,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_wasFouled,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12450241,home,AS Monaco,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191.0,1544,M,849114,EUR,942710400,G,1,1,False,14.0,12.0,3.0,1.0,0.0,11.0,11.0,1.0,3.0,1.0,1.0,2.0,13.0,2.0,2.0,5.0,2.0,90.0,32.0,8.2,3.0,0.00028124,0,0.4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450241,home,AS Monaco,Vanderson,vanderson,Vanderson,D,2,173.0,6111,M,1090694,EUR,993081600,D,2,2,False,47.0,40.0,4.0,1.0,0.0,6.0,7.0,36.0,44.0,1.0,3.0,5.0,7.0,,,,,74.0,62.0,7.7,11.0,0.600881,0,,Vanderson,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12450241,home,AS Monaco,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186.0,1925,M,281277,EUR,843264000,D,5,5,False,69.0,64.0,,,0.0,26.0,28.0,38.0,41.0,3.0,4.0,3.0,8.0,,,,,90.0,79.0,7.6,5.0,0.0228391,0,,,,,,,,,,,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
12450241,home,AS Monaco,Christian Mawissa,christian-mawissa,C. Mawissa,D,13,184.0,895,M,1407848,EUR,1113782400,D,13,13,False,62.0,58.0,1.0,1.0,0.0,36.0,38.0,22.0,24.0,1.0,3.0,2.0,7.0,,,,,90.0,74.0,7.5,6.0,0.014531,0,,,,,,4.0,1.0,,,,5.0,2.0,2.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,
12450241,home,AS Monaco,Caio Henrique,caio-henrique,C. Henrique,D,12,178.0,3679,M,845170,EUR,870307200,D,12,12,False,67.0,52.0,8.0,2.0,1.0,15.0,18.0,44.0,62.0,1.0,1.0,4.0,6.0,,,,,90.0,101.0,9.0,27.0,1.1792,0,,,,13.0,7.0,6.0,2.0,,,2.0,1.0,,,2.0,8.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
12450241,home,AS Monaco,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189.0,2821,M,868958,EUR,828748800,M,8,8,False,67.0,58.0,10.0,7.0,0.0,18.0,18.0,40.0,49.0,3.0,5.0,,2.0,,,,,88.0,75.0,7.9,9.0,0.0804379,3,,,,,,2.0,1.0,,,,2.0,2.0,2.0,,2.0,,1.0,,,2.0,1.0,0.1074,0.0144,,,,,,,,,,
12450241,home,AS Monaco,Denis Zakaria,denis-zakaria,D. Zakaria,M,6,191.0,3221,M,770677,EUR,848448000,M,6,6,False,79.0,72.0,3.0,2.0,0.0,22.0,23.0,50.0,56.0,3.0,4.0,1.0,7.0,,,,,90.0,90.0,7.1,10.0,0.0746197,2,,,,,,2.0,,1.0,1.0,,,,,2.0,,,,1.0,1.0,,,0.0498,,True,2.0,,,,,,,,
12450241,home,AS Monaco,Maghnes Akliouche,maghnes-akliouche,M. Akliouche,M,11,183.0,5917,M,1130939,EUR,1014595200,M,11,11,False,68.0,61.0,2.0,2.0,1.0,12.0,12.0,49.0,57.0,,5.0,,5.0,,,,,90.0,91.0,8.6,14.0,0.516893,3,,,,1.0,,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,1.0,,3.0,1.0,2.0,0.1141,0.6337,,,1.0,,,,,,,
12450241,home,AS Monaco,Breel Embolo,breel-embolo,B. Embolo,F,7,185.0,4494,M,352296,EUR,855878400,M,36,36,False,20.0,14.0,,,0.0,2.0,2.0,12.0,18.0,3.0,11.0,1.0,4.0,,,,,74.0,37.0,7.6,8.0,0.215556,4,,,,,,2.0,,2.0,,,,4.0,2.0,,1.0,,,,,1.0,2.0,0.3745,0.3675,,1.0,4.0,breelembolo97,1.0,1.0,,,,
12450241,home,AS Monaco,Takumi Minamino,takumi-minamino,T. Minamino,M,18,174.0,8866,M,155818,EUR,790214400,M,18,18,False,28.0,18.0,,,0.0,2.0,4.0,16.0,24.0,,1.0,2.0,3.0,,,,,74.0,42.0,7.0,14.0,0.191125,2,,,,,,6.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,0.1981,0.3112,,,,Minamino,,,,,,
