match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_keyPass,stat_goals,stat_ownGoals,stat_totalOffside,stat_goalAssist,stat_totalKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork
10665963,home,Al Adalah,Milan Mijatović,,,milan-mijatovic,M. Mijatović,G,1,192.0,102,M,55655,EUR,554256000.0,G,1,1,False,30.0,21.0,13.0,4.0,20.0,24.0,1.0,6.0,1.0,8.0,2.0,2.0,90.0,37.0,6.6,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Murtadh Al-Barrih,Murtadh,Al-Barrih,murtadh-al-barrih,M. Al-Barrih,D,5,180.0,1,M,847232,EUR,647568000.0,D,5,5,False,38.0,25.0,15.0,5.0,16.0,17.0,9.0,21.0,2.0,6.0,,,70.0,44.0,6.7,13.0,1,True,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Edson,,,edson,Edson,D,3,183.0,68,M,578420,EUR,678326400.0,D,19,19,False,35.0,32.0,3.0,1.0,32.0,33.0,,2.0,8.0,8.0,,,90.0,57.0,7.3,6.0,2,,3.0,2.0,9.0,,,,1.0,,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,
10665963,home,Al Adalah,Ali Al-Salem,,,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800.0,D,49,49,False,40.0,29.0,8.0,3.0,21.0,26.0,8.0,15.0,3.0,11.0,,,90.0,48.0,6.2,12.0,0,,,2.0,,2.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,
10665963,home,Al Adalah,Abdulaziz Aljamman,Abdulaziz,Aljamman,abdulaziz-aljamman,A. Aljamman,D,29,176.0,2,M,880822,EUR,823132800.0,M,11,11,False,28.0,26.0,2.0,1.0,15.0,15.0,12.0,19.0,1.0,6.0,,,75.0,48.0,6.7,13.0,0,,2.0,4.0,6.0,,,,,1.0,,,,,,,1.0,,6.0,1.0,8.0,4.0,1.0,,,,,,,
10665963,home,Al Adalah,David Tijanič,,,david-tijanic,D. Tijanič,F,43,174.0,389,M,827369,EUR,869011200.0,M,43,43,False,48.0,39.0,7.0,5.0,20.0,22.0,19.0,27.0,1.0,10.0,,,90.0,59.0,7.7,12.0,1,,1.0,3.0,5.0,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,,4.0,2.0,,1.0,,,,,,
10665963,home,Al Adalah,Abdularahman Al Hurib,,,abdularahman-al-hurib,A. A. Hurib,M,4,174.0,1,M,818876,EUR,697248000.0,M,14,14,False,52.0,40.0,12.0,3.0,32.0,34.0,8.0,18.0,1.0,13.0,,,90.0,62.0,6.8,12.0,0,,1.0,7.0,7.0,2.0,,2.0,,3.0,2.0,,,,4.0,2.0,,2.0,,,,,,,,,,,,
10665963,home,Al Adalah,Mohammed Al Oufi,Mohammed Al Oufi,,mohammed-al-oufi,M. A. Oufi,D,23,168.0,14,M,1050350,EUR,1028764800.0,M,23,23,False,31.0,23.0,4.0,2.0,10.0,12.0,13.0,22.0,1.0,6.0,,,90.0,59.0,6.6,16.0,1,,,8.0,9.0,2.0,,,1.0,2.0,1.0,,1.0,,6.0,5.0,2.0,3.0,3.0,,3.0,,,,1.0,1.0,,,,
10665963,home,Al Adalah,Anderson Plata,,,anderson-plata,A. Plata,M,7,172.0,58,M,590374,EUR,658022400.0,F,71,71,False,18.0,13.0,1.0,1.0,4.0,4.0,9.0,16.0,,2.0,,,90.0,41.0,6.3,20.0,0,,,16.0,6.0,2.0,,,,5.0,,1.0,,,1.0,,2.0,,2.0,,13.0,5.0,1.0,,,,,,,
10665963,home,Al Adalah,Walead Alshangeati,,,walead-alshangeati,W. Alshangeati,F,11,178.0,6,M,893190,EUR,758073600.0,F,21,21,False,16.0,12.0,,,4.0,6.0,8.0,10.0,1.0,1.0,,,90.0,26.0,6.8,6.0,1,,2.0,9.0,4.0,,1.0,,1.0,1.0,8.0,,,,,,2.0,2.0,,,,,1.0,,,,1.0,,,
10665963,home,Al Adalah,Christofer Gonzáles,,,christofer-gonzales,C. Gonzáles,M,10,176.0,434,M,345779,EUR,718848000.0,F,17,17,False,32.0,30.0,2.0,2.0,9.0,10.0,24.0,28.0,,6.0,,,90.0,60.0,7.5,12.0,3,,,8.0,10.0,1.0,,,,,3.0,4.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,3.0,,,3.0,,,,,,,
10665963,home,Al Adalah,Hassan Al-Habib,,,hassan-al-habib,H. Al-Habib,M,15,183.0,6,M,847228,EUR,779500800.0,M,24,24,True,16.0,12.0,4.0,1.0,7.0,8.0,5.0,8.0,3.0,4.0,,,20.0,19.0,6.4,4.0,0,,1.0,3.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,
10665963,home,Al Adalah,Arif Al-Haydar,Arif Al-Haydar,,arif-al-haydar,A. Al-Haydar,D,25,172.0,6,M,1084262,EUR,866764800.0,D,7,7,True,5.0,3.0,1.0,1.0,,1.0,3.0,4.0,,2.0,,,15.0,15.0,6.8,4.0,0,,,3.0,4.0,,,,1.0,,1.0,1.0,,,2.0,2.0,,,,,3.0,2.0,1.0,,,,,,,
10665963,home,Al Adalah,Ali Al-Amri,,,ali-al-amri,A. Al-Amri,G,22,178.0,1,M,847381,EUR,777427200.0,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Mohammed Abo Abd,Mohammed Abo Abd,,mohammed-abo-abd,M. A. Abd,D,21,163.0,15,M,1398850,EUR,1009324800.0,F,20,20,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Nawaf Al-Sabhi,Nawaf,Al-Sabhi,nawaf-al-sabhi,N. Al-Sabhi,D,55,182.0,8,M,818592,EUR,550195200.0,F,55,55,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Elyas Al Bladi,Elyas Al Bladi,,elyas-al-bladi,E. A. Bladi,M,18,173.0,1,M,1398852,EUR,1025136000.0,M,18,18,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Ahmed Al-Sultan,,,ahmed-al-sultan,A. Al-Sultan,M,,166.0,1,M,818610,EUR,743299200.0,M,6,6,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Hussain Alnattar,Hussain Alnattar,,hussain-alnattar,H. Alnattar,M,,169.0,34,M,1085122,EUR,952992000.0,M,96,96,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,home,Al Adalah,Khaled Al-Hamdhi,Khaled Al-Hamdhi,,khaled-al-hamdhi,K. Al-Hamdhi,M,16,173.0,3,M,1914878,EUR,682387200.0,M,16,16,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10665963,away,Al Batin,Martín Campaña,,,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200.0,G,25,25,False,24.0,15.0,17.0,8.0,11.0,13.0,4.0,11.0,,6.0,2.0,3.0,90.0,30.0,6.6,9.0,0,True,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
10665963,away,Al Batin,Bader Alhwidy Alshammary,Bader Alhwidy Alshammary,,bader-alhwidy-alshammary,B. A. Alshammary,D,29,,2,M,1085356,EUR,,D,29,29,False,28.0,23.0,1.0,,12.0,13.0,11.0,17.0,2.0,3.0,,,75.0,47.0,6.4,12.0,0,,2.0,5.0,7.0,,,,,2.0,,2.0,,,1.0,,1.0,2.0,2.0,,3.0,2.0,,,,,,,,
