match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_aerialLost,stat_totalCross,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,stat_expectedGoals,stat_keyPass,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,player_sofascoreId,stat_lastManTackle,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded,stat_bigChanceCreated
11369901,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,22.0,18.0,11.0,7.0,17.0,19.0,1.0,3.0,1.0,2.0,2.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,90.0,36.0,7.5,4.0,0.00012863,0,-0.6754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369901,home,KAA Gent,Ismael Kandouss,,,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,5,5,False,64.0,50.0,6.0,1.0,31.0,33.0,19.0,31.0,6.0,14.0,10.0,5.0,1.0,,,,,,,90.0,88.0,7.4,14.0,0.0118053,0,,3.0,3.0,2.0,2.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
11369901,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,68.0,58.0,20.0,12.0,44.0,47.0,14.0,21.0,2.0,4.0,7.0,12.0,,,,,,,,90.0,80.0,7.0,11.0,0.00335105,0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11369901,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,68.0,56.0,15.0,7.0,40.0,45.0,16.0,24.0,2.0,8.0,4.0,4.0,2.0,,,,,,,90.0,88.0,6.9,16.0,0.0275119,0,,4.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11369901,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,49.0,38.0,4.0,2.0,18.0,22.0,20.0,28.0,3.0,13.0,4.0,8.0,2.0,,,,,,,90.0,86.0,7.7,21.0,0.065505,1,,8.0,1.0,6.0,3.0,,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1638,1.0,,,,,,,,,,,,
11369901,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,64.0,50.0,6.0,,30.0,32.0,22.0,40.0,1.0,6.0,2.0,9.0,4.0,,,,,,,90.0,89.0,7.0,22.0,0.250298,2,,6.0,2.0,2.0,,,1.0,1.0,1.0,8.0,2.0,,1.0,,,,,0.059,3.0,True,2.0,1.0,1.0,1.0,,,,,,,
11369901,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,55.0,38.0,12.0,7.0,17.0,20.0,21.0,35.0,,5.0,5.0,10.0,,,,,,,,90.0,73.0,7.4,20.0,0.0284081,2,,3.0,2.0,,,,5.0,4.0,1.0,,1.0,,,,,,,0.849,,,,1.0,1.0,,1.0,,,,,,
11369901,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6184,M,1195784,EUR,1112227200,M,19,19,False,23.0,19.0,2.0,2.0,11.0,12.0,8.0,11.0,,5.0,1.0,4.0,1.0,,,,,,,83.0,50.0,6.8,11.0,0.0269019,2,,6.0,,4.0,1.0,,3.0,3.0,,,,3.0,2.0,1.0,,,,0.0893,1.0,,,1.0,1.0,,,,,,,,
11369901,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,1075,M,1019125,EUR,958435200,F,6,6,False,21.0,13.0,5.0,2.0,6.0,8.0,7.0,13.0,,1.0,,6.0,,,,,,,,79.0,26.0,6.5,10.0,0.00681544,0,,5.0,1.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
11369901,home,KAA Gent,Tarik Tissoudali,,,tarik-tissoudali,T. Tissoudali,F,9,182,4096,M,584472,EUR,733708800,F,10,10,False,31.0,21.0,1.0,1.0,8.0,8.0,13.0,24.0,1.0,5.0,1.0,4.0,,,,,,,,80.0,47.0,7.2,17.0,0.0585118,2,,1.0,,4.0,4.0,,,,,1.0,,4.0,1.0,,,1.0,,0.0986,1.0,,,,1.0,2.0,,tissoudali14,,,,,
