match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_challengeLost,stat_accurateCross,stat_goals,stat_errorLeadToAGoal,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
12764079,away,FC Twente,Anass Salah-Eddine,,,anass-salah-eddine,A. Salah-Eddine,D,2,179,6700,M,,961684,EUR,1011312000,D,34,34,False,35.0,27.0,5.0,2.0,0.0,18.0,23.0,13.0,7.0,,,,90.0,58.0,6.6,16.0,0.00661891,1,,9.0,1.0,6.0,4.0,,,1.0,,4.0,3.0,1.0,,,1.0,,4.0,,,1.0,1.0,,,0.0497,,,1.0,,,,,,,,,
12764079,away,FC Twente,Youri Regeer,,,youri-regeer,Y. Regeer,M,6,177,744,M,,996940,EUR,1061164800,M,8,8,False,45.0,36.0,3.0,2.0,0.0,21.0,27.0,18.0,5.0,,,,83.0,61.0,6.7,14.0,0.00682967,0,,15.0,,4.0,3.0,2.0,,4.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,,,,
12764079,away,FC Twente,Michel Vlap,,,michel-vlap,M. Vlap,M,14,189,422,M,,798181,EUR,865209600,M,18,18,False,45.0,41.0,1.0,1.0,0.0,22.0,26.0,26.0,1.0,,,,61.0,62.0,6.7,13.0,0.119845,0,,21.0,7.0,5.0,,,,,,,,,,1.0,,,4.0,,,,2.0,2.0,,,,,1.0,2.0,,,,,,,,
12764079,away,FC Twente,Ricky van Wolfswinkel,,,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,790,M,,35193,EUR,601862400,M,9,9,False,19.0,13.0,2.0,,0.0,3.0,6.0,13.0,4.0,,,,90.0,34.0,6.3,8.0,0.0107198,1,,10.0,,14.0,6.0,,,,,2.0,1.0,2.0,1.0,1.0,5.0,3.0,,,,1.0,3.0,,3.0,0.0322,,,6.0,,,,True,,,,,
12764079,away,FC Twente,Sem Steijn,,,sem-steijn,S. Steijn,M,14,173,3409,M,,944467,EUR,1005523200,M,14,14,False,17.0,15.0,2.0,1.0,0.0,8.0,8.0,10.0,2.0,,,,60.0,24.0,6.9,4.0,0.00436096,1,,7.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,2.0,,0.0515,0.4214,,,,,,,,,,,
12764079,away,FC Twente,Mitchell van Bergen,,,mitchell-van-bergen,M. v. Bergen,F,7,170,247,M,,827662,EUR,935712000,M,7,7,False,10.0,8.0,1.0,1.0,0.0,3.0,4.0,12.0,1.0,,,,74.0,21.0,6.7,8.0,0.0249495,0,,6.0,6.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
12764079,away,FC Twente,Sam Lammers,,,sam-lammers,S. Lammers,F,10,191,840,M,,804901,EUR,862358400,F,10,10,False,23.0,13.0,1.0,,0.0,5.0,9.0,14.0,6.0,,,,83.0,33.0,7.3,13.0,0.0362816,2,,8.0,,3.0,2.0,,,1.0,,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,0.2877,0.5752,,,,1.0,,,,,,1.0,1.0
12764079,away,FC Twente,Daan Rots,,,daan-rots,D. Rots,M,11,179,509,M,,1048430,EUR,996019200,F,11,11,True,9.0,5.0,2.0,,0.0,2.0,4.0,5.0,,,,,30.0,16.0,6.3,5.0,0.0304615,0,,3.0,,5.0,1.0,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,
12764079,away,FC Twente,Mathias Kjølø,,,mathias-kjolo,M. Kjølø,M,4,174,168,M,,966546,EUR,993600000,M,4,4,True,15.0,13.0,,,0.0,8.0,9.0,6.0,4.0,,,,29.0,18.0,6.6,2.0,0.00093327,0,,5.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
12764079,away,FC Twente,Sayfallah Ltaief,,,sayfallah-ltaief,S. Ltaief,M,47,180,1624,M,,1032926,EUR,956361600,M,30,30,True,3.0,1.0,1.0,,0.0,,1.0,2.0,1.0,,,,16.0,6.0,6.4,3.0,0.00467459,0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Gustaf Lagerbielke,,,gustaf-lagerbielke,G. Lagerbielke,D,14,193,475,M,,965263,EUR,955324800,D,3,3,True,1.0,,1.0,,0.0,,,1.0,,,,,12.0,2.0,6.4,1.0,,0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
12764079,away,FC Twente,Gijs Besselink,,,besselink-gijs,G. Besselink,M,6,180,105,M,,1440801,EUR,1087344000,M,41,41,True,,,,,0.0,,,,,,,,12.0,4.0,6.7,,,0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,
12764079,away,FC Twente,Issam El Maach,,,issam-el-maach,I. E. Maach,G,16,187,444,M,,904775,EUR,949363200,G,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Przemysław Tytoń,,,przemyslaw-tyton,P. Tytoń,G,22,195,453,M,,27691,EUR,536716800,G,22,22,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Bas Kuipers,,,bas-kuipers,B. Kuipers,D,25,180,146,M,,339879,EUR,777081600,D,5,5,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Alec Van Hoorenbeeck,,,alec-van-hoorenbeeck,A. V. Hoorenbeeck,D,18,187,119,M,,974203,EUR,914976000,D,17,17,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Julien Mesbahi,Juliën Mesbahi,,mesbahi-julien,J. Mesbahi,D,24,181,461,M,,1470014,EUR,1138665600,D,24,24,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Mats Rots,,,mats-rots,M. Rots,D,39,185,370,M,,1387012,EUR,1142035200,D,39,39,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764079,away,FC Twente,Carel Eiting,,,carel-eiting,C. Eiting,M,6,178,347,M,,803025,EUR,887155200,M,6,6,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
