match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalContest,stat_shotOffTarget,stat_wasFouled,stat_totalOffside,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_hitWoodwork,stat_goals,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
11407381,home,Salernitana,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,32.0,21.0,19.0,8.0,17.0,19.0,4.0,13.0,5.0,2.0,2.0,2.0,2.0,90.0,38.0,6.7,11.0,0.0,0.0,0.00078998,0,-0.4726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407381,home,Salernitana,Matteo Lovato,,,lovato-matteo,M. Lovato,D,20,188,274,M,,982601,EUR,950486400,D,66,66,False,27.0,22.0,4.0,1.0,9.0,9.0,14.0,19.0,6.0,,,,,85.0,45.0,6.9,8.0,0.0,0.0,0.170862,0,,1.0,1.0,1.0,4.0,3.0,2.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
11407381,home,Salernitana,Norbert Gyömbér,,,norbert-gyomber,N. Gyömbér,D,23,189,301,M,,224456,EUR,710121600,D,23,23,False,29.0,24.0,2.0,,19.0,20.0,5.0,9.0,9.0,,,,,90.0,45.0,7.0,7.0,0.0955,0.0,0.00244022,1,,,,6.0,8.0,6.0,,4.0,1.0,3.0,2.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
11407381,home,Salernitana,Lorenzo Pirola,,,lorenzo-pirola,L. Pirola,D,5,185,996,M,,965014,EUR,1014163200,D,98,98,False,48.0,41.0,5.0,1.0,29.0,32.0,12.0,16.0,5.0,,,,,90.0,58.0,6.4,9.0,0.1116,0.0,0.00327594,1,,,,4.0,7.0,4.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
11407381,home,Salernitana,Pasquale Mazzocchi,,,pasquale-mazzocchi,P. Mazzocchi,M,30,183,1368,M,,377512,EUR,806803200,M,30,30,False,28.0,21.0,,,6.0,6.0,18.0,27.0,5.0,,,,,67.0,42.0,6.9,12.0,0.0462,0.0,0.0699368,1,,5.0,3.0,,3.0,,,,1.0,,,1.0,2.0,3.0,,1.0,,,,1.0,,,,,,,,,,,
11407381,home,Salernitana,Agustín Martegani,,,agustin-martegani,A. Martegani,M,19,183,565,M,,984926,EUR,958780800,M,7,7,False,34.0,29.0,1.0,1.0,7.0,7.0,22.0,27.0,7.0,,,,,85.0,45.0,7.0,9.0,0.0176,0.0,0.0458666,1,,,,1.0,2.0,4.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,
11407381,home,Salernitana,Giulio Maggiore,,,giulio-maggiore,G. Maggiore,M,18,184,222,M,,848185,EUR,889660800,M,25,25,False,28.0,24.0,3.0,1.0,10.0,10.0,14.0,19.0,3.0,,,,,78.0,43.0,6.8,11.0,0.1098,0.2826,0.0148103,2,,1.0,,1.0,7.0,5.0,2.0,2.0,,1.0,,3.0,2.0,1.0,2.0,1.0,,,1.0,1.0,2.0,,,1.0,,,,,,,
11407381,home,Salernitana,Domagoj Bradarić,,,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,,897594,EUR,944784000,M,3,3,False,36.0,30.0,3.0,1.0,15.0,16.0,16.0,23.0,4.0,,,,,90.0,62.0,6.9,14.0,0.0,0.0,0.0339112,0,,3.0,1.0,,2.0,6.0,,,2.0,1.0,,1.0,,1.0,2.0,,,,2.0,,3.0,,,,,,,,,,
11407381,home,Salernitana,Grigoris Kastanos,,,grigoris-kastanos,G. Kastanos,M,28,179,526,M,,791566,EUR,886118400,F,20,20,False,33.0,23.0,5.0,3.0,5.0,6.0,18.0,29.0,3.0,,,,,90.0,56.0,7.3,19.0,0.2434,0.0,0.105127,3,,2.0,,1.0,4.0,5.0,,,1.0,1.0,,4.0,2.0,2.0,2.0,1.0,1.0,,3.0,2.0,,,2.0,,,,,,,,
11407381,home,Salernitana,Antonio Candreva,,,antonio-candreva,A. Candreva,F,87,180,936,M,,27982,EUR,541468800,F,87,87,False,42.0,33.0,5.0,3.0,6.0,7.0,28.0,44.0,4.0,,,,,90.0,63.0,7.6,19.0,0.365,0.1721,0.0737855,6,,9.0,1.0,,3.0,,1.0,,,,,,,2.0,,,2.0,,2.0,2.0,,1.0,,2.0,True,,,,,,
