match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_totalTackle,stat_wasFouled,player_sofascoreId,stat_wonTackle,stat_keyPass,captain,stat_blockedScoringAttempt,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_penaltyConceded,stat_hitWoodwork
10388261,home,Eintracht Frankfurt,Kevin Trapp,kevin-trapp,K. Trapp,G,35,189,1775,M,38440,EUR,647395200,G,1,1,False,21.0,19.0,3.0,1.0,18.0,18.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,24.0,6.5,2.0,0.0,0.0,0.00153993,0,-0.0996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Kristijan Jakić,kristijan-jakic,K. Jakić,M,17,181,2258,M,796206,EUR,863568000,D,6,6,False,82.0,65.0,7.0,3.0,40.0,45.0,25.0,39.0,5.0,10.0,,,,,90.0,104.0,6.9,23.0,0.0337,0.0251,0.0301935,1,,,,2.0,5.0,10.0,9.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Makoto Hasebe,makoto-hasebe,M. Hasebe,D,,180,533,M,24397,EUR,443232000,D,20,20,False,76.0,69.0,13.0,10.0,33.0,34.0,36.0,42.0,2.0,5.0,,,,,90.0,87.0,6.8,8.0,0.0,0.0,0.0471332,0,,,,,4.0,1.0,7.0,3.0,1.0,,,,3.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9201,M,848287,EUR,935107200,D,2,2,False,70.0,65.0,4.0,4.0,40.0,43.0,25.0,30.0,7.0,9.0,,,,,90.0,91.0,7.2,12.0,0.0,0.0,0.0361606,0,,,,3.0,1.0,1.0,2.0,4.0,,2.0,1.0,,,2.0,,,2.0,,evanndicka,2.0,1.0,,,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Aurélio Buta,aurelio-buta,A. Buta,D,17,169,495,M,357752,EUR,855532800,M,24,24,False,54.0,45.0,2.0,1.0,19.0,21.0,26.0,38.0,4.0,4.0,,,,,90.0,89.0,7.1,19.0,0.0,0.0,0.0964801,0,,,,5.0,3.0,5.0,7.0,12.0,,1.0,1.0,,1.0,2.0,3.0,1.0,3.0,3.0,,2.0,,,,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Sebastian Rode,sebastian-rode,S. Rode,M,,179,171,M,35194,EUR,655603200,M,17,17,False,47.0,44.0,4.0,2.0,18.0,18.0,26.0,31.0,,4.0,,,,,74.0,53.0,6.6,6.0,0.0799,0.0,0.094268,1,,,,2.0,,2.0,2.0,2.0,,,,,,1.0,2.0,,,,,,1.0,True,1.0,,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Djibril Sow,djibril-sow,D. Sow,M,20,184,1940,M,799054,EUR,855187200,M,8,8,False,64.0,55.0,3.0,2.0,26.0,29.0,29.0,35.0,,7.0,,,,,90.0,71.0,6.4,11.0,0.0576,0.0,0.0743737,2,,,,,3.0,2.0,7.0,4.0,,1.0,,,,1.0,1.0,2.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Philipp Max,philipp-max,P. Max,D,,178,608,M,142672,EUR,749347200,M,32,32,False,53.0,47.0,3.0,2.0,19.0,20.0,32.0,46.0,1.0,4.0,,,,,90.0,77.0,8.1,15.0,0.1331,0.0351,0.673757,2,,,,13.0,,,,1.0,,,,1.0,,,,,1.0,,,,5.0,,1.0,,4.0,1.0,1.0,,,,,,,,,,
10388261,home,Eintracht Frankfurt,Rafael Borré,rafael-borre,R. Borré,F,19,174,5880,M,560116,EUR,811123200,F,19,19,False,25.0,14.0,,,5.0,6.0,9.0,27.0,1.0,,,,,,90.0,57.0,6.7,26.0,1.2441,0.5674,0.0125109,7,,,,8.0,2.0,4.0,9.0,9.0,2.0,3.0,1.0,3.0,,3.0,2.0,1.0,2.0,2.0,rafaelsantosborre,2.0,1.0,,3.0,1.0,,,,1.0,2.0,,,,,,,,
10388261,home,Eintracht Frankfurt,Mario Götze,mario-gotze,M. Götze,M,27,176,5881,M,66518,EUR,707529600,F,27,27,False,43.0,31.0,3.0,2.0,11.0,13.0,24.0,42.0,,4.0,,,,,79.0,63.0,7.2,22.0,0.0,0.0,0.540501,0,,,,12.0,,,2.0,3.0,,1.0,,,,,1.0,,2.0,1.0,MarioGotze,2.0,2.0,,,,4.0,,,,,,,,,,,,
