match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_lastManTackle,stat_wonTackle,stat_challengeLost,stat_errorLeadToAShot,stat_fouls,stat_blockedScoringAttempt,stat_interceptionWon,stat_goalAssist,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside,stat_hitWoodwork
11368731,home,Osasuna,Sergio Herrera,sergio-herrera,S. Herrera,G,1,192.0,995,M,294377,EUR,736646400,G,1,1,False,33.0,22.0,16.0,6.0,17.0,18.0,5.0,15.0,1.0,1.0,2.0,14.0,4.0,3.0,4.0,2.0,90.0,50.0,8.3,11.0,0.00219667,0,1.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368731,home,Osasuna,Jesús Areso,jesus-areso,J. Areso,D,12,183.0,656,M,910267,EUR,930873600,D,12,12,False,38.0,32.0,5.0,2.0,8.0,8.0,25.0,36.0,,3.0,,4.0,,,,,90.0,70.0,7.4,18.0,0.198548,0,,,,6.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11368731,home,Osasuna,David García,david-garcia,D. García,D,5,185.0,306,M,591136,EUR,761184000,D,5,5,False,38.0,29.0,7.0,3.0,15.0,17.0,14.0,21.0,1.0,1.0,1.0,3.0,,,,,67.0,42.0,6.7,9.0,0.00772788,1,,,,,,,,,,,,,,,True,1.0,1.0,1.0,0.1999,,,,,,,,,,,,,,,,,
11368731,home,Osasuna,Jorge Herrando,herrando-jorge,J. Herrando,D,5,192.0,259,M,944225,EUR,983318400,D,28,28,False,42.0,31.0,11.0,3.0,22.0,28.0,9.0,14.0,2.0,4.0,8.0,3.0,,,,,90.0,56.0,7.4,12.0,0.00716599,0,,,,,,,,,,,2.0,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,
11368731,home,Osasuna,Johan Mojica,johan-mojica,J. Mojica,D,22,185.0,3950,M,344847,EUR,714355200,D,22,22,False,36.0,23.0,8.0,2.0,14.0,20.0,9.0,17.0,1.0,7.0,1.0,9.0,,,,,90.0,59.0,7.1,20.0,0.00898076,0,,,,1.0,,2.0,5.0,1.0,,,4.0,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11368731,home,Osasuna,Jon Moncayola,jon-moncayola,J. Moncayola,M,7,182.0,703,M,976141,EUR,895017600,M,7,7,False,66.0,53.0,9.0,4.0,20.0,21.0,34.0,51.0,2.0,5.0,1.0,6.0,,,,,90.0,84.0,7.1,21.0,0.306728,2,,,,6.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,0.0535,,1.0,1.0,,2.0,2.0,,,,,,,,,,,
11368731,home,Osasuna,Lucas Torró,lucas-torro,L. Torró,M,6,190.0,714,M,187313,EUR,774576000,M,6,6,False,50.0,35.0,8.0,2.0,18.0,21.0,17.0,29.0,5.0,8.0,2.0,2.0,,,,,90.0,66.0,6.8,16.0,0.0163072,2,,,,,,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,0.0605,,1.0,,,2.0,1.0,1.0,,,,,,,,,,
11368731,home,Osasuna,Rubén García,ruben-garcia,R. García,M,14,171.0,1085,M,260031,EUR,742608000,M,14,14,False,42.0,28.0,,,4.0,7.0,26.0,39.0,1.0,5.0,,5.0,,,,,79.0,65.0,7.2,21.0,0.17334,2,,,,4.0,2.0,,7.0,2.0,1.0,,1.0,2.0,2.0,3.0,,,1.0,,0.188,,1.0,3.0,,1.0,,2.0,1.0,2.0,1.0,0.0434,,,,,,
11368731,home,Osasuna,Aimar Oroz,aimar-oroz,A. Oroz,M,10,177.0,1253,M,985329,EUR,1006819200,M,10,10,False,33.0,30.0,,,9.0,9.0,21.0,24.0,2.0,3.0,,6.0,,,,,79.0,43.0,7.5,4.0,0.0576574,2,,,,,,1.0,2.0,1.0,1.0,,,,1.0,3.0,,,,1.0,0.0767,,,,,1.0,1.0,1.0,,,1.0,0.3116,,,,,,
11368731,home,Osasuna,Kike Barja,kike-barja,K. Barja,F,11,178.0,163,M,591132,EUR,860112000,M,11,11,False,2.0,2.0,,,,,2.0,3.0,,,,1.0,,,,,15.0,7.0,6.4,3.0,0.00757014,0,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,
