match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_fouls,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wonContest,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_outfielderBlock,player_sofascoreId
11388401,home,RKC Waalwijk,Etienne Vaessen,etienne-vaessen,E. Vaessen,G,1,187,465,M,809408,EUR,806716800,G,1,1,False,True,32.0,16.0,20.0,5.0,0.0,13.0,15.0,3.0,17.0,20.0,2.0,4.0,10.0,1.0,1.0,90.0,52.0,8.8,16.0,0.00546516,0,1.2415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388401,home,RKC Waalwijk,Julian Lelieveld,julian-lelieveld,J. Lelieveld,D,2,184,104,M,798179,EUR,880329600,D,2,2,False,,40.0,32.0,5.0,3.0,1.0,11.0,13.0,22.0,29.0,2.0,,,,,,90.0,60.0,7.6,13.0,0.967977,0,,,,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,
11388401,home,RKC Waalwijk,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,,44.0,38.0,3.0,1.0,0.0,29.0,32.0,9.0,12.0,6.0,,,,,,90.0,48.0,7.0,6.0,0.0786283,1,,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,0.1549,,,,,,,,,,,,,,
11388401,home,RKC Waalwijk,Dario Van Den Buijs,dario-van-den-buijs,D. V. D. Buijs,D,33,188,65,M,783468,EUR,810864000,D,3,3,False,,26.0,24.0,6.0,5.0,0.0,14.0,14.0,10.0,12.0,1.0,,,,,,37.0,30.0,6.8,2.0,0.0652341,0,,,,,,,2.0,2.0,2.0,1.0,,,,,,4.0,,,1.0,,,,,,,,,,,,,
11388401,home,RKC Waalwijk,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,28,28,False,,46.0,31.0,13.0,3.0,0.0,15.0,18.0,19.0,40.0,3.0,,,,,,90.0,75.0,6.7,28.0,0.322736,3,,Aaron,Meijers,12.0,3.0,,2.0,2.0,2.0,,,,,3.0,2.0,1.0,1.0,0.1265,,1.0,1.0,1.0,1.0,,,,,,,,,
11388401,home,RKC Waalwijk,Godfried Roemeratoe,godfried-roemeratoe,G. Roemeratoe,M,6,178,106,M,825849,EUR,935020800,M,24,24,False,,31.0,25.0,4.0,1.0,0.0,11.0,12.0,14.0,19.0,6.0,,,,,,90.0,38.0,6.7,6.0,0.0152116,1,,,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,4.0,,0.0224,,,,,,,,,,,,,,
11388401,home,RKC Waalwijk,Yassin Oukili,oukili-yassin,Y. Oukili,M,5,195,495,M,1010846,EUR,978480000,M,6,6,False,,30.0,26.0,5.0,2.0,0.0,12.0,12.0,15.0,19.0,10.0,,,,,,90.0,45.0,7.1,5.0,0.063226,1,,,,1.0,1.0,1.0,2.0,3.0,5.0,1.0,,,,2.0,1.0,1.0,1.0,0.0118,1.0,,2.0,,1.0,2.0,1.0,,,,,,,
11388401,home,RKC Waalwijk,Chris Lokesa,lokesa-chris,C. Lokesa,M,5,175,140,M,1126518,EUR,1099785600,M,14,14,False,,9.0,5.0,,,0.0,2.0,3.0,4.0,8.0,3.0,,,,,,58.0,24.0,6.5,9.0,0.0139791,3,,,,2.0,1.0,1.0,1.0,5.0,2.0,2.0,,,,1.0,3.0,1.0,,0.8028,,1.0,2.0,,1.0,1.0,,1.0,,,,,,
11388401,home,RKC Waalwijk,Reuven Niemeijer,reuven-niemeijer,R. Niemeijer,M,10,178,46,M,846202,EUR,796262400,M,27,27,False,,13.0,10.0,1.0,,0.0,5.0,5.0,5.0,10.0,,,,,,,74.0,25.0,7.3,5.0,0.0287053,4,,,,2.0,,4.0,1.0,5.0,4.0,,,2.0,1.0,1.0,2.0,1.0,1.0,0.6526,1.0,,1.0,,,1.0,,,2.0,0.3445,,,,
11388401,home,RKC Waalwijk,Mats Seuntjens,mats-seuntjens,M. Seuntjens,M,20,187,138,M,163541,EUR,703468800,M,20,20,False,,12.0,5.0,2.0,,0.0,2.0,4.0,3.0,11.0,2.0,,,,,,58.0,18.0,6.4,12.0,0.012625,0,,,,3.0,,1.0,,3.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
