match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_expectedGoals,stat_bigChanceCreated,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_wonTackle,stat_expectedGoalsOnTarget,captain,stat_challengeLost,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_hitWoodwork,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_bigChanceMissed
12499265,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,22.0,18.0,7.0,4.0,0.0,18.0,19.0,3.0,1.0,2.0,2.0,15.0,1.0,3.0,1.0,1.0,1.0,90.0,41.0,7.3,5.0,0.00011189,0,0.0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499265,home,Cagliari,Gabriele Zappa,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,54.0,40.0,10.0,3.0,0.0,28.0,33.0,23.0,3.0,7.0,5.0,4.0,2.0,,,,,90.0,84.0,7.2,19.0,0.0322827,0,,13.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
12499265,home,Cagliari,Yerry Mina,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,41.0,33.0,8.0,3.0,0.0,30.0,31.0,10.0,3.0,4.0,6.0,5.0,1.0,,,,,67.0,54.0,6.9,9.0,0.00311385,1,,3.0,,,1.0,1.0,,,,1.0,,,1.0,,,yerrymina,1.0,0.0278,,,,,,,,,,,,,,,,
12499265,home,Cagliari,Sebastiano Luperto,sebastiano-luperto,S. Luperto,D,6,191,784,M,352736,EUR,841968000,D,6,6,False,53.0,44.0,3.0,2.0,1.0,34.0,36.0,17.0,4.0,6.0,6.0,2.0,,,,,,90.0,68.0,7.4,9.0,0.368531,0,,10.0,,,2.0,2.0,,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
12499265,home,Cagliari,Paulo Azzi,paulo-azzi,P. Azzi,M,7,188,184,M,383314,EUR,774230400,M,37,37,False,29.0,18.0,5.0,,0.0,11.0,13.0,22.0,1.0,8.0,2.0,7.0,2.0,,,,,90.0,56.0,7.5,16.0,0.0623963,2,,8.0,6.0,1.0,2.0,2.0,,2.0,2.0,,,3.0,,,2.0,,1.0,0.0661,,,,1.0,2.0,0.1779,,,,,,,,,,
12499265,home,Cagliari,Alessandro Deiola,alessandro-deiola,A. Deiola,M,14,189,280,M,328109,EUR,807235200,M,14,14,False,18.0,12.0,2.0,1.0,0.0,5.0,7.0,12.0,1.0,3.0,2.0,4.0,,,,,,90.0,30.0,6.4,8.0,0.00289011,1,,7.0,1.0,,2.0,6.0,1.0,,,,,2.0,,1.0,,,,0.0476,,,,,1.0,,True,2.0,1.0,,,,,,,
12499265,home,Cagliari,Matteo Prati,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,False,31.0,23.0,7.0,4.0,0.0,14.0,17.0,15.0,,2.0,1.0,3.0,,,,,,60.0,39.0,6.0,11.0,0.0227565,0,,9.0,1.0,,1.0,6.0,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,
12499265,home,Cagliari,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,279563,EUR,832809600,M,18,18,False,29.0,20.0,4.0,2.0,0.0,7.0,10.0,23.0,3.0,4.0,2.0,3.0,1.0,,,,,90.0,41.0,6.9,13.0,0.13228,1,,14.0,4.0,1.0,1.0,4.0,,1.0,,,,1.0,,1.0,1.0,,,0.0148,,,,1.0,1.0,0.01,,1.0,,,,,,,,
12499265,home,Cagliari,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,M,3,3,False,37.0,31.0,7.0,6.0,0.0,15.0,15.0,28.0,1.0,2.0,3.0,5.0,,,,,,81.0,56.0,7.0,13.0,0.0830487,1,,17.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,0.0493,,,,,,,,,,,,,,,,
12499265,home,Cagliari,Zito Luvumbo,zito-luvumbo,Z. Luvumbo,F,15,171,5304,M,1000150,EUR,1015632000,F,77,77,False,6.0,5.0,,,0.0,2.0,2.0,6.0,,2.0,1.0,,1.0,,,,,67.0,15.0,6.8,4.0,0.386895,1,,3.0,2.0,,1.0,4.0,,2.0,1.0,,,,,3.0,1.0,LuvumboZito,1.0,0.0564,,,,,,,,,,,1.0,1.0,,,,
12499265,home,Cagliari,Roberto Piccoli,roberto-piccoli,R. Piccoli,F,91,190,1557,M,958982,EUR,980553600,F,91,91,False,8.0,7.0,,,0.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,,,,,81.0,24.0,7.2,7.0,0.00111269,2,,2.0,,,5.0,9.0,3.0,1.0,,,1.0,,2.0,,,,,0.4311,,,,2.0,,0.9001,,,,,,,1.0,,,
