match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,captain,stat_bigChanceMissed,stat_bigChanceCreated,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14064450,home,Stade Brestois,Grégoire Coudert,,,gregoire-coudert,G. Coudert,G,30,190.0,94,M,891508,EUR,923097600,G,30,30,False,37.0,28.0,20.0,11.0,0.0,21.0,22.0,7.0,15.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,43.0,7.1,9.0,0.00229541,92.971071601615,12.0,26.25,10.92,0.0088,0,0.0424,0.08,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064450,home,Stade Brestois,Luc Zogbé,,,luc-zogbe,L. Zogbé,D,12,178.0,643,M,1499870,EUR,1111622400,D,12,12,False,29.0,20.0,9.0,6.0,0.0,12.0,13.0,8.0,16.0,6.0,1.0,1.0,7.0,,,90.0,59.0,7.5,15.0,0.260233,88.88049039756,12.0,44.1,23.94,,2,,0.4,0.15,0.21,,4.0,2.0,2.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0367,34.318901024437,2.0,1.0,0.0,,,,,,,,,,,,
14064450,home,Stade Brestois,Brendan Chardonnet,,,brendan-chardonnet,B. Chardonnet,D,5,181.0,234,M,328035,EUR,788054400,D,5,5,False,48.0,41.0,7.0,3.0,0.0,33.0,35.0,8.0,13.0,4.0,,,,,,90.0,62.0,7.3,8.0,0.0103763,187.88628559156,20.0,135.87,21.63,,0,,0.11,0.11,0.38,,,,1.0,1.0,2.0,1.0,,,6.0,1.0,1.0,3.0,3.0,,,,,,45.572290653371,2.0,,,True,,,,,,,,,,,
14064450,home,Stade Brestois,Soumaila Coulibaly,,,soumaila-coulibaly,S. Coulibaly,D,44,190.0,1100,M,1001858,EUR,1066089600,D,44,44,False,64.0,61.0,5.0,5.0,0.0,48.0,49.0,13.0,15.0,7.0,,,4.0,,,90.0,76.0,7.7,5.0,0.00713922,174.86102027322,24.0,101.64,16.38,,0,,0.21,0.13,0.23,,1.0,,1.0,4.0,2.0,,,,4.0,,,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
14064450,home,Stade Brestois,Daouda Guindo,,,daouda-guindo,D. Guindo,D,27,183.0,703,M,1135887,EUR,1034553600,D,27,27,False,41.0,31.0,5.0,2.0,0.0,22.0,24.0,9.0,17.0,2.0,,,4.0,,,90.0,57.0,6.6,12.0,0.00496106,96.278388887728,14.0,38.535,9.66,,1,,-0.06,0.04,0.33,,,,2.0,1.0,4.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,2.0,0.5133,,,,-0.52,,1.0,,,,,,,,,,
14064450,home,Stade Brestois,Romain Del Castillo,,,romain-del-castillo,R. Del Castillo,M,10,172.0,689,M,825681,EUR,828057600,M,10,10,False,45.0,34.0,2.0,,0.0,10.0,10.0,24.0,35.0,10.0,2.0,1.0,6.0,,,90.0,71.0,7.7,21.0,0.399895,135.83912741611,16.0,48.09,30.345,,0,,0.5,0.13,0.23,,5.0,2.0,1.0,2.0,6.0,2.0,,,2.0,,,5.0,4.0,,2.0,2.0,2.0,,49.25887733167,2.0,1.0,,,,1.0,,,,,,,,,
14064450,home,Stade Brestois,Joris Chotard,,,joris-chotard,J. Chotard,M,13,179.0,541,M,976396,EUR,1001289600,M,13,13,False,55.0,45.0,9.0,7.0,0.0,29.0,30.0,16.0,25.0,4.0,,,8.0,,,90.0,70.0,8.8,14.0,0.180163,88.676243040456,10.0,32.865,15.12,,1,,0.5,0.08,0.25,,5.0,2.0,1.0,1.0,4.0,,,,2.0,1.0,,3.0,,,1.0,,1.0,0.0666,,,,0.52,,,,2.0,1.0,1.0,0.5572,,,,,
14064450,home,Stade Brestois,Hugo Magnetti,,,hugo-magnetti,H. Magnetti,M,8,173.0,194,M,861324,EUR,896486400,M,8,8,False,44.0,39.0,,,0.0,15.0,18.0,24.0,26.0,4.0,1.0,1.0,4.0,,,90.0,58.0,6.8,7.0,0.0209295,75.058300232904,11.0,47.565,17.22,,0,,0.17,0.16,-0.08,,1.0,,,1.0,5.0,,,,3.0,,3.0,1.0,,,1.0,1.0,2.0,,18.038480645553,1.0,,,,,,3.0,,,,,,,,
14064450,home,Stade Brestois,Remy Labeau Lascary,,,lascary-remy-labeau,R. L. Lascary,F,14,184.0,178,M,1401005,EUR,1046649600,M,14,14,False,19.0,16.0,1.0,1.0,1.0,5.0,5.0,11.0,14.0,5.0,1.0,1.0,4.0,,,68.0,31.0,7.3,6.0,0.475559,107.56663382946,10.0,46.725,20.37,,2,,0.46,0.26,0.14,,1.0,1.0,3.0,2.0,4.0,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,0.1594,20.815608470568,1.0,2.0,0.03,,,1.0,,1.0,,0.5815,,,,,
14064450,home,Stade Brestois,Mama Baldé,,,mama-balde,M. Baldé,F,17,183.0,1081,M,557166,EUR,815616000,F,17,17,False,2.0,2.0,,,0.0,,,2.0,2.0,,,,1.0,,,15.0,5.0,6.5,2.0,0.0234997,11.454894194186,1.0,11.445,11.445,,0,,0.07,0.04,0.13,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
