match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_aerialWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_interceptionWon,stat_shotOffTarget,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_bigChanceCreated,stat_clearanceOffLine,stat_totalOffside
14025081,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,19.0,18.0,2.0,1.0,0.0,18.0,19.0,11.0,1.0,2.0,2.0,4.0,90.0,34.0,6.7,2.0,0.00015547,0.3599,0,-0.2264,0.01,0.0,-0.29,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025081,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,D,8,8,False,97.0,91.0,3.0,3.0,0.0,35.0,37.0,5.0,,,,,90.0,133.0,7.0,18.0,0.432686,,2,,0.5,0.36,-0.41,,56.0,60.0,12.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0572,0.0129,5.0,-0.07,,,,,,,,,,,,,,,,,,,,
14025081,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,56.0,50.0,5.0,3.0,0.0,26.0,27.0,2.0,,,,,55.0,62.0,6.6,7.0,0.00577791,,0,,0.18,0.09,-0.31,,24.0,29.0,,,3.0,5.0,,,,,,2.0,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
14025081,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,106.0,98.0,10.0,6.0,0.0,36.0,36.0,1.0,,,,,90.0,120.0,7.3,9.0,0.0419438,,1,,0.48,0.23,-0.48,,62.0,70.0,,,3.0,10.0,,,,,1.0,8.0,,1.0,0.0155,,2.0,-0.04,,,9.0,,1.0,1.0,,1.0,True,2.0,2.0,,,,,,,,,
14025081,home,Liverpool,Miloš Kerkez,milos-kerkez,M. Kerkez,D,6,180,25853,M,miloskerkez,1097425,EUR,1068163200,D,6,6,False,37.0,32.0,3.0,1.0,0.0,12.0,14.0,4.0,,,,,68.0,51.0,6.3,7.0,0.123169,,1,,0.27,0.06,-0.34,,20.0,23.0,4.0,3.0,2.0,3.0,,,,,,2.0,,1.0,0.1769,,2.0,-0.52,Milos,Kerkez,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,,,
14025081,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,66.0,63.0,3.0,2.0,0.0,21.0,21.0,6.0,,,,,78.0,86.0,7.3,9.0,0.0969411,,1,,0.3,0.08,0.24,,42.0,45.0,,,6.0,8.0,2.0,,,,,,1.0,4.0,0.0364,,,-0.16,,,1.0,1.0,4.0,2.0,3.0,2.0,,1.0,,1.0,,,,,,,,
14025081,home,Liverpool,Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,31083,M,ryanjiro,904897,EUR,1021507200,M,38,38,False,70.0,67.0,,,0.0,22.0,22.0,3.0,,,,,90.0,82.0,6.4,6.0,0.0281167,,0,,0.19,0.13,-0.21,,45.0,48.0,,,5.0,2.0,,1.0,,,,1.0,,2.0,,,,,,,,1.0,2.0,,,2.0,,2.0,2.0,,,,,,,,,
14025081,home,Liverpool,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,50.0,43.0,2.0,1.0,0.0,10.0,11.0,3.0,,,,,90.0,68.0,6.5,12.0,0.173919,,5,,0.35,0.12,-0.2,,33.0,39.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,2.0,0.5804,0.5479,1.0,-0.51,,,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,
14025081,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,50.0,35.0,1.0,,0.0,2.0,3.0,2.0,,,,,90.0,90.0,6.6,37.0,0.297775,,4,,0.37,0.46,-0.1,,33.0,47.0,7.0,,12.0,4.0,1.0,14.0,4.0,1.0,2.0,,,2.0,0.2092,0.109,3.0,-0.47,,,,1.0,,,,,,,,1.0,,,,,,,,
14025081,home,Liverpool,Alexander Isak,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,9,9,False,7.0,5.0,,,0.0,,,,,,,,68.0,14.0,6.0,7.0,0.0166201,,1,,-0.13,0.25,0.0,,5.0,7.0,1.0,,7.0,,2.0,1.0,,,,1.0,,1.0,0.1942,,1.0,-0.29,,,,,,,,1.0,,3.0,,1.0,,,,,,,,
